,Rank,"Player (yrs, age)",Strikeouts per 9 IP,Throws
69,70.,C.J. Wilson (11),7.9219,L
70,71.,Mark Davis (15),7.9153,L
71,72.,Mat Latos (9),7.8893,R
72,73.,"Jose Quintana (9, 31)",7.8863,L
73,74.,Marco Estrada (12),7.8684,R
74,75.,Yovani Gallardo (12),7.8473,R
75,76.,Ryan Dempster (16),7.8236,R
76,77.,Kelvim Escobar (12),7.8235,R
77,78.,Jim Maloney (12),7.8123,R
78,79.,Chad Billingsley (9),7.8097,R
79,80.,"Mike Fiers (10, 35)",7.8044,R
80,81.,"Julio Teheran (10, 29)",7.7882,R
81,82.,CC Sabathia (19),7.7815,L
82,83.,Matt Clement (9),7.7534,R
83,84.,Chan Ho Park (17),7.7446,R
84,85.,"Edinson Volquez (15, 36)",7.7002,R
85,86.,Jose Rijo (14),7.6883,R
86,87.,James Shields (13),7.6858,R
87,88.,Ted Lilly (15),7.6306,L
88,89.,Michael Jackson (17),7.6191,R
89,90.,Cliff Lee (13),7.6117,L
90,91.,"Adam Wainwright (15, 38)",7.5922,R
91,92.,"Kyle Hendricks (7, 30)",7.5792,R
92,93.,"Derek Holland (12, 33)",7.5618,L
93,94.,Jose DeLeon (13),7.5611,R
94,95.,"Johnny Cueto (13, 34)",7.5576,R
95,96.,Chris Capuano (12),7.5479,L
96,97.,Juan Guzman (10),7.5418,R
97,98.,Mario Soto (12),7.5367,R
98,99.,Sam Jones (12),7.5359,R
99,100.,Jorge De La Rosa (15),7.5243,L
100,101.,Justin Masterson (8),7.5237,R
101,102.,Carlos Zambrano (12),7.5207,R
102,103.,John Hiller (15),7.5072,L
103,104.,Dan Haren (13),7.4874,R
104,105.,Mark Langston (16),7.4851,L
105,106.,Rich Gossage+ (22),7.4713,R
106,107.,Ben Sheets (10),7.4687,R
107,108.,Jason Bere (11),7.4527,R
108,109.,Dave Boswell (8),7.4512,R
109,110.,Bruce Sutter+ (12),7.4367,R
110,111.,Orlando Hernandez (9),7.4346,R
111,112.,Al Leiter (19),7.4304,L
112,113.,"Homer Bailey (14, 34)",7.4290,R
113,114.,Roy Oswalt (13),7.4234,R
114,115.,Jason Isringhausen (16),7.4132,R
115,116.,Wandy Rodriguez (11),7.4030,L
116,117.,Dwight Gooden (16),7.3686,R
117,118.,Chris Young (13),7.3655,R
118,119.,Chuck Finley (17),7.3467,L
119,120.,Jaime Garcia (10),7.3348,L
120,121.,Matt Cain (13),7.3099,R
121,122.,Shaun Marcum (9),7.3049,R
122,123.,"Tanner Roark (8, 33)",7.2988,R
123,124.,Todd Jones (16),7.2873,R
124,125.,Juan Berenguer (15),7.2801,R
125,126.,Jeff Fassero (16),7.2711,L
126,127.,John Lackey (15),7.2689,R
127,128.,Brandon Webb (7),7.2632,R
128,129.,Matt Garza (12),7.2603,R
129,130.,Brett Myers (12),7.2579,R
130,131.,Melido Perez (9),7.2549,R
131,132.,"Jhoulys Chacin (12, 32)",7.2530,R
132,133.,Doug Jones (16),7.2505,R
133,134.,Phil Hughes (12),7.2502,R
134,135.,Mike Stanton (19),7.2307,L
135,136.,Bob Gibson+ (17),7.2221,R
136,137.,Ricky Nolasco (12),7.2137,R
137,138.,Andy Benes (14),7.1847,R
138,139.,Rick Aguilera (16),7.1786,R
139,140.,Ervin Santana (15),7.1589,R
140,141.,"Wade Miley (10, 33)",7.1530,L
141,142.,"Wei-Yin Chen (8, 34)",7.1515,L
142,143.,Pete Richert (13),7.1418,L
143,144.,Aaron Harang (14),7.1395,R
144,145.,Alejandro Pena (15),7.1393,R
145,146.,Bobby Witt (16),7.1379,R
146,147.,Steve Carlton+ (24),7.1342,L
147,148.,Dave Righetti (16),7.1299,L
148,149.,Ron Villone (15),7.1276,L
149,150.,Colby Lewis (11),7.1185,R
150,151.,"Jordan Zimmermann (12, 34)",7.1123,R
151,152.,Mike Mussina+ (18),7.1062,R
152,153.,"Dallas Keuchel (9, 32)",7.1060,L
153,154.,Jason Hammel (13),7.0992,R
154,155.,Scott Baker (10),7.0924,R
155,156.,Gavin Floyd (13),7.0920,R
156,157.,Dave Burba (15),7.0778,R
157,158.,Jered Weaver (12),7.0569,R
158,159.,Teddy Higuera (9),7.0500,L
159,160.,Shane Reynolds (13),7.0476,R
160,161.,John Franco (21),7.0444,L
161,162.,"Kyle Gibson (8, 32)",7.0404,R
162,163.,Rube Waddell+ (13),7.0387,L
163,164.,Jeremy Bonderman (9),7.0260,R
164,165.,Dave LaRoche (14),7.0245,L
165,166.,Randy Wolf (16),7.0119,L
166,167.,Jim Brewer (17),7.0074,L
167,168.,Mickey Lolich (16),7.0054,L
168,169.,Greg Harris (15),7.0000,R
169,170.,Sterling Hitchcock (13),6.9793,L
170,171.,Jeff Reardon (16),6.9706,R
171,172.,Steve Bedrosian (14),6.9597,R
172,173.,Darryl Kile (12),6.9329,R
173,174.,Roy Halladay+ (16),6.9300,R
174,175.,"Edwin Jackson (17, 36)",6.9245,R
175,176.,Clay Buchholz (13),6.9172,R
176,177.,Jon Niese (9),6.9165,L
177,178.,Kevin Appier (16),6.9147,R
178,179.,Kevin Millwood (16),6.8914,R
179,180.,Don McMahon (18),6.8873,R
180,181.,Chris Carpenter (15),6.8818,R
181,182.,Rollie Fingers+ (17),6.8717,R
182,183.,Tom Seaver+ (20),6.8493,R
183,184.,Wilson Alvarez (14),6.8491,L
184,185.,"Trevor Cahill (12, 32)",6.8479,R
185,186.,Jim Bunning+ (17),6.8332,R
186,187.,José Contreras (11),6.8210,R
187,188.,Pedro Astacio (15),6.8176,R
188,189.,Ryan Vogelsong (12),6.8067,R
189,190.,Erik Hanson (11),6.7992,R
190,191.,Bill Stoneman (8),6.7991,R
191,192.,Willie Hernandez (13),6.7888,L
192,193.,Andrew Cashner (10),6.7801,R
193,194.,Mark Leiter (11),6.7785,R
194,195.,Ramon Martinez (14),6.7749,R
195,196.,Denny Neagle (13),6.7369,L
196,197.,Juan Pizarro (18),6.7334,L
197,198.,Hiroki Kuroda (7),6.7278,R
198,199.,Jim Gott (14),6.7259,R
199,200.,Bobby Bolin (13),6.7100,R
200,201.,Doug Davis (13),6.7093,L
201,202.,Bert Blyleven+ (22),6.7020,R
202,203.,"Rick Porcello (12, 31)",6.7017,R
203,204.,Bruce Chen (17),6.6971,L
204,205.,Ron Guidry (14),6.6898,L
205,206.,Ray Culp (11),6.6896,R
206,207.,Wayne Twitchell (10),6.6802,R
207,208.,Brandon McCarthy (13),6.6783,R
208,209.,Bob Wickman (15),6.6714,R
209,210.,Chris Tillman (10),6.6576,R
210,211.,Stan Williams (14),6.6569,R
211,212.,Camilo Pascual (18),6.6548,R
212,213.,Bob Turley (12),6.6475,R
213,214.,Andy Pettitte (18),6.6441,L
214,215.,Len Barker (11),6.6293,R
215,216.,Glendon Rusch (12),6.6282,L
216,217.,Kevin Brown (19),6.6249,R
217,218.,Don Wilson (9),6.6046,R
218,219.,Dontrelle Willis (9),6.6008,L
219,220.,Gil Meche (10),6.5976,R
220,221.,John Danks (10),6.5973,L
221,222.,"Bartolo Colon (21, 47)",6.5908,R
222,223.,Tug McGraw (19),6.5896,L
223,224.,Jeremy Hellickson (10),6.5869,R
224,225.,Barry Zito (15),6.5841,L
225,226.,Dennis Eckersley+ (24),6.5767,R
226,227.,Dennis Cook (15),6.5743,L
227,228.,Denny Lemaster (11),6.5700,L
228,229.,Andy Messersmith (12),6.5573,R
229,230.,Joe Blanton (13),6.5374,R
230,231.,Jose Guzman (8),6.5350,R
231,232.,Adam Eaton (10),6.5286,R
232,233.,Don Drysdale+ (14),6.5192,R
233,234.,Todd Stottlemyre (14),6.5170,R
234,235.,Mike Timlin (18),6.5165,R
235,236.,Al Downing (17),6.5030,L
236,237.,Floyd Bannister (15),6.4937,L
237,238.,Toad Ramsey (6),6.4908,L
238,239.,Shawn Estes (13),6.4886,L
239,240.,Matt Young (10),6.4833,L
240,241.,Kip Wells (12),6.4760,R
241,242.,Diego Segui (15),6.4625,R
242,243.,Russ Ortiz (12),6.4575,R
243,244.,Freddy Garcia (15),6.4439,R
244,245.,Terry Forster (16),6.4386,L
245,246.,"Ivan Nova (11, 33)",6.4311,R
246,247.,Dean Chance (11),6.4294,R
247,248.,Hoyt Wilhelm+ (21),6.4276,R
248,249.,Vicente Padilla (14),6.4207,R
249,250.,R.A. Dickey (15),6.4104,R
250,251.,Eric Milton (11),6.4102,L
251,252.,Mark Gardner (13),6.4057,R
252,253.,Alex Fernandez (10),6.4011,R
253,254.,Mike Scott (13),6.3911,R
254,255.,Fergie Jenkins+ (19),6.3831,R
255,256.,David Weathers (19),6.3822,R
256,257.,Gary Lavelle (13),6.3788,L
257,258.,Moe Drabowsky (17),6.3729,R
258,259.,Fernando Valenzuela (17),6.3706,L
259,260.,Earl Wilson (11),6.3695,R
260,261.,Pete Schourek (11),6.3681,L
261,262.,Jon Lieber (14),6.3590,R
262,263.,Tom Griffin (14),6.3466,R
263,264.,Harvey Haddix (14),6.3423,L
264,265.,Tom Phoebus (7),6.3350,R
265,266.,Bill Campbell (15),6.3254,R
266,267.,Sonny Siebert (12),6.3234,R
267,268.,Chris Short (15),6.3058,L
268,269.,Bruce Hurst (15),6.2883,L
269,270.,Pete Harnisch (14),6.2848,R
270,271.,Jason Vargas (14),6.2830,L
271,272.,Bill Singer (14),6.2718,R
272,273.,Jim Nash (7),6.2664,R
273,274.,Kevin Gross (15),6.2480,R
274,275.,Jack McDowell (12),6.2462,R
275,276.,Rick Helling (12),6.2385,R
276,277.,Luis Tiant (19),6.2369,R
277,278.,Ben McDonald (9),6.2308,R
278,279.,Kent Mercker (18),6.2271,L
279,280.,Turk Farrell (14),6.2141,R
280,281.,Greg Swindell (17),6.2140,L
281,282.,Frank Castillo (13),6.2112,R
282,283.,Smoky Joe Wood (14),6.2057,R
283,284.,David Palmer (10),6.2046,R
284,285.,Dazzy Vance+ (16),6.2039,R
285,286.,Odalis Perez (10),6.2022,L
286,287.,Stu Miller (16),6.1866,R
287,288.,"Josh Tomlin (11, 35)",6.1818,R
288,289.,Cal Eldred (14),6.1776,R
289,290.,Clay Kirby (8),6.1686,R
290,291.,Gary Bell (12),6.1548,R
291,292.,"Brett Anderson (12, 32)",6.1532,L
292,293.,Gary Peters (14),6.1413,L
293,294.,Doug Fister (10),6.1378,R
294,295.,Dustin Hermanson (12),6.1309,R
295,296.,Orlando Pena (14),6.1248,R
296,297.,Barry Latman (11),6.1206,R
297,298.,Denny McLain (10),6.1177,R
298,299.,Tom Bradley (7),6.1110,R
299,300.,Don Sutton+ (23),6.0894,R
300,301.,Dave Mlicki (10),6.0892,R
301,302.,Mike Krukow (14),6.0721,R
302,303.,Bob Feller+ (18),6.0698,R
303,304.,Sammy Ellis (7),6.0687,R
304,305.,Ron Darling (13),6.0627,R
305,306.,Jeff Francis (11),6.0581,L
306,307.,Greg Maddux+ (23),6.0577,R
307,307.,John Smiley (12),6.0577,L
308,309.,"Mike Leake (10, 32)",6.0574,R
309,310.,Joe Coleman (15),6.0529,R
310,310.,Nate Robertson (9),6.0529,L
311,312.,Omar Daal (11),6.0517,L
312,313.,Matt Morris (11),6.0498,R
313,314.,Fred Norman (16),6.0459,L
314,315.,Rudy May (16),6.0412,L
315,316.,Dave Bush (9),6.0402,R
316,317.,Britt Burns (8),6.0366,L
317,318.,Skip Lockwood (13),6.0364,R
318,319.,Jose Mesa (19),6.0323,R
319,320.,LaTroy Hawkins (21),6.0293,R
320,321.,Bret Saberhagen (16),6.0230,R
321,322.,Al Worthington (14),6.0209,R
322,323.,Tim Wakefield (19),6.0143,R
323,324.,Woody Williams (15),6.0099,R
324,325.,John Burkett (15),6.0015,R
325,325.,Joey Hamilton (10),6.0015,R
326,327.,Ted Abernathy (14),5.9956,R
327,328.,Jerry Koosman (19),5.9917,L
328,328.,Brett Tomko (14),5.9917,R
329,330.,Tim Hudson (17),5.9872,R
330,331.,Ed Halicki (7),5.9859,R
331,332.,Bruce Ruffin (12),5.9834,L
332,333.,Jason Jennings (9),5.9743,R
333,334.,Joe Gibbon (13),5.9723,L
334,335.,Don Gullett (9),5.9633,L
335,336.,John Candelaria (19),5.9616,L
336,337.,Bill Bonham (10),5.9603,R
337,338.,Frank Tanana (21),5.9587,L
338,339.,Dave Stewart (16),5.9585,R
339,340.,Brad Penny (14),5.9517,R
340,341.,Pascual Perez (11),5.9454,R
341,342.,Gaylord Perry+ (22),5.9450,R
342,343.,Jeff Weaver (11),5.9445,R
343,344.,Esteban Loaiza (14),5.9257,R
344,345.,Woodie Fryman (18),5.9233,L
345,346.,Darren Oliver (20),5.9149,L
346,347.,Juan Marichal+ (16),5.9102,R
347,348.,Scott Elarton (10),5.8967,R
348,349.,Steve Barber (15),5.8934,L
349,350.,Grant Jackson (18),5.8889,L
350,351.,Kevin Tapani (13),5.8887,R
351,352.,John Montefusco (13),5.8880,R
352,353.,Aaron Sele (15),5.8816,R
353,354.,Bob Bruce (9),5.8779,R
354,355.,Mike Witt (12),5.8610,R
355,356.,Vida Blue (17),5.8549,L
356,357.,Frank Viola (15),5.8512,L
357,358.,Kris Benson (9),5.8328,R
358,359.,Jack Morris+ (18),5.8321,R
359,360.,Andy Ashby (14),5.8304,R
360,361.,Joey Jay (13),5.8144,R
361,362.,Ray Sadecki (18),5.8096,L
362,363.,Bronson Arroyo (16),5.8050,R
363,364.,Derek Lowe (17),5.8016,R
364,365.,Danny Darwin (21),5.7938,R
365,366.,Orel Hershiser (18),5.7904,R
366,367.,George Brunet (15),5.7898,L
367,368.,Jim O'Toole (10),5.7889,L
368,369.,Dave Giusti (15),5.7827,R
369,370.,Ismael Valdez (12),5.7773,R
370,371.,Jon Matlack (13),5.7740,L
371,372.,Clayton Richard (11),5.7727,L
372,373.,Rodrigo Lopez (11),5.7638,R
373,374.,David Wells (21),5.7601,L
374,375.,Larry Dierker (14),5.7579,R
375,376.,Miguel Batista (18),5.7506,R
376,377.,Don Robinson (15),5.7493,R
377,378.,James Baldwin (11),5.7429,R
378,379.,Kyle Lohse (16),5.7413,R
379,380.,Roy Face (16),5.7404,R
380,381.,Bob Welch (17),5.7312,R
381,382.,Tom Candiotti (16),5.7303,R
382,383.,Scott Feldman (13),5.7259,R
383,384.,Lindy McDaniel (21),5.7256,R
384,385.,Steve Trachsel (16),5.7253,R
385,386.,Jerome Williams (11),5.7252,R
386,387.,Mike Bielecki (14),5.7246,R
387,388.,Charles Nagy (14),5.7186,R
388,389.,Ewell Blackwell (10),5.7161,R
389,390.,Ernie Broglio (8),5.7136,R
390,391.,Mark Mulder (9),5.7123,L
391,392.,Jimmy Haynes (10),5.7118,R
392,393.,Mike Marshall (14),5.7115,R
393,394.,Bob Moose (10),5.7107,R
394,395.,Kevin Correia (13),5.7074,R
395,396.,Jack Harshman (10),5.7032,L
396,397.,Chris Hammond (14),5.7028,L
397,398.,Tony Cloninger (12),5.7024,R
398,399.,Cory Lidle (9),5.7021,R
399,400.,Johnny Podres (15),5.7020,L
400,401.,Paul Maholm (10),5.6903,L
401,402.,Steve Avery (11),5.6732,L
402,403.,Jeff Russell (14),5.6717,R
403,404.,John Thomson (10),5.6678,R
404,405.,Scott Sanderson (19),5.6600,R
405,406.,Doug Drabek (13),5.6592,R
406,407.,Jim Merritt (11),5.6561,L
407,408.,Zach Duke (15),5.6515,L
408,409.,Sparky Lyle (16),5.6512,L
409,410.,Craig Lefferts (12),5.6482,L
410,411.,Rick Reed (15),5.6480,R
411,412.,Lynn McGlothen (11),5.6428,R
412,413.,Jim Bibby (12),5.6372,R
413,414.,Mike Boddicker (14),5.6365,R
414,415.,Jose Lima (13),5.6262,R
415,416.,Pete Smith (11),5.6159,R
416,417.,Darold Knowles (16),5.6126,L
417,418.,Jim Deshaies (12),5.6125,L
418,419.,Billy O'Dell (13),5.6120,L
419,420.,Gene Garber (19),5.6026,R
420,421.,Hank Aguirre (16),5.6016,L
421,422.,Rick Sutcliffe (18),5.6015,R
422,423.,Rheal Cormier (16),5.5989,L
423,424.,Tim Belcher (14),5.5968,R
424,425.,Pat Hentgen (14),5.5943,R
425,426.,Charlie Hough (25),5.5922,R
426,427.,Steve Busby (8),5.5918,R
427,428.,Mark Portugal (15),5.5882,R
428,429.,Gary Nolan (10),5.5838,R
429,430.,Liván Hernández (17),5.5767,R
430,431.,Chris Bosio (11),5.5737,R
431,432.,Tom Sturdivant (10),5.5726,R
432,433.,Phil Niekro+ (24),5.5659,R
433,434.,Ramon Ortiz (12),5.5616,R
434,435.,Billy Hoeft (15),5.5540,L
435,436.,Whitey Ford+ (16),5.5527,L
436,437.,Mark Gubicza (14),5.5498,R
437,438.,Johnny Vander Meer (13),5.5334,L
438,439.,Pat Dobson (11),5.5222,R
439,440.,Roberto Hernandez (11),5.5193,R
440,441.,Mike Hampton (16),5.5032,L
441,442.,Carl Pavano (14),5.4896,R
442,443.,Orval Overall (7),5.4809,R
443,444.,Gene Nelson (13),5.4583,R
444,445.,Pete Vuckovich (11),5.4544,R
445,446.,Ted Gray (9),5.4524,L
446,447.,Bob McClure (19),5.4451,L
447,448.,Dennis Leonard (12),5.4444,R
448,449.,Billy Pierce (18),5.4408,L
449,450.,Ted Power (13),5.4388,R
450,451.,Larry McWilliams (13),5.4289,L
451,452.,Joel Pineiro (12),5.4277,R
452,453.,Mark Redman (10),5.4276,L
453,454.,Pete Falcone (10),5.4238,L
454,455.,Chuck Dobson (9),5.4215,R
455,456.,Don Mossi (12),5.4186,L
456,457.,Brian Bohanon (12),5.4113,L
457,458.,Vinegar Bend Mizell (9),5.4047,L
458,459.,Hal Newhouser+ (17),5.4006,L
459,460.,Ken Johnson (13),5.3979,R
460,461.,Julian Tavarez (17),5.3962,R
461,462.,Jamie Moyer (25),5.3925,L
462,463.,Bob Ojeda (15),5.3876,L
463,464.,Ken Hill (14),5.3872,R
464,465.,Jim Lonborg (15),5.3869,R
465,466.,Brad Radke (12),5.3868,R
466,467.,Hugh Daily (6),5.3809,R
467,468.,Ron Reed (19),5.3804,R
468,469.,Tom Underwood (11),5.3796,L
469,470.,Jason Johnson (11),5.3721,R
470,471.,Jason Marquis (15),5.3680,R
471,472.,Kenny Rogers (20),5.3629,L
472,473.,Joe Nuxhall (16),5.3625,L
473,474.,Willie Blair (12),5.3619,R
474,475.,Steve Stone (11),5.3597,R
475,476.,Tim Leary (13),5.3590,R
476,477.,Pat Rapp (10),5.3520,R
477,478.,Jimmy Key (15),5.3410,L
478,479.,Walter Johnson+ (21),5.3397,R
479,480.,Bruce Kison (15),5.3363,R
480,481.,Jeremy Guthrie (13),5.3327,R
481,482.,Tommy Bridges (16),5.3306,R
482,483.,Jarrod Washburn (12),5.3266,L
483,484.,Dizzy Dean+ (12),5.3204,R
484,485.,Danny Jackson (15),5.3192,L
485,486.,Tom Glavine+ (22),5.3164,L
486,487.,Lee Stange (10),5.3141,R
487,488.,Elmer Dessens (14),5.3111,R
488,489.,Mike Moore (14),5.2983,R
489,490.,Storm Davis (13),5.2969,R
490,491.,Johnny Klippstein (18),5.2966,R
491,492.,Dick Hall (19),5.2943,R
492,493.,Dan Spillner (12),5.2939,R
493,494.,Pat Jarvis (8),5.2921,R
494,495.,Van Mungo (14),5.2901,R
495,496.,Eric Show (11),5.2804,R
496,497.,Lefty Gomez+ (14),5.2785,L
497,498.,Sidney Ponson (12),5.2712,R
498,499.,Ed Walsh+ (14),5.2707,R
499,500.,Ron Perranoski (13),5.2636,L
500,501.,Mark Clark (10),5.2570,R
501,502.,Bobby Jones (10),5.2566,R
502,503.,Jamey Wright (19),5.2542,R
503,504.,Steve Renko (15),5.2506,R
504,505.,Catfish Hunter+ (15),5.2497,R
505,506.,Johnny Antonelli (12),5.2491,L
506,507.,Jim Bouton (10),5.2314,R
507,508.,Mike Cuellar (15),5.2308,L
508,509.,Kirk McCaskill (12),5.2209,R
509,510.,Ray Washburn (10),5.2066,R
510,511.,Marty Pattin (13),5.2049,R
511,512.,Bill Hands (11),5.2035,R
512,513.,George Stone (9),5.2025,L
513,514.,Don Aase (13),5.2004,R
514,515.,Paul Quantrill (14),5.1964,R
515,516.,Bob Miller (17),5.1923,R
516,517.,Jack Sanford (12),5.1910,R
517,518.,Dave Stieb (16),5.1880,R
518,519.,Charles Hudson (7),5.1803,R
519,520.,Lefty Grove+ (17),5.1753,L
520,521.,Oil Can Boyd (10),5.1746,R
521,522.,Mickey McDermott (12),5.1744,L
522,523.,Jim Beattie (9),5.1712,R
523,524.,Bryn Smith (13),5.1649,R
524,525.,Lady Baldwin (6),5.1504,L
525,526.,Bill Monbouquette (11),5.1485,R
526,527.,Virgil Trucks (17),5.1470,R
527,528.,Dennis Rasmussen (12),5.1449,L
528,529.,Steve Rogers (13),5.1412,R
529,530.,Allie Reynolds (13),5.1386,R
530,531.,Joe Saunders (10),5.1379,L
531,532.,Carl Erskine (12),5.1371,R
532,533.,Ray Moore (11),5.1349,R
533,534.,Don Cardwell (14),5.1338,R
534,535.,Atlee Hammaker (12),5.1313,L
535,536.,Mark Hendrickson (10),5.1275,L
536,537.,Mark Buehrle (16),5.1259,L
537,538.,Cy Seymour (16),5.1243,L
538,539.,Braden Looper (12),5.1199,R
539,540.,Pat Zachry (10),5.1141,R
540,541.,Dave Wickersham (10),5.1131,R
541,542.,Dan Schatzeder (15),5.1116,L
542,543.,Blue Moon Odom (13),5.1113,R
543,544.,Rick Reuschel (19),5.1109,R
544,545.,Mike Pelfrey (12),5.1086,R
545,546.,Chief Bender+ (16),5.1041,R
546,547.,Mike Norris (10),5.0910,R
547,548.,Ed Whitson (15),5.0866,R
548,549.,Jim Clancy (15),5.0840,R
549,550.,Willie Mitchell (11),5.0790,L
550,551.,Milt Wilcox (16),5.0742,R
551,552.,Tommy Byrne (13),5.0617,L
552,553.,Burt Hooton (15),5.0600,R
553,554.,Lew Krausse (12),5.0551,R
554,555.,Steve Blass (10),5.0484,R
555,556.,Andy Hassler (14),5.0475,L
556,557.,Doug Bird (11),5.0426,R
557,557.,Jim Palmer+ (19),5.0426,R
558,559.,Gene Conley (11),5.0306,R
559,560.,Ralph Branca (12),5.0276,R
560,561.,Ken Holtzman (15),5.0252,L
561,562.,Dick Tidrow (13),5.0239,R
562,563.,Danny Cox (11),5.0131,R
563,564.,Larry Christenson (11),5.0112,R
564,565.,Ryan Franklin (12),5.0058,R
565,565.,Turk Lown (11),5.0058,R
566,567.,Mike McCormick (16),4.9947,L
567,568.,Pedro Ramos (15),4.9858,R
568,569.,Dave McNally (14),4.9846,L
569,570.,Bobo Newsom (20),4.9844,R
570,571.,Bobby Shantz (16),4.9843,L
571,572.,Frank Sullivan (11),4.9833,R
572,573.,Paul Lindblad (14),4.9758,L
573,574.,Doug Rau (9),4.9746,L
574,575.,Jake Westbrook (13),4.9695,R
575,576.,Paul Foytack (11),4.9686,R
576,577.,Bob Shirley (11),4.9651,L
577,578.,Tomo Ohka (10),4.9626,R
578,579.,Nelson Briles (14),4.9567,R
579,580.,John Tudor (12),4.9482,L
580,581.,Johnny Allen (13),4.9376,R
581,582.,Jack Kralick (9),4.9360,L
582,582.,Don Larsen (14),4.9360,R
583,584.,Brian Moehler (14),4.9326,R
584,585.,Rick Rhoden (16),4.9239,R
585,586.,Kyle Kendrick (10),4.9211,R
586,587.,Jeff Suppan (17),4.9200,R
587,588.,Steve Hargan (12),4.9136,R
588,589.,Jim McGlothlin (9),4.9072,R
589,590.,Craig Swan (12),4.9018,R
590,591.,Bob Knepper (15),4.8955,L
591,592.,Paul Byrd (14),4.8951,R
592,593.,Jim Kaat (25),4.8890,L
593,594.,Dick Ruthven (14),4.8862,R
594,595.,Ike Delock (11),4.8853,R
595,596.,Milt Pappas (17),4.8814,R
596,597.,Kent Tekulve (16),4.8800,R
597,598.,Billy Loes (11),4.8768,R
598,599.,Dave Goltz (12),4.8758,R
599,600.,Jaime Navarro (12),4.8737,R
600,601.,Phil Regan (13),4.8715,R
601,602.,Josh Fogg (9),4.8689,R
602,603.,Ralph Terry (12),4.8666,R
603,604.,Glen Hobbie (8),4.8599,R
604,605.,Dave LaPoint (12),4.8552,L
605,606.,Dupee Shaw (6),4.8524,L
606,607.,Jim Rooker (13),4.8521,L
607,608.,Mike Smithson (8),4.8506,R
608,609.,Mike Flanagan (18),4.8444,L
