,Rank,"Player (yrs, age)",Home Runs per 9 IP,Throws
166,167.,Babe Adams (19),0.2013,R
167,168.,Tom Seaton (6),0.2015,R
168,169.,Bill Duggleby (8),0.2016,R
169,169.,Jakie May (14),0.2016,L
170,171.,Clark Griffith+ (21),0.2020,R
171,172.,Jim Whitney (10),0.2034,R
172,173.,Bert Cunningham (12),0.2040,R
173,174.,Lefty Tyler (12),0.2058,L
174,175.,Red Ehret (11),0.2059,R
175,176.,Scott Stratton (8),0.2093,R
176,177.,Dupee Shaw (6),0.2094,L
177,178.,Charlie Sweeney (6),0.2096,R
178,179.,Bob Barr (5),0.2100,R
179,180.,Frank Kitson (10),0.2107,R
180,181.,Nick Cullop (6),0.2109,L
181,182.,Fred Goldsmith (7),0.2125,R
182,183.,Pat Ragan (11),0.2126,R
183,184.,Elmer Knetzer (8),0.2130,R
184,185.,Kaiser Wilhelm (9),0.2136,R
185,186.,Al Demaree (8),0.2149,R
186,187.,Henry Porter (6),0.2158,R
187,188.,Cy Seymour (16),0.2168,L
188,189.,Slim Sallee (14),0.2169,L
189,190.,Jersey Bakley (6),0.2171,R
190,191.,Carl Mays (15),0.2175,R
191,192.,George Suggs (8),0.2179,R
192,193.,Ben Sanders (5),0.2209,R
193,194.,Dutch Leonard (11),0.2217,L
194,195.,Bill Phillips (7),0.2225,R
195,196.,Buster Brown (9),0.2232,R
196,197.,Bill Carrick (5),0.2242,R
197,198.,Ice Box Chamberlain (10),0.2249,R
198,199.,Jack Powell (16),0.2256,R
199,200.,Lefty Williams (7),0.2277,L
200,201.,Bill Dinneen (12),0.2283,R
201,202.,Dutch Ruether (11),0.2287,L
202,203.,Phil Knell (6),0.2293,L
203,204.,Bill Doak (16),0.2296,R
204,205.,Charlie Buffinton (11),0.2300,R
205,206.,Hooks Wiltse (12),0.2301,L
206,207.,Dan Casey (7),0.2303,L
207,208.,Hooks Dauss (15),0.2309,R
208,208.,Lee Viau (5),0.2309,R
209,210.,Jouett Meekin (10),0.2314,R
210,211.,Art Fromme (10),0.2316,R
211,212.,Win Mercer (9),0.2318,R
212,213.,Jim Bagby (9),0.2322,R
213,214.,Old Hoss Radbourn+ (12),0.2346,R
214,215.,Henry Boyle (6),0.2357,R
215,216.,Jack Quinn (23),0.2365,R
216,217.,Fred Toney (12),0.2366,R
217,218.,Ray Caldwell (12),0.2368,R
218,219.,Theodore Breitenstein (11),0.2391,L
219,220.,Duke Esper (9),0.2396,L
220,221.,Stump Weidman (9),0.2407,R
221,222.,Lee Meadows (15),0.2420,R
222,223.,Nig Cuppy (10),0.2444,R
223,224.,Red Faber+ (20),0.2445,R
224,225.,Bill Hart (8),0.2446,R
225,226.,Elmer Myers (8),0.2450,R
226,227.,Frank Foreman (11),0.2457,R
227,228.,Gus Weyhing (14),0.2490,R
228,229.,Charlie Ferguson (4),0.2496,R
229,230.,Sherry Smith (14),0.2499,L
230,231.,Jeff Pfeffer (13),0.2505,R
231,232.,Jack Dunn (8),0.2508,R
232,233.,Pol Perritt (10),0.2511,R
233,234.,Jack Lynch (7),0.2526,R
234,235.,Larry Corcoran (8),0.2558,R
235,236.,Ferdie Schupp (10),0.2562,L
236,237.,Mark Baldwin (7),0.2601,R
237,238.,Lady Baldwin (6),0.2655,L
238,239.,Wilbur Cooper (15),0.2664,L
239,240.,Dana Fillingim (8),0.2676,R
240,241.,Willie Sudhoff (10),0.2689,R
241,242.,Hank Gastright (7),0.2697,R
242,243.,Erskine Mayer (8),0.2712,R
243,244.,Ed Stein (8),0.2717,R
244,245.,Russ Ford (7),0.2723,R
245,246.,Phil Douglas (9),0.2740,R
246,247.,Pete Conway (5),0.2769,R
247,248.,Kid Nichols+ (15),0.2771,R
248,249.,Al Hollingsworth (11),0.2782,L
249,250.,Brickyard Kennedy (12),0.2792,R
250,251.,Bullet Joe Bush (17),0.2800,R
251,252.,Jimmy Lavender (6),0.2833,R
252,253.,Ed Daily (7),0.2836,R
253,254.,Pete Donohue (12),0.2855,R
254,255.,Pete Alexander+ (20),0.2861,R
255,255.,Jake Miller (9),0.2861,L
256,257.,Kid Gleason (22),0.2863,R
257,258.,Ed Crane (9),0.2901,R
258,259.,Rube Marquard+ (18),0.2912,L
259,260.,Elmer Jacobs (9),0.2951,R
260,261.,Cinders O'Brien (4),0.2998,R
261,262.,Joe Oeschger (12),0.3020,R
262,263.,Egyptian Healy (8),0.3024,R
263,264.,Doc Crandall (10),0.3026,R
264,265.,Rollie Naylor (7),0.3029,R
265,266.,Bill Hutchison (9),0.3040,R
266,267.,Henry Gruber (5),0.3050,R
267,268.,George Mogridge (15),0.3059,L
268,269.,Jesse Barnes (13),0.3117,R
269,270.,George Hemming (8),0.3118,R
270,271.,Leon Cadore (10),0.3150,R
271,272.,John Clarkson+ (12),0.3155,R
272,273.,Dolf Luque (20),0.3158,R
273,274.,Jack Taylor (9),0.3185,R
274,275.,Burleigh Grimes+ (19),0.3187,R
275,276.,George Haddock (7),0.3190,R
276,277.,Kid Carsey (10),0.3224,R
277,278.,Herb Pennock+ (22),0.3225,L
278,279.,Howard Ehmke (15),0.3286,R
279,280.,Tom Lovett (6),0.3309,R
280,281.,Pretzels Getzien (9),0.3367,R
281,282.,Jesse Duryea (5),0.3392,R
282,283.,Tom Zachary (19),0.3397,L
283,284.,Johnny Morrison (10),0.3401,R
284,284.,Bob Shawkey (15),0.3401,R
285,286.,Charlie Robertson (8),0.3403,R
286,287.,Dave Danforth (10),0.3415,L
287,288.,Greg Minton (16),0.3423,R
288,289.,George Uhle (17),0.3433,R
289,290.,Frank Dwyer (12),0.3448,R
290,291.,Al Javery (7),0.3466,R
291,292.,Claude Passeau (13),0.3475,R
292,293.,Sad Sam Jones (22),0.3500,R
293,294.,Hank O'Day+ (7),0.3543,R
294,295.,Art Nehf (15),0.3557,L
295,296.,Max Lanier (14),0.3613,L
296,297.,Jack Russell (15),0.3643,R
297,298.,Mike Sullivan (10),0.3644,R
298,299.,Ted Lewis (6),0.3651,R
299,300.,Bill Hallahan (12),0.3672,L
300,301.,Mace Brown (10),0.3683,R
301,302.,Waite Hoyt+ (21),0.3684,R
302,303.,Ad Gumbert (9),0.3697,R
303,304.,Dizzy Trout (15),0.3698,R
304,305.,Lefty Grove+ (17),0.3700,L
305,306.,Harry Staley (8),0.3714,R
306,307.,Danny MacFayden (17),0.3725,R
307,308.,Allen Russell (11),0.3744,R
308,309.,Al Maul (15),0.3748,R
309,310.,Slim Harriss (9),0.3754,R
310,311.,Joe Shaute (13),0.3762,L
311,312.,Sheriff Blake (10),0.3778,R
312,313.,Virgil Barnes (9),0.3784,R
313,314.,Van Mungo (14),0.3791,R
314,315.,Bob Klinger (8),0.3799,R
315,316.,Ron Perranoski (13),0.3831,L
316,317.,Rip Collins (11),0.3839,R
317,318.,Hugh McQuillan (10),0.3861,R
318,319.,Spud Chandler (11),0.3879,R
319,319.,Ken Holloway (9),0.3879,R
320,321.,Paul Derringer (15),0.3901,R
321,322.,Kent Tekulve (16),0.3947,R
322,323.,George Pipgras (11),0.3991,R
323,324.,Dazzy Vance+ (16),0.4004,R
324,325.,Jimmy Ring (12),0.4009,R
325,326.,Jack Stivetts (11),0.4052,R
326,327.,Willis Hudlin (16),0.4064,R
327,328.,Hal Newhouser+ (17),0.4090,L
328,329.,J.R. Richard (10),0.4091,R
329,330.,Mort Cooper (11),0.4107,R
330,331.,Ownie Carroll (9),0.4126,R
331,332.,Hal Carlson (14),0.4136,R
332,333.,Terry Forster (16),0.4151,L
333,334.,Firpo Marberry (14),0.4179,R
334,335.,Benny Frey (8),0.4190,R
335,336.,Mel Harder (20),0.4229,R
336,337.,Gary Lavelle (13),0.4230,L
337,338.,Larry Benton (13),0.4232,R
338,338.,Dixie Davis (10),0.4232,R
339,340.,Ken Chase (8),0.4249,L
340,341.,George Smith (8),0.4251,R
341,342.,Bob Veale (13),0.4252,L
342,343.,Ted Blankenship (9),0.4261,R
343,343.,Bill Wight (12),0.4261,L
344,345.,Johnny Vander Meer (13),0.4276,L
345,346.,Roger McDowell (12),0.4286,R
346,347.,Bill Lee (14),0.4305,R
347,348.,Lloyd Brown (12),0.4306,L
348,349.,Johnny Niggeling (9),0.4318,R
349,350.,Dizzy Dean+ (12),0.4346,R
350,351.,Urban Shocker (13),0.4363,R
351,352.,Dutch Leonard (20),0.4418,R
352,353.,Watty Clark (12),0.4430,L
353,354.,Clay Carroll (15),0.4456,R
354,355.,Stubby Overmire (10),0.4458,L
355,356.,Johnny Murphy (13),0.4478,R
356,357.,Johnny Humphries (9),0.4491,R
357,358.,Bucky Walters (19),0.4493,R
358,359.,Wes Ferrell (15),0.4529,R
359,360.,Fred Heimach (13),0.4540,L
360,361.,Ewell Blackwell (10),0.4565,R
361,362.,Fritz Ostermueller (15),0.4573,L
362,363.,Johnny Lanning (11),0.4622,R
363,364.,Denny Galehouse (15),0.4626,R
364,365.,Jesse Haines+ (19),0.4628,R
365,366.,Percy Jones (9),0.4649,L
366,367.,Mickey Haefner (8),0.4664,L
367,368.,Clarence Mitchell (18),0.4668,L
368,369.,Larry French (14),0.4683,L
369,370.,Thornton Lee (16),0.4710,L
370,371.,Jack Scott (12),0.4712,R
371,372.,Hank Wyse (8),0.4723,R
372,373.,Cy Blanton (9),0.4728,R
373,374.,Orval Grove (10),0.4742,R
374,375.,Johnny Allen (13),0.4753,R
375,376.,Si Johnson (17),0.4774,R
376,377.,Steve Rogers (13),0.4789,R
377,378.,Ted Lyons+ (21),0.4802,R
378,379.,Allie Reynolds (13),0.4803,R
379,380.,Red Lucas (16),0.4815,R
380,381.,Johnny Schmitz (13),0.4816,L
381,382.,Pat Malone (10),0.4841,R
382,383.,Earl Whitehill (17),0.4848,L
383,384.,Eddie Rommel (13),0.4857,R
384,385.,Milt Gaston (11),0.4874,R
385,386.,Elam Vangilder (11),0.4879,R
386,387.,Cliff Melton (8),0.4891,L
387,388.,Vic Aldridge (9),0.4892,R
388,389.,Roger Wolff (7),0.4915,R
389,390.,Rip Sewell (13),0.4926,R
390,391.,Elmer Riddle (10),0.4927,R
391,392.,Alex Ferguson (10),0.4929,R
392,393.,Bobo Newsom (20),0.4932,R
393,394.,Joe Genewich (9),0.4944,R
394,395.,Lefty Gomez+ (14),0.4962,L
395,396.,Mariano Rivera+ (19),0.4978,R
396,397.,Bill Sherdel (15),0.4983,L
397,398.,Guy Bush (17),0.4993,R
398,399.,Harry Gumbert (15),0.5009,R
399,399.,Whit Wyatt (16),0.5009,R
400,401.,Max Butcher (10),0.5034,R
401,402.,Tex Hughson (8),0.5038,R
402,403.,Mike Garcia (14),0.5049,R
403,404.,Jack Kramer (12),0.5057,R
404,405.,Jim Tobin (9),0.5068,R
405,406.,Hal Schumacher (13),0.5076,R
406,407.,Socks Seibold (9),0.5077,R
407,408.,Dan Quisenberry (12),0.5089,R
408,408.,Al Smith (12),0.5089,L
409,410.,Ivy Andrews (8),0.5101,R
410,411.,Bump Hadley (16),0.5102,R
411,412.,Dean Chance (11),0.5113,R
412,413.,Sam Gray (10),0.5120,R
413,414.,Mike LaCoss (14),0.5122,R
414,415.,Mike Marshall (14),0.5127,R
415,416.,Jumbo Elliott (10),0.5146,L
416,417.,Monte Pearson (10),0.5162,R
417,418.,Bob Moose (10),0.5179,R
418,419.,Clint Brown (15),0.5210,R
419,420.,Freddie Fitzsimmons (19),0.5221,R
420,421.,Ray Kolp (12),0.5225,R
421,422.,General Crowder (11),0.5259,R
422,423.,Red Ruffing+ (22),0.5262,R
423,424.,Bob Feller+ (18),0.5268,R
424,425.,Ben Cantwell (11),0.5280,R
425,426.,Al McBean (10),0.5288,R
426,427.,Bob Smith (15),0.5289,R
427,428.,Fred Frankhouse (13),0.5291,R
428,429.,Jim Bagby (10),0.5293,R
429,430.,Monte Weaver (9),0.5304,R
430,431.,Schoolboy Rowe (15),0.5312,R
431,432.,Ed Brandt (11),0.5317,L
432,433.,Charlie Root (17),0.5320,R
433,434.,Jim Turner (9),0.5327,R
434,435.,Mel Parnell (10),0.5340,L
435,436.,Hugh Mulcahy (9),0.5346,R
436,437.,Kirby Higbe (12),0.5347,R
437,438.,Darold Knowles (16),0.5357,L
438,439.,Nolan Ryan+ (27),0.5364,R
439,440.,Andy Hassler (14),0.5368,L
440,441.,Vic Sorrell (10),0.5384,R
441,442.,Steve Trout (12),0.5395,L
442,443.,Boom-Boom Beck (12),0.5403,R
443,444.,Joe Haynes (14),0.5408,R
444,445.,Al Brazle (10),0.5425,L
445,446.,Sloppy Thurston (9),0.5426,R
446,447.,Sparky Lyle (16),0.5438,L
447,448.,Roy Parmelee (10),0.5463,R
448,449.,Ed Heusser (9),0.5465,R
449,449.,Bill Singer (14),0.5465,R
450,451.,Huck Betts (10),0.5467,R
451,452.,Harry Brecheen (12),0.5473,L
452,453.,Ted Abernathy (14),0.5486,R
453,454.,Curt Davis (13),0.5497,R
454,455.,Walt Masterson (14),0.5510,R
455,455.,Bob Weiland (12),0.5510,L
456,457.,Pedro Borbon (12),0.5523,R
457,458.,Joe Heving (13),0.5546,R
458,459.,Rube Walberg (15),0.5548,L
459,460.,Bill Swift (11),0.5551,R
460,461.,Red Barrett (11),0.5557,R
461,462.,Lil Stoner (9),0.5560,R
462,463.,Rick Reuschel (19),0.5605,R
463,464.,Ray Scarborough (10),0.5607,R
464,465.,Sid Hudson (12),0.5612,R
465,466.,Steve Barber (15),0.5628,L
466,467.,Al Benton (14),0.5651,R
467,468.,Hank Borowy (10),0.5661,R
468,468.,Lon Warneke (15),0.5661,R
469,470.,Ray Kremer (10),0.5663,R
470,471.,Clyde Shoun (14),0.5664,L
471,472.,Dick Coffman (15),0.5670,R
472,473.,Joe Dobson (14),0.5682,R
473,474.,Bob Lemon+ (15),0.5684,R
474,475.,Carl Hubbell+ (16),0.5690,L
475,476.,Ed Wells (11),0.5692,L
476,477.,Zane Smith (13),0.5721,L
477,478.,Jesse Petty (7),0.5735,L
478,479.,John Denny (13),0.5738,R
479,480.,Kevin Brown (19),0.5749,R
480,481.,Tommy Bridges (16),0.5764,R
481,482.,Tommy John (26),0.5770,L
482,483.,Danny Jackson (15),0.5775,L
483,484.,Vern Kennedy (12),0.5776,R
484,485.,Mel Stottlemyre (11),0.5783,R
485,486.,Bill Dietrich (16),0.5794,R
486,487.,Joe Hatten (7),0.5796,L
487,488.,Jack Wilson (9),0.5806,R
488,489.,Howie Fox (9),0.5847,R
489,490.,Al Fitzmorris (10),0.5850,R
490,491.,John Franco (21),0.5852,L
491,492.,Bob Miller (17),0.5859,R
492,493.,Mickey McDermott (12),0.5878,L
493,494.,Tex Carleton (8),0.5879,R
494,495.,Flint Rhem (12),0.5895,R
495,496.,Elden Auker (10),0.5913,R
496,497.,Rich Gossage+ (22),0.5919,R
497,498.,Dock Ellis (12),0.5921,R
498,499.,Sam McDowell (15),0.5922,L
499,500.,Bill Bonham (10),0.5930,R
500,501.,Joe Gibbon (13),0.5948,L
501,502.,Bob Gibson+ (17),0.5955,R
502,502.,Tommy Thomas (12),0.5955,R
503,504.,Bob Stanley (13),0.5958,R
504,505.,Bill Walker (10),0.5981,L
505,506.,Hoyt Wilhelm+ (21),0.5988,R
506,507.,Ken Heintzelman (13),0.5993,L
507,508.,Pete Appleton (14),0.5995,R
508,509.,Dennis Lamp (16),0.5998,R
509,510.,Bill Campbell (15),0.6003,R
510,510.,Phil Marchildon (9),0.6003,R
511,512.,Randy Jones (10),0.6006,L
512,513.,Jerry Reuss (22),0.6009,L
513,514.,Dave Righetti (16),0.6091,L
514,514.,Eddie Smith (10),0.6091,L
515,516.,Don Wilson (9),0.6126,R
516,517.,Jon Matlack (13),0.6132,L
517,518.,Blue Moon Odom (13),0.6143,R
518,519.,Lefty Stewart (10),0.6167,L
519,520.,Ed Figueroa (8),0.6185,R
520,521.,Steve Busby (8),0.6194,R
521,522.,Lee Smith+ (18),0.6213,R
522,523.,Red Munger (10),0.6226,R
523,524.,Oral Hildebrand (10),0.6228,R
524,525.,Howie Pollet (14),0.6235,L
525,526.,Joe Bowman (11),0.6263,R
526,527.,Mark Gubicza (14),0.6274,R
527,527.,Brandon Webb (7),0.6274,R
528,529.,Virgil Trucks (17),0.6308,R
529,530.,Chief Hogsett (11),0.6334,L
530,531.,Ray Benge (12),0.6335,R
531,532.,Greg Maddux+ (23),0.6343,R
532,533.,Gordon Rhodes (8),0.6351,R
533,534.,Vern Bickford (7),0.6355,R
534,535.,Jim Rooker (13),0.6363,L
535,536.,Alejandro Pena (15),0.6382,R
536,537.,Larry Christenson (11),0.6416,R
537,538.,Tug McGraw (19),0.6417,L
538,539.,David Palmer (10),0.6470,R
539,540.,Whitey Ford+ (16),0.6473,L
540,541.,Tommy Byrne (13),0.6476,L
541,541.,Claude Osteen (18),0.6476,L
542,543.,Joaquin Andujar (13),0.6479,R
543,544.,Joe Magrane (8),0.6483,L
544,545.,Bob Porterfield (12),0.6487,R
545,546.,Willard Nixon (9),0.6491,R
546,547.,Rollie Fingers+ (17),0.6507,R
547,548.,Joe Horlen (12),0.6518,R
548,549.,Bill Swift (13),0.6526,R
549,550.,Len Barker (11),0.6527,R
550,551.,Bruce Ruffin (12),0.6530,L
551,552.,Burt Hooton (15),0.6550,R
552,553.,Carl Morton (8),0.6551,R
553,554.,Ken Forsch (16),0.6558,R
554,555.,Nels Potter (12),0.6566,R
555,556.,Bob Rush (13),0.6571,R
556,557.,Dave Goltz (12),0.6575,R
557,558.,Mike Torrez (18),0.6594,R
558,559.,Eddie Lopat (12),0.6604,L
559,560.,Dave Giusti (15),0.6606,R
560,561.,Ron Reed (19),0.6612,R
561,562.,Pete Vuckovich (11),0.6617,R
562,563.,Jim O'Toole (10),0.6630,L
563,564.,Roger Clemens (24),0.6645,R
564,565.,Dave Roberts (13),0.6646,L
565,566.,Bruce Sutter+ (12),0.6651,R
566,567.,Early Wynn+ (23),0.6665,R
567,568.,George Earnshaw (9),0.6672,R
568,569.,Mickey Harris (9),0.6686,L
569,570.,Charlie Leibrandt (14),0.6707,L
570,571.,Tony Kaufmann (12),0.6711,R
571,572.,Gaylord Perry+ (22),0.6712,R
572,573.,Jim Maloney (12),0.6717,R
573,574.,Tom Burgmeier (17),0.6721,L
574,575.,Pat Zachry (10),0.6727,R
575,576.,Dwight Gooden (16),0.6748,R
576,577.,Clem Labine (13),0.6752,R
577,578.,Orel Hershiser (18),0.6756,R
578,579.,Paul Splittorff (15),0.6764,L
579,580.,Dick Fowler (10),0.6769,R
580,581.,Billy O'Dell (13),0.6786,L
581,582.,Tiny Bonham (10),0.6789,R
582,583.,Luke Hamlin (9),0.6790,R
583,583.,Gary Peters (14),0.6790,L
584,585.,Jerry Koosman (19),0.6798,L
585,586.,Bob Wickman (15),0.6799,R
586,587.,Doc Medich (11),0.6806,R
587,588.,Bob Muncrief (12),0.6808,R
588,589.,Vic Raschi (10),0.6828,R
589,589.,Johnny Rigney (8),0.6828,R
590,591.,Chad Billingsley (9),0.6830,R
591,591.,Jim Gott (14),0.6830,R
592,593.,Rudy May (16),0.6831,L
593,594.,Dave Koslo (12),0.6843,L
594,595.,Jim Bibby (12),0.6844,R
595,596.,Curt Simmons (20),0.6854,L
596,597.,Doug Jones (16),0.6860,R
597,598.,Rick Rhoden (16),0.6871,R
598,599.,Storm Davis (13),0.6874,R
599,600.,Steve Hargan (12),0.6893,R
600,601.,Jim Beattie (9),0.6895,R
601,602.,Jim Palmer+ (19),0.6907,R
602,603.,Bob Ojeda (15),0.6926,L
603,604.,Joe Niekro (22),0.6930,R
604,605.,Rick Waits (12),0.6938,L
605,606.,Fernando Valenzuela (17),0.6942,L
606,607.,Ed Halicki (7),0.6943,R
607,608.,Bob Forsch (16),0.6956,R
608,609.,Woodie Fryman (18),0.6980,L
609,610.,"Clayton Kershaw (13, 32)",0.6982,L
610,611.,Dave Stieb (16),0.6994,R
611,612.,Wilbur Wood (17),0.7008,L
612,613.,Jim Barr (12),0.7016,R
613,614.,Fritz Peterson (11),0.7019,L
614,615.,Andy Messersmith (12),0.7021,R
615,615.,Bobby Shantz (16),0.7021,L
616,617.,Al Downing (17),0.7023,L
617,618.,Bryn Smith (13),0.7034,R
618,619.,Jose Rijo (14),0.7037,R
619,620.,Dick Ruthven (14),0.7041,R
620,621.,Ellis Kinder (12),0.7056,R
621,622.,Doug Rau (9),0.7066,L
622,623.,Danny Cox (11),0.7072,R
