,Rank,"Player (yrs, age)",Caught Stealing %,Throws
218,218.,Kenji Johjima (4),40.00,R
219,218.,Lew McCarty (9),40.00,R
220,218.,Billy Meyer (3),40.00,R
221,218.,Ron Tingley (9),40.00,R
222,218.,Vance Wilson (8),40.00,R
223,224.,Ed Bailey (14),39.96,R
224,224.,Jack Doyle (17),39.96,R
225,226.,Tim Donahue (8),39.89,R
226,227.,George Mitterwald (11),39.88,R
227,228.,Billy Earle (5),39.84,R
228,229.,Ed Kirkpatrick (16),39.83,R
229,230.,Tom Padden (7),39.77,R
230,231.,Bob Boone (19),39.75,R
231,232.,Pat Donahue (3),39.73,R
232,233.,Rick Dempsey (24),39.70,R
233,234.,Phil Masi (14),39.64,R
234,235.,Bert Adams (8),39.61,R
235,235.,Joe Sugden (13),39.61,R
236,237.,Pop Schriver (14),39.57,R
237,238.,Ray Fosse (12),39.56,R
238,239.,Ernie Krueger (8),39.54,R
239,240.,Pinky Hargrave (10),39.52,R
240,241.,Butch Henline (11),39.47,R
241,242.,Malachi Kittridge (16),39.44,R
242,242.,Lew Ritter (7),39.44,R
243,244.,Jeff Newman (9),39.41,R
244,245.,Mickey Cochrane+ (13),39.39,R
245,246.,Johnny Edwards (14),39.33,R
246,247.,Charles Johnson (12),39.29,R
247,248.,Harry Chiti (10),39.27,R
248,248.,Jack Lapp (9),39.27,R
249,250.,Red McKee (4),39.26,R
250,251.,Bob Scheffing (8),39.23,R
251,252.,Mike Guerra (9),39.15,R
252,253.,Frank Bruggy (5),39.11,R
253,253.,"Christian Vazquez (6, 29)",39.11,R
254,255.,Jerry McNertney (9),39.05,R
255,256.,Larry Haney (12),39.01,R
256,257.,Aleck Smith (9),38.99,R
257,258.,Charlie Dexter (8),38.95,R
258,258.,Frank Roth (6),38.95,R
259,260.,Drummond Brown (3),38.94,R
260,261.,Terry Humphrey (9),38.80,R
261,262.,Glenn Borgmann (9),38.61,R
262,262.,Andy Etchebarren (15),38.61,R
263,264.,Lance Parrish (19),38.58,R
264,265.,Hughie Hearne (3),38.54,R
265,265.,Manny Sanguillen (13),38.54,R
266,267.,Jason LaRue (12),38.51,R
267,268.,Ed Phelps (11),38.43,R
268,269.,Babe Phelps (11),38.35,R
269,270.,Rick Wilkins (11),38.34,R
270,271.,Elrod Hendricks (12),38.33,R
271,272.,Fred Hofmann (9),38.28,R
272,273.,Tom Cahill (1),38.24,
273,274.,Farmer Vaughn (13),38.23,R
274,275.,Earl Grace (8),38.19,R
275,276.,Joe Ginsberg (13),38.16,R
276,277.,Steve Yeager (15),38.02,R
277,278.,Darrell Porter (17),38.01,R
278,279.,Phil Roof (15),37.97,R
279,280.,Barry Foote (10),37.96,R
280,281.,Hank DeBerry (11),37.95,R
281,281.,Connie Mack+ (11),37.95,R
282,283.,Buck Ewing+ (18),37.92,R
283,284.,Johnny Oates (11),37.87,R
284,285.,Eli Marrero (10),37.80,R
285,286.,Morgan Murphy (11),37.75,R
286,287.,Bob Geren (5),37.71,R
287,288.,Jerry Grote (16),37.68,R
288,289.,Jim Keenan (11),37.50,R
289,290.,Jim Toy (2),37.39,R
290,291.,Pat Collins (10),37.38,R
291,292.,Joe Gunson (4),37.35,R
292,293.,Charlie Bennett (15),37.30,R
293,294.,Fran Healy (9),37.21,R
294,295.,Dann Bilardello (8),37.14,R
295,295.,Tom Pagnozzi (12),37.14,R
296,297.,John Munyan (3),37.11,
297,297.,John Stearns (11),37.11,R
298,299.,Glenn Myatt (16),37.06,R
299,300.,Cal Neeman (7),37.05,R
300,301.,Bill Wilson (3),37.00,R
301,302.,Lew Drill (4),36.97,R
302,303.,Rick Cerone (18),36.94,R
303,304.,Charlie O'Brien (15),36.91,R
304,305.,Bill Freehan (15),36.88,R
305,306.,Jack Boyle (13),36.87,R
306,307.,Doggie Miller (13),36.84,R
307,308.,Mike LaValliere (12),36.83,R
308,309.,Jose Molina (15),36.79,R
309,310.,Damian Miller (11),36.73,R
310,311.,Mike Grady (11),36.71,R
311,312.,Hal Smith (10),36.66,R
312,313.,Larry Woodall (10),36.63,R
313,314.,Mark Johnson (8),36.61,R
314,315.,Jerry Moses (9),36.60,R
315,316.,Grover Hartley (14),36.56,R
316,317.,Billy Sullivan (12),36.53,R
317,318.,Chad Kreuter (16),36.47,R
318,319.,Deacon McGuire (26),36.43,R
319,320.,Smoky Burgess (18),36.41,R
320,320.,Mike Heath (14),36.41,R
321,322.,Lave Cross (21),36.40,R
322,323.,Klondike Douglass (9),36.35,R
323,323.,Jocko Milligan (10),36.35,R
324,325.,Ryan Hanigan (11),36.34,R
325,326.,Brandon Inge (13),36.31,R
326,327.,Terry Steinbach (14),36.30,R
327,328.,Ron Brand (8),36.28,R
328,328.,Tom Satriano (10),36.28,R
329,330.,Johnny Grabowski (7),36.25,R
330,331.,Joe Garagiola (9),36.10,R
331,332.,Gene Oliver (10),36.08,R
332,332.,"Rene Rivera (12, 36)",36.08,R
333,334.,Con Daily (12),36.03,R
334,334.,"Martin Maldonado (10, 33)",36.03,R
335,334.,Gene Tenace (15),36.03,R
336,334.,Dave Valle (13),36.03,R
337,338.,Brian Schneider (13),36.02,R
338,339.,Duffy Dyer (14),35.99,R
339,339.,Milt May (15),35.99,R
340,341.,Jeff Torborg (10),35.97,R
341,342.,Jerry Harrington (4),35.92,R
342,343.,Val Picinich (18),35.89,R
343,344.,"James McCann (7, 30)",35.88,R
344,345.,Charlie Moore (15),35.84,R
345,345.,Sy Sutcliffe (7),35.84,L
346,347.,"J.T. Realmuto (7, 29)",35.83,R
347,348.,Paul Krichell (2),35.81,R
348,349.,Bob Davis (8),35.78,R
349,350.,Frank Grube (7),35.76,R
350,350.,Ed Ott (8),35.76,R
351,352.,Buck Martinez (17),35.73,R
352,353.,Wilbert Robinson+ (17),35.71,R
353,354.,Jorge Fabregas (9),35.60,R
354,355.,Parke Wilson (7),35.55,R
355,356.,Bill Merritt (8),35.48,R
356,357.,Kirt Manwaring (13),35.34,R
357,358.,Jody Davis (10),35.32,R
358,359.,Dick Buckley (8),35.31,R
359,359.,Tom Kinslow (10),35.31,R
360,359.,Johnny Peacock (9),35.31,R
361,362.,Bob Brenly (9),35.26,R
362,363.,Dick Billings (8),35.22,R
363,364.,"Salvador Perez (9, 30)",35.13,R
364,365.,Gary Carter+ (19),35.10,R
365,366.,Jamie Quirk (18),35.08,R
366,367.,Mike Matheny (13),35.06,R
367,368.,Mike Difelice (13),35.04,R
368,369.,Duke Sims (11),35.01,R
369,370.,Marc Hill (14),34.96,R
370,371.,Tom Haller (12),34.94,R
371,372.,Brad Ausmus (18),34.93,R
372,373.,Tony Pena (18),34.89,R
373,374.,Tom Lampkin (13),34.87,R
374,375.,Gerald Laird (13),34.85,R
375,376.,David Ross (15),34.74,R
376,377.,Duane Josephson (8),34.69,R
377,377.,Benito Santiago (20),34.69,R
378,379.,John Romano (10),34.66,R
379,380.,Alex Trevino (13),34.57,R
380,381.,Pat Borders (17),34.54,R
381,382.,Jack Hiatt (9),34.50,R
382,383.,Mike Scioscia (13),34.44,R
383,384.,Tim McCarver (21),34.37,R
384,385.,Joe Ferguson (14),34.30,R
385,386.,Mark Parent (13),34.28,R
386,387.,Bo Diaz (13),34.23,R
387,388.,J.C. Martin (14),34.16,R
388,389.,Tom Prince (17),34.10,R
389,390.,Hal Wagner (12),34.09,R
390,391.,John Bateman (10),34.03,R
391,392.,Bill Fahey (11),33.99,R
392,392.,Bob Schmidt (7),33.99,R
393,394.,Ted Simmons+ (21),33.96,R
394,395.,Ben Davis (7),33.92,R
395,396.,Jim Donahue (5),33.91,R
396,397.,Einar Diaz (11),33.81,R
397,397.,Carlton Fisk+ (24),33.81,R
398,399.,Miguel Olivo (13),33.77,R
399,400.,Brian Downing (20),33.72,R
