,Rank,Player (age that year),Def. Games as RF (s.1901),Year,Throws
51,42.,Nick Markakis (34),158,2018,L
52,42.,Raul Mondesi (28),158,1999,R
53,42.,Dave Parker (26),158,1977,R
54,42.,Dave Parker (28),158,1979,R
55,42.,Ichiro Suzuki (30),158,2004,R
56,42.,Ichiro Suzuki (31),158,2005,R
57,58.,Bobby Abreu (33),157,2007,R
58,58.,Derek Bell (27),157,1996,R
59,58.,Mookie Betts (23),157,2016,R
60,58.,Bobby Bonds (27),157,1973,R
61,58.,Kole Calhoun (27),157,2015,L
62,58.,Rocky Colavito (30),157,1964,R
63,58.,Sam Crawford+ (34),157,1914,L
64,58.,Jose Cruz (29),157,2003,R
65,58.,Jermaine Dye (25),157,1999,R
66,58.,Buck Freeman (32),157,1904,L
67,58.,Carl Furillo (29),157,1951,R
68,58.,Shawn Green (30),157,2003,L
69,58.,Vladimir Guerrero+ (23),157,1998,R
70,58.,Ed Hahn (31),157,1907,R
71,58.,David Justice (27),157,1993,L
72,58.,Nick Markakis (27),157,2011,L
73,58.,Raul Mondesi (25),157,1996,R
74,58.,Hunter Pence (26),157,2009,R
75,58.,Glenn Wilson (26),157,1985,R
76,58.,Dave Winfield+ (27),157,1979,R
77,78.,Johnny Callison (24),156,1963,R
78,78.,Sam Crawford+ (35),156,1915,L
79,78.,Shawn Green (29),156,2002,L
80,78.,Tony Gwynn+ (24),156,1984,L
81,78.,Tony Gwynn+ (27),156,1987,L
82,78.,Corey Hart (26),156,2008,R
83,78.,Chuck Klein+ (25),156,1930,R
84,78.,Nick Markakis (24),156,2008,L
85,78.,Nick Markakis (33),156,2017,L
86,78.,Gary Matthews (28),156,1979,R
87,78.,Dale Murphy (32),156,1988,R
88,78.,Bill Nicholson (29),156,1944,R
89,78.,Hunter Pence (25),156,2008,R
90,78.,Alex Rios (31),156,2012,R
91,78.,Pete Rose (30),156,1971,R
92,78.,Ruben Sierra (21),156,1987,R
93,78.,Enos Slaughter+ (30),156,1946,R
94,78.,Sammy Sosa (29),156,1998,R
95,78.,Sammy Sosa (31),156,2000,R
96,78.,Rusty Staub (25),156,1969,R
97,78.,Dave Winfield+ (25),156,1977,R
98,99.,Kevin Bass (28),155,1987,R
99,99.,Jay Bruce (24),155,2011,L
100,99.,Tom Brunansky (24),155,1985,R
101,99.,Tom Brunansky (27),155,1988,R
102,99.,Tom Brunansky (28),155,1989,R
103,99.,Jack Clark (26),155,1982,R
104,99.,Juan Encarnacion (27),155,2003,R
105,99.,Pete Fox (29),155,1938,R
106,99.,Tommy Griffith (26),155,1916,R
107,99.,Nick Markakis (29),155,2013,L
108,99.,Willard Marshall (26),155,1947,R
109,99.,Magglio Ordonez (27),155,2001,R
110,99.,Hunter Pence (27),155,2010,R
111,99.,Sam Rice+ (27),155,1917,R
112,99.,Alex Rios (32),155,2013,R
113,99.,Pete Rose (29),155,1970,R
114,99.,Vic Wertz (24),155,1949,R
115,116.,Bobby Abreu (32),154,2006,R
116,116.,Derek Bell (29),154,1998,R
117,116.,Albert Belle (32),154,1999,R
118,116.,Jay Bruce (25),154,2012,L
119,116.,Jay Buhner (32),154,1997,R
120,116.,Jeff Burroughs (25),154,1976,R
121,116.,Jeff Burroughs (26),154,1977,R
122,116.,Kole Calhoun (28),154,2016,L
123,116.,Kole Calhoun (29),154,2017,L
124,116.,Johnny Callison (27),154,1966,R
125,116.,Shin-Soo Choo (29),154,2012,L
126,116.,Roberto Clemente+ (29),154,1964,R
127,116.,Roberto Clemente+ (31),154,1966,R
128,116.,Ty Cobb+ (22),154,1909,R
129,116.,Rocky Colavito (25),154,1959,R
130,116.,Jose Cruz (29),154,1977,L
131,116.,Chili Davis (28),154,1988,R
132,116.,Frank Demaree (27),154,1937,R
133,116.,Jeff Francoeur (25),154,2009,R
134,116.,Wilbur Good (28),154,1914,L
135,116.,Jason Heyward (22),154,2012,L
136,116.,Chuck Klein+ (27),154,1932,R
137,116.,Wally Moses (26),154,1937,L
138,116.,Bill Nicholson (28),154,1943,R
139,116.,Tony Oliva (25),154,1964,R
140,116.,Tony Oliva (31),154,1970,R
141,116.,Magglio Ordonez (29),154,2003,R
142,116.,Mel Ott+ (23),154,1932,R
143,116.,Wally Post (25),154,1955,R
144,116.,Frank Schulte (28),154,1911,R
145,116.,Ken Singleton (28),154,1975,R
146,116.,Charlie Spikes (23),154,1974,R
147,116.,Homer Summa (27),154,1926,R
148,116.,Paul Waner+ (30),154,1933,L
149,116.,Chief Wilson (25),154,1909,R
150,116.,Glenn Wilson (28),154,1987,R
151,116.,Dave Winfield+ (28),154,1980,R
152,116.,Whitey Witt (25),154,1921,R
153,154.,Tony Armas (26),153,1980,R
154,154.,Jesse Barfield (27),153,1987,R
155,154.,Mookie Betts (24),153,2017,R
156,154.,Tom Brunansky (23),153,1984,R
157,154.,Jeromy Burnitz (32),153,2001,R
158,154.,Jermaine Dye (27),153,2001,R
159,154.,Jeff Francoeur (27),153,2011,R
160,154.,Carl Furillo (28),153,1950,R
161,154.,Babe Herman (27),153,1930,L
162,154.,Jackie Jensen (31),153,1958,R
163,154.,Felix Jose (26),153,1991,R
164,154.,Nick Markakis (31),153,2015,L
165,154.,Don Mueller (27),153,1954,R
166,154.,Magglio Ordonez (25),153,1999,R
167,154.,Hunter Pence (28),153,2011,R
168,154.,Frank Robinson+ (29),153,1965,R
169,154.,Tim Salmon (27),153,1996,R
170,154.,Tim Salmon (28),153,1997,R
171,154.,Gary Sheffield (34),153,2003,R
172,154.,Ruben Sierra (22),153,1988,R
173,154.,Rusty Staub (31),153,1975,R
174,154.,Dixie Walker (26),153,1937,R
175,154.,Dixie Walker (34),153,1945,R
176,154.,Mitch Webster (28),153,1987,L
177,154.,Chief Wilson (29),153,1913,R
178,154.,Glenn Wilson (27),153,1986,R
179,154.,Ross Youngs+ (23),153,1920,R
180,181.,Hank Aaron+ (22),152,1956,R
181,181.,Bobby Abreu (26),152,2000,R
182,181.,Beals Becker (22),152,1909,L
183,181.,Tom Brunansky (25),152,1986,R
184,181.,Jack Clark (22),152,1978,R
185,181.,Jose Cruz (30),152,1978,L
186,181.,Andre Dawson+ (32),152,1987,R
187,181.,Dwight Evans (33),152,1985,R
188,181.,Jeff Francoeur (24),152,2008,R
189,181.,Shawn Green (26),152,1999,L
190,181.,Tony Gwynn+ (25),152,1985,L
191,181.,Bryce Harper (26),152,2019,R
192,181.,Chuck Klein+ (28),152,1933,R
193,181.,Tony Oliva (30),152,1969,R
194,181.,Magglio Ordonez (26),152,2000,R
195,181.,Mel Ott+ (33),152,1942,R
196,181.,Frank Robinson+ (26),152,1962,R
197,181.,Sammy Sosa (21),152,1990,R
198,181.,Rusty Staub (29),152,1973,R
199,181.,Ichiro Suzuki (27),152,2001,R
200,181.,Lee Thomas (28),152,1964,R
201,181.,Billy Williams+ (28),152,1966,R
202,181.,Dave Winfield+ (33),152,1985,R
203,181.,Ross Youngs+ (26),152,1923,R
204,205.,Hank Aaron+ (34),151,1968,R
205,205.,Jesse Barfield (30),151,1990,R
206,205.,Johnny Callison (23),151,1962,R
207,205.,Jose Cruz (30),151,2004,R
208,205.,Nelson Cruz (31),151,2012,R
209,205.,Jermaine Dye (34),151,2008,R
210,205.,Del Ennis (23),151,1948,R
211,205.,Carlos Gonzalez (29),151,2015,L
212,205.,Ben Grieve (22),151,1998,R
213,205.,Vladimir Guerrero+ (25),151,2000,R
214,205.,Harry Hooper+ (28),151,1916,R
215,205.,Harry Hooper+ (29),151,1917,R
216,205.,Jackie Jensen (29),151,1956,R
217,205.,Al Kaline+ (20),151,1955,R
218,205.,Willie Keeler+ (34),151,1906,L
219,205.,Gene Moore (26),151,1936,L
220,205.,Keith Moreland (29),151,1983,R
221,205.,Danny Murphy (33),151,1910,R
222,205.,Bill Nicholson (27),151,1942,R
223,205.,Bill Nicholson (30),151,1945,R
224,205.,Ron Northey (24),151,1944,R
225,205.,Paul O'Neill (36),151,1999,L
226,205.,Dave Parker (33),151,1984,R
227,205.,Stephen Piscotty (27),151,2018,R
228,205.,Ruben Sierra (24),151,1990,R
229,205.,Enos Slaughter+ (26),151,1942,R
230,205.,Billy Southworth+ (30),151,1923,R
231,205.,Darryl Strawberry (25),151,1987,L
232,205.,Ichiro Suzuki (37),151,2011,R
233,205.,Jack Tobin (31),151,1923,L
234,205.,Curt Walker (29),151,1926,R
235,205.,Earl Webb (33),151,1931,R
236,237.,Hank Aaron+ (26),150,1960,R
237,237.,Bobby Abreu (34),150,2008,R
238,237.,Bob Allison (26),150,1961,R
239,237.,Hubie Brooks (33),150,1990,R
240,237.,Jay Bruce (28),150,2015,L
241,237.,Jay Buhner (27),150,1992,R
242,237.,George Burns (33),150,1923,R
243,237.,Jeff Burroughs (23),150,1974,R
244,237.,Kole Calhoun (31),150,2019,L
245,237.,Ty Cobb+ (20),150,1907,R
246,237.,Ty Cobb+ (21),150,1908,R
247,237.,Roy Cullenbine (30),150,1944,R
248,237.,Steve Evans (26),150,1911,L
249,237.,Jose Guillen (31),150,2007,R
250,237.,Babe Herman (28),150,1931,L
251,237.,Jackie Jensen (28),150,1955,R
252,237.,Brian Jordan (32),150,1999,R
253,237.,Harry Lumley (23),150,1904,L
254,237.,Roger Maris (26),150,1961,R
255,237.,Nick Markakis (32),150,2016,L
256,237.,Charlie Moore (30),150,1983,R
257,237.,Bobby Murcer (31),150,1977,R
258,237.,Dale Murphy (34),150,1990,R
259,237.,Paul O'Neill (28),150,1991,L
260,237.,Paul O'Neill (35),150,1998,L
261,237.,Magglio Ordonez (28),150,2002,R
262,237.,Jim Piersall (23),150,1953,R
263,237.,Frank Schulte (27),150,1910,R
264,237.,Ken Singleton (30),150,1977,R
265,237.,Sammy Sosa (33),150,2002,R
266,237.,Darryl Strawberry (26),150,1988,L
267,237.,Ichiro Suzuki (28),150,2002,R
268,237.,Larry Walker+ (30),150,1997,R
269,237.,Paul Waner+ (34),150,1937,L
270,271.,Nori Aoki (31),149,2013,R
271,271.,Bobby Bonilla (27),149,1990,R
272,271.,Hubie Brooks (31),149,1988,R
273,271.,George Browne (28),149,1904,R
274,271.,Marlon Byrd (36),149,2014,R
275,271.,Gavvy Cravath (34),149,1915,R
276,271.,Sam Crawford+ (24),149,1904,L
277,271.,Dwight Evans (34),149,1986,R
278,271.,Steve Evans (30),149,1915,L
279,271.,Curtis Granderson (34),149,2015,R
280,271.,Jose Guillen (22),149,1998,R
281,271.,Jason Heyward (24),149,2014,L
282,271.,Bill Hinchman (32),149,1915,R
283,271.,Harry Hooper+ (27),149,1915,R
284,271.,Harry Hooper+ (34),149,1922,R
285,271.,Matt Kemp (30),149,2015,R
286,271.,Danny Moeller (29),149,1914,R
287,271.,Raul Mondesi (30),149,2001,R
288,271.,Johnny Moore (33),149,1935,R
289,271.,Danny Murphy (32),149,1909,R
290,271.,Manny Ramirez (24),149,1996,R
291,271.,Jack Rothrock (29),149,1934,R
292,271.,Ken Singleton (33),149,1980,R
293,271.,Enos Slaughter+ (23),149,1939,R
294,271.,Giancarlo Stanton (27),149,2017,R
295,271.,Casey Stengel+ (26),149,1917,L
296,271.,Darryl Strawberry (28),149,1990,L
297,271.,Danny Tartabull (24),149,1987,R
298,271.,John Titus (32),149,1908,L
299,271.,John Titus (33),149,1909,L
300,271.,Justin Upton (24),149,2012,R
301,271.,Dixie Walker (35),149,1946,R
302,271.,Ted Williams+ (20),149,1939,R
303,304.,Hank Aaron+ (31),148,1965,R
304,304.,Bobby Abreu (28),148,2002,R
305,304.,Ollie Brown (25),148,1969,R
306,304.,Jay Buhner (28),148,1993,R
307,304.,Jeff Burroughs (24),148,1975,R
308,304.,Shin-Soo Choo (32),148,2015,L
309,304.,Dwight Evans (27),148,1979,R
310,304.,Carlos Gonzalez (30),148,2016,L
311,304.,Harry Heilmann+ (30),148,1925,R
312,304.,Tommy Holmes (30),148,1947,L
313,304.,Shoeless Joe Jackson (25),148,1913,R
314,304.,Reggie Jackson+ (22),148,1968,L
315,304.,J.D. Martinez (27),148,2015,R
316,304.,Gene Moore (27),148,1937,L
317,304.,Keith Moreland (31),148,1985,R
318,304.,Eddie Murphy (22),148,1914,R
319,304.,Greasy Neale (28),148,1920,R
320,304.,Magglio Ordonez (32),148,2006,R
321,304.,Mel Ott+ (20),148,1929,R
322,304.,Mel Ott+ (27),148,1936,R
323,304.,Manny Ramirez (26),148,1998,R
324,304.,Lance Richbourg (30),148,1928,R
325,326.,Harold Baines+ (25),147,1984,L
326,326.,Jesse Barfield (25),147,1985,R
327,326.,Jesse Barfield (26),147,1986,R
328,326.,Kevin Bass (29),147,1988,R
329,326.,Johnny Callison (28),147,1967,R
330,326.,Roy Cullenbine (31),147,1945,R
331,326.,Andre Dawson+ (33),147,1988,R
332,326.,Ken Griffey (27),147,1977,L
333,326.,Harry Heilmann+ (29),147,1924,R
334,326.,Harry Hooper+ (24),147,1912,R
335,326.,Reggie Jackson+ (29),147,1975,L
336,326.,Nick Markakis (30),147,2014,L
337,326.,Bake McBride (30),147,1979,R
338,326.,Walt Moryn (31),147,1957,R
339,326.,Dale Murphy (35),147,1991,R
340,326.,Dave Parker (27),147,1978,R
341,326.,Sam Rice+ (33),147,1923,R
342,326.,Sam Rice+ (38),147,1928,R
343,326.,Sam Rice+ (39),147,1929,R
344,326.,Alex Rios (26),147,2007,R
345,326.,Socks Seybold (36),147,1907,R
346,326.,George Springer (26),147,2016,R
347,326.,Rusty Staub (30),147,1974,R
348,326.,John Titus (29),147,1905,L
349,326.,Curt Walker (25),147,1922,R
350,326.,Dixie Walker (36),147,1947,R
351,326.,Paul Waner+ (35),147,1938,L
352,326.,Ross Youngs+ (25),147,1922,R
353,354.,Bobby Abreu (24),146,1998,R
354,354.,Bobby Abreu (25),146,1999,R
355,354.,Bob Allison (28),146,1963,R
356,354.,Jay Bruce (23),146,2010,L
357,354.,Lou Clinton (25),146,1963,R
358,354.,Rocky Colavito (32),146,1966,R
359,354.,Tony Conigliaro (21),146,1966,R
360,354.,Sam Crawford+ (31),146,1911,L
361,354.,Jermaine Dye (26),146,2000,R
362,354.,Jermaine Dye (32),146,2006,R
363,354.,Andre Ethier (30),146,2012,L
364,354.,Carl Furillo (32),146,1954,R
365,354.,Danny Green (27),146,1904,R
366,354.,Babe Herman (29),146,1932,L
367,354.,Roy Johnson (28),146,1931,R
368,354.,Don Mueller (28),146,1955,R
369,354.,Bobby Murcer (30),146,1976,R
370,354.,Stan Musial+ (33),146,1954,L
371,354.,Paul O'Neill (33),146,1996,L
372,354.,Paul O'Neill (34),146,1997,L
373,354.,Tony Oliva (28),146,1967,R
374,354.,Mel Ott+ (21),146,1930,R
375,354.,Stephen Piscotty (25),146,2016,R
376,354.,Yasiel Puig (28),146,2019,R
377,354.,Manny Ramirez (25),146,1997,R
378,354.,Frank Schulte (23),146,1906,R
379,354.,Sammy Sosa (30),146,1999,R
380,354.,Ellis Valentine (23),146,1978,R
381,354.,Paul Waner+ (29),146,1932,L
382,354.,Jayson Werth (30),146,2009,R
383,354.,Chief Wilson (30),146,1914,R
384,385.,Bob Allison (27),145,1962,R
385,385.,Gus Bell (22),145,1951,R
386,385.,Tony Conigliaro (25),145,1970,R
387,385.,Al Cowens (30),145,1982,R
388,385.,Jeff Francoeur (28),145,2012,R
389,385.,Brad Hawpe (27),145,2006,L
390,385.,Harry Heilmann+ (26),145,1921,R
391,385.,Reggie Jackson+ (25),145,1971,L
392,385.,Jackie Jensen (26),145,1953,R
393,385.,Mike Mitchell (29),145,1909,R
394,385.,Trot Nixon (28),145,2002,L
395,385.,Ron Northey (23),145,1943,R
396,385.,Dick Porter (30),145,1932,R
397,385.,Yasiel Puig (26),145,2017,R
398,385.,Manny Ramirez (27),145,1999,R
399,385.,Floyd Robinson (29),145,1965,R
400,385.,Homer Summa (28),145,1927,R
401,385.,Ichiro Suzuki (35),145,2009,R
402,385.,Jack Tobin (30),145,1922,L
403,385.,Paul Waner+ (31),145,1934,L
404,385.,Paul Waner+ (33),145,1936,L
405,385.,Vic Wertz (25),145,1950,R
406,385.,Chief Wilson (27),145,1911,R
407,385.,Dave Winfield+ (34),145,1986,R
408,385.,Dave Winfield+ (35),145,1987,R
409,410.,Hank Aaron+ (25),144,1959,R
410,410.,Hank Aaron+ (35),144,1969,R
411,410.,Bruce Campbell (23),144,1933,R
412,410.,Jose Canseco (23),144,1988,R
413,410.,Roberto Clemente+ (26),144,1961,R
414,410.,Roberto Clemente+ (30),144,1965,R
415,410.,Roberto Clemente+ (32),144,1967,R
416,410.,Rocky Colavito (26),144,1960,R
417,410.,Bob Coulson (24),144,1911,R
418,410.,Dwight Evans (28),144,1980,R
419,410.,Carl Furillo (34),144,1956,R
420,410.,Doc Gessler (29),144,1910,L
421,410.,Jay Gibbons (26),144,2003,L
422,410.,Brian Giles (37),144,2008,L
423,410.,Ken Griffey (26),144,1976,L
424,410.,Mitch Haniger (27),144,2018,R
425,410.,Jason Heyward (25),144,2015,L
426,410.,Tommy Holmes (29),144,1946,L
427,410.,Reggie Jackson+ (23),144,1969,L
428,410.,Reggie Jackson+ (27),144,1973,L
429,410.,Geoff Jenkins (30),144,2005,R
430,410.,Brian Jordan (34),144,2001,R
431,410.,Austin Kearns (26),144,2006,R
432,410.,Chuck Klein+ (31),144,1936,R
433,410.,Chet Lemon (33),144,1988,R
434,410.,Mike Mitchell (27),144,1907,R
435,410.,Mike Mitchell (32),144,1912,R
436,410.,Gregory Polanco (23),144,2015,L
437,410.,Dave Robertson (26),144,1916,L
438,410.,Domingo Santana (24),144,2017,R
439,410.,Ruben Sierra (26),144,1992,R
440,410.,Rusty Staub (23),144,1967,R
441,410.,Ellis Valentine (24),144,1979,R
442,410.,Mark Whiten (25),144,1992,R
443,410.,Taffy Wright (28),144,1940,R
444,445.,Felipe Alou (28),143,1963,R
445,445.,Hank Bauer (33),143,1956,R
446,445.,Jose Bautista (36),143,2017,R
447,445.,Johnny Callison (31),143,1970,R
448,445.,Roberto Clemente+ (28),143,1963,R
449,445.,Sam Crawford+ (32),143,1912,L
450,445.,Cozy Dolan (33),143,1906,L
451,445.,Brian Giles (34),143,2005,L
452,445.,Ival Goodman (26),143,1935,R
453,445.,Greg Gross (21),143,1974,L
454,445.,Vladimir Guerrero+ (29),143,2004,R
455,445.,Tony Gwynn+ (37),143,1997,L
456,445.,Bryce Harper (23),143,2016,R
457,445.,Oris Hockett (32),143,1942,R
458,445.,Harry Hooper+ (35),143,1923,R
459,445.,Torii Hunter (37),143,2013,R
460,445.,Jacque Jones (31),143,2006,L
461,445.,Willie Kirkland (26),143,1960,R
462,445.,Andrew McCutchen (31),143,2018,R
463,445.,Bobby Murcer (29),143,1975,R
464,445.,Paul O'Neill (29),143,1992,L
465,445.,Magglio Ordonez (33),143,2007,R
466,445.,Mel Ott+ (32),143,1941,R
467,445.,Dave Philley (29),143,1949,R
468,445.,Josh Reddick (28),143,2015,R
469,445.,Ken Singleton (27),143,1974,R
470,445.,Sammy Sosa (26),143,1995,R
471,445.,Giancarlo Stanton (24),143,2014,R
472,445.,Jack Tobin (29),143,1921,L
473,445.,Paul Waner+ (24),143,1927,L
474,475.,Hank Aaron+ (33),142,1967,R
475,475.,Harold Baines+ (24),142,1983,L
476,475.,Derek Bell (31),142,2000,R
477,475.,Jay Buhner (31),142,1996,R
478,475.,Jose Cardenal (29),142,1973,R
479,475.,Nicholas Castellanos (26),142,2018,R
480,475.,Shin-Soo Choo (27),142,2010,L
481,475.,Roberto Clemente+ (25),142,1960,R
482,475.,Roberto Clemente+ (27),142,1962,R
483,475.,Al Cowens (24),142,1976,R
484,475.,Al Cowens (25),142,1977,R
485,475.,Gavvy Cravath (33),142,1914,R
486,475.,Michael Cuddyer (27),142,2006,R
487,475.,Bobby Darwin (31),142,1974,R
488,475.,Steve Evans (25),142,1910,L
489,475.,Ival Goodman (29),142,1938,R
490,475.,Curtis Granderson (33),142,2014,R
491,475.,Ken Griffey (28),142,1978,L
492,475.,George Harper (35),142,1927,R
493,475.,Brad Hawpe (28),142,2007,L
494,475.,Jackie Jensen (30),142,1957,R
495,475.,Jackie Jensen (32),142,1959,R
496,475.,Al Kaline+ (21),142,1956,R
497,475.,Al Kaline+ (23),142,1958,R
498,475.,Willie Keeler+ (32),142,1904,L
499,475.,Matt Lawton (29),142,2001,R
