,Rank,Player (age that year),Fielding % as C,Year,Throws
108,101.,Max Stassi (27),.9972,2018,R
109,101.,Josh Thole (24),.9972,2011,R
110,101.,Matt Wieters (27),.9972,2013,R
111,101.,Dan Wilson (33),.9972,2002,R
112,113.,Rod Barajas (35),.9971,2011,R
113,113.,Darrin Fletcher (32),.9971,1999,R
114,113.,Damian Miller (36),.9971,2006,R
115,113.,Jerry Zimmerman (30),.9971,1965,R
116,117.,Brad Ausmus (32),.9970,2001,R
117,117.,Brad Ausmus (33),.9970,2002,R
118,117.,Rick Dempsey (33),.9970,1983,R
119,117.,Shanty Hogan (27),.9970,1933,R
120,117.,Damian Miller (33),.9970,2003,R
121,117.,Bengie Molina (31),.9970,2006,R
122,117.,Mike Piazza+ (36),.9970,2005,R
123,117.,Benito Santiago (32),.9970,1997,R
124,117.,Dave Valle (29),.9970,1990,R
125,117.,Larry Woodall (32),.9970,1927,R
126,127.,Jim Pagliaroni (28),.9969,1966,R
127,127.,Dan Wilson (35),.9969,2004,R
128,129.,A.J. Ellis (32),.9968,2013,R
129,129.,Johnny Estrada (29),.9968,2005,R
130,129.,Jim Hegan (34),.9968,1955,R
131,129.,Gerald Laird (29),.9968,2009,R
132,129.,Mike Lieberthal (27),.9968,1999,R
133,134.,Mike Piazza+ (31),.9967,2000,R
134,134.,Jason Varitek (37),.9967,2009,R
135,136.,Yasmani Grandal (26),.9966,2015,R
136,136.,Frank House (27),.9966,1957,R
137,136.,Joe Mauer (25),.9966,2008,R
138,136.,Tim McCarver (25),.9966,1967,R
139,136.,Devin Mesoraco (26),.9966,2014,R
140,136.,Chris Turner (25),.9966,1994,R
141,142.,Joe Girardi (31),.9965,1996,R
142,142.,Tom Haller (30),.9965,1967,R
143,142.,Brandon Inge (26),.9965,2003,R
144,142.,A.J. Pierzynski (29),.9965,2006,R
145,142.,Jim Sundberg (27),.9965,1978,R
146,142.,Kurt Suzuki (31),.9965,2015,R
147,148.,Gary Bennett (31),.9964,2003,R
148,148.,Clint Courtney (25),.9964,1952,R
149,150.,Francisco Cervelli (32),.9963,2018,R
150,150.,Duffy Dyer (31),.9963,1977,R
151,150.,Joe Ferguson (26),.9963,1973,R
152,150.,Yan Gomes (27),.9963,2015,R
153,150.,Jonathan Lucroy (28),.9963,2014,R
154,150.,Martin Maldonado (31),.9963,2018,R
155,150.,George Mitterwald (25),.9963,1970,R
156,150.,Dioner Navarro (30),.9963,2014,R
157,150.,Salvador Perez (25),.9963,2015,R
158,150.,Salvador Perez (26),.9963,2016,R
159,150.,A.J. Pierzynski (25),.9963,2002,R
160,150.,Ivan Rodriguez+ (28),.9963,2000,R
161,150.,Scott Servais (26),.9963,1993,R
162,150.,Rick Wilkins (26),.9963,1993,R
163,164.,Josh Bard (29),.9962,2007,R
164,164.,Shanty Hogan (25),.9962,1931,R
165,164.,Caleb Joseph (29),.9962,2015,R
166,164.,Russell Martin (33),.9962,2016,R
167,164.,Yadier Molina (30),.9962,2013,R
168,164.,Jerry Narron (25),.9962,1981,R
169,164.,Jorge Posada (34),.9962,2005,R
170,164.,Bill Sarni (26),.9962,1954,R
171,164.,Mickey Tettleton (31),.9962,1992,R
172,164.,Joe Torre+ (27),.9962,1968,R
173,174.,Sandy Alomar (26),.9961,1992,R
174,174.,Sandy Alomar (36),.9961,2002,R
175,174.,Damian Miller (35),.9961,2005,R
176,174.,Carlos Ruiz (32),.9961,2011,R
177,174.,Scott Servais (27),.9961,1994,R
178,174.,Max Stassi (29),.9961,2020,R
179,174.,Jim Sundberg (30),.9961,1981,R
180,181.,Sandy Alomar (28),.9960,1994,R
181,181.,Joe Azcue (28),.9960,1968,R
182,181.,Jason Castro (30),.9960,2017,R
183,181.,Robinson Chirinos (34),.9960,2018,R
184,181.,Del Crandall (26),.9960,1956,R
185,181.,Bill Dickey+ (24),.9960,1931,R
186,181.,Darrin Fletcher (27),.9960,1994,R
187,181.,Gabby Hartnett+ (36),.9960,1937,R
188,181.,Todd Hundley (23),.9960,1992,R
189,181.,Phil Masi (34),.9960,1950,R
190,181.,Joe Mauer (26),.9960,2009,R
191,181.,Michael Perez (27),.9960,2020,R
192,181.,Del Rice (25),.9960,1948,R
193,181.,Carlos Ruiz (30),.9960,2009,R
194,181.,Benito Santiago (30),.9960,1995,R
195,196.,Travis d'Arnaud (30),.9959,2019,R
196,196.,Johnny Estrada (30),.9959,2006,R
197,196.,Bill Freehan (29),.9959,1971,R
198,196.,Yan Gomes (25),.9959,2013,R
199,196.,Joe Mauer (27),.9959,2010,R
200,196.,Mike Redmond (29),.9959,2000,R
201,196.,Yorvit Torrealba (31),.9959,2010,R
202,196.,Jason Varitek (30),.9959,2002,R
203,196.,Tony Wolters (28),.9959,2020,R
204,205.,Rod Barajas (34),.9958,2010,R
205,205.,Tyler Flowers (33),.9958,2019,R
206,205.,Bill Freehan (24),.9958,1966,R
207,205.,Austin Hedges (27),.9958,2020,R
208,205.,Buddy Rosar (32),.9958,1947,R
209,205.,Brian Schneider (26),.9958,2003,R
210,205.,Jason Varitek (36),.9958,2008,R
211,212.,John Buck (24),.9957,2005,R
212,212.,Jason Castro (29),.9957,2016,R
213,212.,Bill Freehan (23),.9957,1965,R
214,212.,Gabby Hartnett+ (33),.9957,1934,R
215,212.,Chris Hoiles (30),.9957,1995,R
216,212.,Randy Hundley (25),.9957,1967,R
217,212.,Russell Martin (34),.9957,2017,R
218,212.,Bengie Molina (30),.9957,2005,R
219,212.,Carlos Ruiz (34),.9957,2013,R
220,212.,Mike Stanley (30),.9957,1993,R
221,212.,Stephen Vogt (30),.9957,2015,R
222,223.,Charles Johnson (29),.9956,2001,R
223,223.,Jose Lobaton (28),.9956,2013,R
224,223.,Paul Lo Duca (32),.9956,2004,R
225,223.,Joe Mauer (23),.9956,2006,R
226,223.,Brent Mayne (29),.9956,1997,R
227,223.,Jose Molina (33),.9956,2008,R
228,229.,Damon Berryhill (30),.9955,1994,R
229,229.,Brook Fordyce (33),.9955,2003,R
230,229.,Yan Gomes (31),.9955,2019,R
231,229.,Chris Iannetta (32),.9955,2015,R
232,229.,Brian McCann (35),.9955,2019,R
233,229.,A.J. Pierzynski (34),.9955,2011,R
234,229.,Merv Shea (32),.9955,1933,R
235,229.,Dan Wilson (27),.9955,1996,R
236,229.,Mike Zunino (23),.9955,2014,R
237,238.,Yasmani Grandal (27),.9954,2016,R
238,238.,Russell Martin (32),.9954,2015,R
239,238.,Brent Mayne (31),.9954,1999,R
240,238.,Bengie Molina (29),.9954,2004,R
241,238.,Charlie O'Brien (36),.9954,1996,R
242,243.,Ray Berres (33),.9953,1941,R
243,243.,John Buck (30),.9953,2011,R
244,243.,Tyler Flowers (30),.9953,2016,R
245,243.,Bill Freehan (31),.9953,1973,R
246,243.,Danny Jansen (24),.9953,2019,R
247,243.,Mike Matheny (30),.9953,2001,R
248,243.,Brian McCann (27),.9953,2011,R
249,243.,Bengie Molina (33),.9953,2008,R
250,243.,Johnny Oates (26),.9953,1972,R
251,243.,Ted Simmons+ (32),.9953,1982,R
252,243.,Geovany Soto (25),.9953,2008,R
253,254.,Jason Castro (27),.9952,2014,R
254,254.,Ryan Hanigan (31),.9952,2012,R
255,254.,Randy Hundley (30),.9952,1972,R
256,254.,Charles Johnson (24),.9952,1996,R
257,254.,Javy Lopez (27),.9952,1998,R
258,254.,Jonathan Lucroy (31),.9952,2017,R
259,254.,Victor Martinez (28),.9952,2007,R
260,254.,Brent Mayne (33),.9952,2001,R
261,254.,Joe Nolan (30),.9952,1981,R
262,254.,Jim Sundberg (28),.9952,1979,R
263,264.,Brad Ausmus (38),.9951,2007,R
264,264.,Alex Avila (24),.9951,2011,R
265,264.,A.J. Ellis (33),.9951,2014,R
266,264.,Ed Herrmann (24),.9951,1971,R
267,264.,Sherm Lollar (26),.9951,1951,R
268,264.,Sherm Lollar (35),.9951,1960,R
269,264.,Brian McCann (32),.9951,2016,R
270,264.,Bengie Molina (34),.9951,2009,R
271,264.,Yadier Molina (23),.9951,2006,R
272,264.,Carlos Perez (25),.9951,2016,R
273,264.,Paul Richards (36),.9951,1945,R
274,264.,Geovany Soto (27),.9951,2010,R
275,264.,Jim Sundberg (33),.9951,1984,R
276,264.,Blake Swihart (23),.9951,2015,R
277,278.,Travis d'Arnaud (28),.9950,2017,R
278,278.,Bill Dickey+ (28),.9950,1935,R
279,278.,Johnny Edwards (33),.9950,1971,R
280,278.,Geronimo Gil (26),.9950,2002,R
281,278.,Gabby Hartnett+ (37),.9950,1938,R
282,278.,Javy Lopez (23),.9950,1994,R
283,278.,Martin Maldonado (33),.9950,2020,R
284,278.,James McCann (26),.9950,2016,R
285,278.,Derek Norris (24),.9950,2013,R
286,278.,Mickey Owen (25),.9950,1941,R
287,278.,Benito Santiago (37),.9950,2002,R
288,278.,Kurt Suzuki (25),.9950,2009,R
289,278.,Dan Wilson (30),.9950,1999,R
290,291.,Brad Ausmus (35),.9949,2004,R
291,291.,John Buck (32),.9949,2013,R
292,291.,Randy Hundley (26),.9949,1968,R
293,291.,Jason Kendall (32),.9949,2006,R
294,291.,Buck Martinez (35),.9949,1984,R
295,291.,Brent Mayne (27),.9949,1995,R
296,291.,Yadier Molina (26),.9949,2009,R
297,291.,Yadier Molina (27),.9949,2010,R
298,291.,Buster Posey (30),.9949,2017,R
299,291.,Kurt Suzuki (30),.9949,2014,R
300,301.,Yogi Berra+ (32),.9948,1957,R
301,301.,Bob Brenly (32),.9948,1986,R
302,301.,Gary Carter+ (29),.9948,1983,R
303,301.,Mike Fitzgerald (23),.9948,1984,R
304,301.,Darrin Fletcher (34),.9948,2001,R
305,301.,Yasmani Grandal (28),.9948,2017,R
306,301.,Jerry Grote (30),.9948,1973,R
307,301.,Jerry Grote (32),.9948,1975,R
308,301.,Bob Kearney (28),.9948,1985,R
309,301.,Al Lopez+ (33),.9948,1942,R
310,301.,Victor Martinez (26),.9948,2005,R
311,301.,Brian McCann (29),.9948,2013,R
312,301.,Brian McCann (33),.9948,2017,R
313,301.,Greg Olson (30),.9948,1991,R
314,301.,Lance Parrish (27),.9948,1983,R
315,301.,Manny Pina (31),.9948,2018,R
316,301.,Ivan Rodriguez+ (33),.9948,2005,R
317,301.,Ivan Rodriguez+ (38),.9948,2010,R
318,301.,Dave Valle (32),.9948,1993,R
319,320.,Alex Avila (27),.9947,2014,R
320,320.,Earl Battey (31),.9947,1966,R
321,320.,Johnny Bench+ (25),.9947,1973,R
322,320.,Robinson Chirinos (35),.9947,2019,R
323,320.,Tyler Flowers (29),.9947,2015,R
324,320.,Elston Howard (33),.9947,1962,R
325,320.,Jason Kendall (34),.9947,2008,R
326,320.,Jeff Mathis (28),.9947,2011,R
327,320.,Tony Pena (33),.9947,1990,R
328,320.,Tony Pena (36),.9947,1993,R
329,320.,Joe Torre+ (23),.9947,1964,R
330,320.,Mike Tresh (32),.9947,1946,R
331,320.,Lenny Webster (32),.9947,1997,R
332,320.,Dan Wilson (26),.9947,1995,R
333,320.,Dan Wilson (28),.9947,1997,R
334,335.,Cam Carreon (24),.9946,1962,R
335,335.,Johnny Edwards (25),.9946,1963,R
336,335.,Johnny Edwards (32),.9946,1970,R
337,335.,Ron Hassey (30),.9946,1983,R
338,335.,Elrod Hendricks (34),.9946,1975,R
339,335.,Chris Hoiles (33),.9946,1998,R
340,335.,Tim McCarver (23),.9946,1965,R
341,335.,Yadier Molina (28),.9946,2011,R
342,335.,Austin Nola (30),.9946,2020,R
343,335.,Ken O'Dea (32),.9946,1945,R
344,335.,Junior Ortiz (29),.9946,1989,R
345,335.,Tony Pena (34),.9946,1991,R
346,335.,A.J. Pierzynski (32),.9946,2009,R
347,335.,A.J. Pierzynski (33),.9946,2010,R
348,335.,Wilson Ramos (27),.9946,2015,R
349,335.,Carlos Ruiz (35),.9946,2014,R
350,335.,Chris Snyder (29),.9946,2010,R
351,335.,Jim Sundberg (35),.9946,1986,R
352,335.,Matt Wieters (25),.9946,2011,R
353,354.,Rod Barajas (32),.9945,2008,R
354,354.,Michael Barrett (27),.9945,2004,R
355,354.,Roy Campanella+ (30),.9945,1952,R
356,354.,A.J. Ellis (31),.9945,2012,R
357,354.,Carlton Fisk+ (42),.9945,1990,R
358,354.,Chris Iannetta (35),.9945,2018,R
359,354.,Fred Kendall (23),.9945,1972,R
360,354.,Sherm Lollar (30),.9945,1955,R
361,354.,Javy Lopez (33),.9945,2004,R
362,354.,James McCann (28),.9945,2018,R
363,354.,Carlos Santana (27),.9945,2013,R
364,354.,Jim Sundberg (26),.9945,1977,R
365,354.,B.J. Surhoff (26),.9945,1991,R
366,354.,Ozzie Virgil (28),.9945,1985,R
367,368.,Joe Girardi (32),.9944,1997,R
368,368.,Tom Haller (26),.9944,1963,R
369,368.,Jim Hegan (33),.9944,1954,R
370,368.,Chris Hoiles (27),.9944,1992,R
371,368.,Danny Jansen (25),.9944,2020,R
372,368.,Charles Johnson (30),.9944,2002,R
373,368.,Javy Lopez (25),.9944,1996,R
374,368.,Kirt Manwaring (31),.9944,1997,R
375,368.,Michael McKenry (27),.9944,2012,R
376,368.,Jose Molina (38),.9944,2013,R
377,368.,Miguel Montero (29),.9944,2013,R
378,368.,Dioner Navarro (24),.9944,2008,R
379,368.,Jim Pagliaroni (27),.9944,1965,R
380,368.,Benito Santiago (36),.9944,2001,R
381,368.,Omir Santos (28),.9944,2009,R
382,368.,Matt Treanor (34),.9944,2010,R
383,368.,Dan Wilson (29),.9944,1998,R
384,385.,Smoky Burgess (33),.9943,1960,R
385,385.,Johnny Edwards (31),.9943,1969,R
386,385.,Carlton Fisk+ (34),.9943,1982,R
387,385.,Bill Freehan (26),.9943,1968,R
388,385.,Sherm Lollar (28),.9943,1953,R
389,385.,Russell Martin (31),.9943,2014,R
390,385.,Mike Matheny (29),.9943,2000,R
391,385.,Jose Molina (37),.9943,2012,R
392,385.,Sean Murphy (25),.9943,2020,R
393,385.,John Roseboro (32),.9943,1965,R
394,385.,Cameron Rupp (27),.9943,2016,R
395,385.,Scott Servais (31),.9943,1998,R
396,385.,Kelly Shoppach (31),.9943,2011,R
397,385.,Kurt Suzuki (28),.9943,2012,R
398,399.,Welington Castillo (30),.9942,2017,R
399,399.,Del Crandall (29),.9942,1959,R
400,399.,Del Crandall (32),.9942,1962,R
401,399.,Bob Didier (20),.9942,1969,R
402,399.,Tony Eusebio (32),.9942,1999,R
403,399.,Tyler Flowers (27),.9942,2013,R
404,399.,Mark Johnson (26),.9942,2002,R
405,399.,Jason LaRue (28),.9942,2002,R
406,399.,Jorge Posada (36),.9942,2007,R
407,399.,Ernie Whitt (35),.9942,1987,R
408,399.,Ernie Whitt (36),.9942,1988,R
409,399.,Mike Zunino (24),.9942,2015,R
410,411.,J.P. Arencibia (26),.9941,2012,R
411,411.,Darren Daulton (33),.9941,1995,R
412,411.,Elston Howard (34),.9941,1963,R
413,411.,Charles Johnson (27),.9941,1999,R
414,411.,Chad Kreuter (34),.9941,1999,R
415,411.,Tony Pena (31),.9941,1988,R
416,411.,Jorge Posada (32),.9941,2003,R
417,411.,Buster Posey (27),.9941,2014,R
418,411.,J.T. Realmuto (26),.9941,2017,R
419,411.,Jeff Reed (25),.9941,1988,R
420,411.,Andy Seminick (34),.9941,1955,R
421,411.,Jason Varitek (34),.9941,2006,R
422,423.,Spud Davis (26),.9940,1931,R
423,423.,Darrin Fletcher (33),.9940,2000,R
424,423.,Yasmani Grandal (29),.9940,2018,R
425,423.,Ron Hassey (35),.9940,1988,R
426,423.,Ron Karkovice (29),.9940,1993,R
427,423.,Jonathan Lucroy (30),.9940,2016,R
428,423.,Ed Ott (27),.9940,1979,R
429,423.,Salvador Perez (27),.9940,2017,R
430,423.,Matt Wieters (24),.9940,2010,R
431,432.,Willson Contreras (28),.9939,2020,R
432,432.,Darrin Fletcher (28),.9939,1995,R
433,432.,Mitch Garver (27),.9939,2018,R
434,432.,Jerry Grote (25),.9939,1968,R
435,432.,Rollie Hemsley (33),.9939,1940,R
436,432.,Kirt Manwaring (30),.9939,1996,R
437,432.,Russell Martin (29),.9939,2012,R
438,432.,Phil Masi (33),.9939,1949,R
439,432.,Yadier Molina (34),.9939,2017,R
440,432.,A.J. Pierzynski (35),.9939,2012,R
441,432.,Kurt Suzuki (24),.9939,2008,R
442,432.,Jason Varitek (35),.9939,2007,R
443,444.,Alex Avila (25),.9938,2012,R
444,444.,Darren Daulton (32),.9938,1994,R
445,444.,Bill Dickey+ (33),.9938,1940,R
446,444.,Ramon Hernandez (34),.9938,2010,R
447,444.,Fred Kendall (27),.9938,1976,R
448,444.,Mike LaValliere (31),.9938,1992,R
449,444.,Russell Martin (26),.9938,2009,R
450,444.,Brent Mayne (35),.9938,2003,R
451,444.,Yadier Molina (32),.9938,2015,R
452,444.,Wilson Ramos (30),.9938,2018,R
453,444.,Del Rice (22),.9938,1945,R
454,444.,Jarrod Saltalamacchia (28),.9938,2013,R
455,456.,Dick Brown (27),.9937,1962,R
456,456.,Robinson Chirinos (30),.9937,2014,R
457,456.,Darrin Fletcher (30),.9937,1997,R
458,456.,Tom Haller (31),.9937,1968,R
459,456.,Kirt Manwaring (26),.9937,1992,R
460,456.,Mike Matheny (31),.9937,2002,R
461,456.,Ray Mueller (34),.9937,1946,R
462,456.,Jorge Posada (27),.9937,1998,R
463,456.,Wilson Ramos (31),.9937,2019,R
464,456.,Manny Sanguillen (27),.9937,1971,R
465,456.,Joe Torre+ (22),.9937,1963,R
466,467.,Earl Battey (28),.9936,1963,R
467,467.,John Buck (29),.9936,2010,R
468,467.,Clay Dalrymple (30),.9936,1967,R
469,467.,Bill Dickey+ (34),.9936,1941,R
470,467.,Evan Gattis (27),.9936,2014,R
471,467.,Rich Gedman (26),.9936,1986,R
472,467.,Ray Hayworth (29),.9936,1933,R
473,467.,Chris Iannetta (30),.9936,2013,R
474,467.,Brian Johnson (30),.9936,1998,R
475,467.,Javy Lopez (32),.9936,2003,R
476,467.,Victor Martinez (25),.9936,2004,R
477,467.,Tim McCarver (21),.9936,1963,R
478,467.,Dioner Navarro (25),.9936,2009,R
479,467.,Dave Nilsson (24),.9936,1994,R
480,467.,Ivan Rodriguez+ (26),.9936,1998,R
481,467.,Carlos Ruiz (33),.9936,2012,R
482,467.,Benito Santiago (35),.9936,2000,R
483,467.,Brian Schneider (31),.9936,2008,R
484,467.,Kurt Suzuki (34),.9936,2018,R
485,467.,Ernie Whitt (32),.9936,1984,R
486,487.,Joe Azcue (25),.9935,1965,R
487,487.,Michael Barrett (28),.9935,2005,R
488,487.,Michael Barrett (29),.9935,2006,R
489,487.,Ray Berres (31),.9935,1939,R
490,487.,Francisco Cervelli (29),.9935,2015,R
491,487.,Larry Cox (32),.9935,1980,R
492,487.,Harry Danning (29),.9935,1941,R
493,487.,Brian Downing (27),.9935,1978,R
494,487.,Carlton Fisk+ (41),.9935,1989,R
495,487.,Chris Hoiles (28),.9935,1993,R
496,487.,Chris Iannetta (33),.9935,2016,R
497,487.,Carson Kelly (25),.9935,2020,R
498,487.,Mike Lieberthal (28),.9935,2000,R
499,487.,J.T. Realmuto (29),.9935,2020,R
