,Rank,Player (age that year),Double Plays Grounded Into,Year,Bats
162,157.,Buddy Bell (33),24,1985,R
163,157.,David Bell (32),24,2005,R
164,157.,Albert Belle (24),24,1991,R
165,157.,Albert Belle (28),24,1995,R
166,157.,Rick Burleson (29),24,1980,R
167,157.,Miguel Cabrera (28),24,2011,R
168,157.,Jorge Cantu (23),24,2005,R
169,157.,Vinny Castilla (30),24,1998,R
170,157.,Orlando Cepeda+ (35),24,1973,R
171,157.,Joe Charboneau (25),24,1980,R
172,157.,Roberto Clemente+ (28),24,1963,R
173,157.,Cecil Cooper (35),24,1985,L
174,157.,Del Crandall (29),24,1959,R
175,157.,Warren Cromartie (26),24,1980,L
176,157.,Bobby Darwin (29),24,1972,R
177,157.,Yunel Escobar (25),24,2008,R
178,157.,Yunel Escobar (32),24,2015,R
179,157.,Adrian Gonzalez (24),24,2006,L
180,157.,Adrian Gonzalez (26),24,2008,L
181,157.,Sid Gordon (31),24,1949,R
182,157.,Gene Green (25),24,1958,R
183,157.,Vladimir Guerrero+ (26),24,2001,R
184,157.,Steve Henderson (25),24,1978,R
185,157.,Billy Herman+ (28),24,1938,R
186,157.,Billy Herman+ (29),24,1939,R
187,157.,Torii Hunter (35),24,2011,R
188,157.,Gregg Jefferies (24),24,1992,B
189,157.,Derek Jeter+ (34),24,2008,R
190,157.,Derek Jeter+ (38),24,2012,R
191,157.,Andruw Jones (27),24,2004,R
192,157.,Steve Kemp (25),24,1980,L
193,157.,Ray Knight (27),24,1980,R
194,157.,DJ LeMahieu (28),24,2017,R
195,157.,Ernie Lombardi+ (26),24,1934,R
196,157.,Ernie Lombardi+ (31),24,1939,R
197,157.,Mike Lowell (35),24,2009,R
198,157.,Manny Machado (26),24,2019,R
199,157.,Frank Malzone (33),24,1963,R
200,157.,Felix Mantilla (30),24,1965,R
201,157.,Tino Martinez (24),24,1992,L
202,157.,Joe Mauer (23),24,2006,L
203,157.,Willie McGee (28),24,1987,B
204,157.,Kendrys Morales (32),24,2015,B
205,157.,Dale Murphy (32),24,1988,R
206,157.,Eddie Murray+ (37),24,1993,B
207,157.,Paul O'Neill (36),24,1999,L
208,157.,Magglio Ordonez (25),24,1999,R
209,157.,David Ortiz (35),24,2011,L
210,157.,Lyle Overbay (31),24,2008,L
211,157.,Rafael Palmeiro (25),24,1990,L
212,157.,Lance Parrish (24),24,1980,R
213,157.,Dustin Pedroia (29),24,2013,R
214,157.,Dustin Pedroia (32),24,2016,R
215,157.,Jorge Posada (33),24,2004,B
216,157.,Martin Prado (32),24,2016,R
217,157.,Albert Pujols (36),24,2016,R
218,157.,Willie Randolph (30),24,1985,R
219,157.,Ken Reitz (25),24,1976,R
220,157.,Cal Ripken Jr.+ (22),24,1983,R
221,157.,Frank Robinson+ (30),24,1966,R
222,157.,Cookie Rojas (35),24,1974,R
223,157.,George Scott (33),24,1977,R
224,157.,George Scott (35),24,1979,R
225,157.,Ken Singleton (35),24,1982,B
226,157.,Dave Stapleton (28),24,1982,R
227,157.,Rusty Staub (34),24,1978,L
228,157.,Dick Stuart (30),24,1963,R
229,157.,Miguel Tejada (30),24,2004,R
230,157.,Gary Ward (29),24,1983,R
231,157.,Glenn Wilson (26),24,1985,R
232,233.,Willie Aikens (25),23,1980,L
233,233.,Dick Allen (29),23,1971,R
234,233.,Luke Appling+ (42),23,1949,R
235,233.,Carlos Baerga (27),23,1996,B
236,233.,Bob Bailey (30),23,1973,R
237,233.,Harold Baines+ (26),23,1985,L
238,233.,Earl Battey (29),23,1964,R
239,233.,Yuniesky Betancourt (26),23,2008,R
240,233.,Wade Boggs+ (30),23,1988,L
241,233.,Bret Boone (29),23,1998,R
242,233.,Mike Bordick (31),23,1997,R
243,233.,Lou Boudreau+ (22),23,1940,R
244,233.,Ed Brinkman (27),23,1969,R
245,233.,Jay Buhner (32),23,1997,R
246,233.,Billy Butler (22),23,2008,R
247,233.,Rod Carew+ (25),23,1971,L
248,233.,Starlin Castro (29),23,2019,R
249,233.,Sam Chapman (33),23,1949,R
250,233.,Dave Concepcion (37),23,1985,R
251,233.,Ron Coomer (34),23,2001,R
252,233.,Al Cowens (33),23,1985,R
253,233.,Babe Dahlgren (33),23,1945,R
254,233.,Frank Demaree (27),23,1937,R
255,233.,Matt Dominguez (24),23,2014,R
256,233.,Del Ennis (29),23,1954,R
257,233.,Julio Franco (25),23,1984,R
258,233.,Julio Franco (28),23,1987,R
259,233.,Adrian Gonzalez (27),23,2009,L
260,233.,Vladimir Guerrero+ (36),23,2011,R
261,233.,Jose Guillen (32),23,2008,R
262,233.,Granny Hamner (30),23,1957,R
263,233.,Jim Ray Hart (24),23,1966,R
264,233.,Frankie Hayes (26),23,1941,R
265,233.,Butch Hobson (27),23,1979,R
266,233.,Matt Holliday (27),23,2007,R
267,233.,Frank Howard (33),23,1970,R
268,233.,Torii Hunter (28),23,2004,R
269,233.,Jackie Jensen (29),23,1956,R
270,233.,Chris Johnson (29),23,2014,R
271,233.,Lamar Johnson (28),23,1979,R
272,233.,George Kell+ (27),23,1950,R
273,233.,Ken Keltner (27),23,1944,R
274,233.,Ken Keltner (31),23,1948,R
275,233.,Jeff Kent (36),23,2004,R
276,233.,Paul Konerko (28),23,2004,R
277,233.,Derrek Lee (34),23,2010,R
278,233.,Hal Lee (31),23,1936,R
279,233.,Ernie Lombardi+ (36),23,1944,R
280,233.,Hector Lopez (28),23,1958,R
281,233.,J.D. Martinez (29),23,2017,R
282,233.,Victor Martinez (34),23,2013,B
283,233.,Gary Matthews (31),23,1982,R
284,233.,Joe Mauer (29),23,2012,L
285,233.,Frank McCormick (28),23,1939,R
286,233.,Frank McCormick (29),23,1940,R
287,233.,Mark McGwire (25),23,1989,R
288,233.,Randy Milligan (29),23,1991,R
289,233.,Minnie Minoso (27),23,1953,R
290,233.,Bengie Molina (33),23,2008,R
291,233.,Darryl Motley (24),23,1984,R
292,233.,Thurman Munson (28),23,1975,R
293,233.,Al Oliver (37),23,1984,L
294,233.,Lance Parrish (31),23,1987,R
295,233.,Tony Pena (33),23,1990,R
296,233.,Tony Pena (34),23,1991,R
297,233.,Jhonny Peralta (33),23,2015,R
298,233.,Salvador Perez (25),23,2015,R
299,233.,Salvador Perez (27),23,2017,R
300,233.,Jorge Posada (31),23,2002,B
301,233.,Albert Pujols (29),23,2009,R
302,233.,Albert Pujols (30),23,2010,R
303,233.,Doug Rader (25),23,1970,R
304,233.,Aramis Ramirez (37),23,2015,R
305,233.,Willie Randolph (24),23,1979,R
306,233.,Miguel Rojas (29),23,2018,R
307,233.,Bill Russell (28),23,1977,R
308,233.,George Scott (27),23,1971,R
309,233.,Ted Simmons+ (33),23,1983,B
310,233.,Ted Simmons+ (34),23,1984,B
311,233.,Duke Snider+ (24),23,1951,L
312,233.,Ed Sprague (25),23,1993,R
313,233.,Rusty Staub (32),23,1976,L
314,233.,Pete Suder (25),23,1941,R
315,233.,Mark Teahen (25),23,2007,L
316,233.,Frank Thomas (34),23,1963,R
317,233.,Joe Torre+ (29),23,1970,R
318,233.,Pie Traynor+ (35),23,1934,R
319,233.,Ellis Valentine (24),23,1979,R
320,233.,Sam Vico (24),23,1948,L
321,233.,Dick Wakefield (22),23,1943,L
322,233.,Sammy White (27),23,1955,R
323,233.,Ty Wigginton (32),23,2010,R
324,233.,Preston Wilson (28),23,2003,R
325,233.,Mickey Witek (26),23,1942,R
326,233.,Rudy York (31),23,1945,R
327,233.,Delmon Young (21),23,2007,R
328,329.,Hank Aaron+ (30),22,1964,R
329,329.,Joe Adcock (25),22,1953,R
330,329.,Joe Adcock (33),22,1961,R
331,329.,Bob Allison (24),22,1959,R
332,329.,Garret Anderson (24),22,1996,L
333,329.,Tony Armas (26),22,1980,R
334,329.,Bob Aspromonte (28),22,1966,R
335,329.,Bob Bailey (31),22,1974,R
336,329.,Darwin Barney (27),22,2013,R
337,329.,Johnny Bench+ (25),22,1973,R
338,329.,Dante Bichette (34),22,1998,R
339,329.,Bobby Bonilla (32),22,1995,B
340,329.,Zeke Bonura (30),22,1939,R
341,329.,Ken Boyer (33),22,1964,R
342,329.,Ed Brinkman (31),22,1973,R
343,329.,Jeff Burroughs (25),22,1976,R
344,329.,Miguel Cabrera (26),22,2009,R
345,329.,Orlando Cabrera (34),22,2009,R
346,329.,Alberto Callaspo (27),22,2010,B
347,329.,Roy Campanella+ (30),22,1952,R
348,329.,Robinson Cano (26),22,2009,L
349,329.,Robinson Cano (29),22,2012,L
350,329.,Jose Castillo (25),22,2006,R
351,329.,Vinny Castilla (33),22,2001,R
352,329.,Vinny Castilla (34),22,2002,R
353,329.,Vinny Castilla (35),22,2003,R
354,329.,Vinny Castilla (36),22,2004,R
355,329.,Chris Chambliss (28),22,1977,L
356,329.,Sam Chapman (30),22,1946,R
357,329.,Greg Colbrunn (26),22,1996,R
358,329.,Ron Coomer (31),22,1998,R
359,329.,Marty Cordova (29),22,1999,R
360,329.,Michael Cuddyer (30),22,2009,R
361,329.,Babe Dahlgren (31),22,1943,R
362,329.,Bobby Darwin (30),22,1973,R
363,329.,Rich Dauer (27),22,1980,R
364,329.,Walt Dropo (30),22,1953,R
365,329.,Matt Duffy (24),22,2015,R
366,329.,Edwin Encarnacion (33),22,2016,R
367,329.,Del Ennis (32),22,1957,R
368,329.,Cecil Fielder (29),22,1993,R
369,329.,Gary Gaetti (31),22,1990,R
370,329.,Joe Gordon+ (27),22,1942,R
371,329.,Yuli Gurriel (34),22,2018,R
372,329.,Marquis Grissom (37),22,2004,R
373,329.,Dick Groat (30),22,1961,R
374,329.,Mike Hargrove (30),22,1980,L
375,329.,Mike Hargrove (32),22,1982,L
376,329.,Scott Hatteberg (35),22,2005,L
377,329.,Charlie Hayes (30),22,1995,R
378,329.,Shea Hillenbrand (27),22,2003,R
379,329.,Shea Hillenbrand (30),22,2006,R
380,329.,Matt Holliday (26),22,2006,R
381,329.,Torii Hunter (34),22,2010,R
382,329.,Jackie Jensen (30),22,1957,R
383,329.,Derek Jeter+ (36),22,2010,R
384,329.,Kenji Johjima (31),22,2007,R
385,329.,Billy Johnson (29),22,1948,R
386,329.,Billy Jurges (30),22,1938,R
387,329.,Ralph Kiner+ (27),22,1950,R
388,329.,Don Kolloway (28),22,1947,R
389,329.,Paul Konerko (24),22,2000,R
390,329.,Carlos Lee (30),22,2006,R
391,329.,Paul Lo Duca (32),22,2004,R
392,329.,Sherm Lollar (35),22,1960,R
393,329.,Javy Lopez (27),22,1998,R
394,329.,Mike Lowell (32),22,2006,R
395,329.,Trey Mancini (27),22,2019,R
396,329.,Nick Markakis (23),22,2007,L
397,329.,Russell Martin (32),22,2015,R
398,329.,Joe Mauer (32),22,2015,L
399,329.,Frank McCormick (30),22,1941,R
400,329.,Fred McGriff (33),22,1997,L
401,329.,Sam Mele (29),22,1951,R
402,329.,Yadier Molina (33),22,2016,R
403,329.,Kendrys Morales (34),22,2017,B
404,329.,Melvin Mora (35),22,2007,R
405,329.,Bill Mueller (34),22,2005,B
406,329.,Dale Murphy (34),22,1990,R
407,329.,Eddie Murray+ (21),22,1977,B
408,329.,Charlie Neal (28),22,1959,R
409,329.,Paul O'Neill (35),22,1998,L
410,329.,John Olerud (30),22,1999,L
411,329.,David Ortiz (40),22,2016,L
412,329.,Neifi Perez (32),22,2005,B
413,329.,Salvador Perez (24),22,2014,R
414,329.,Tommy Pham (31),22,2019,R
415,329.,Dave Philley (33),22,1953,B
416,329.,Lou Piniella (29),22,1973,R
417,329.,Placido Polanco (25),22,2001,R
418,329.,Jerry Priddy (30),22,1950,R
419,329.,Manny Ramirez (31),22,2003,R
420,329.,Johnny Ray (30),22,1987,B
421,329.,Pee Wee Reese+ (36),22,1955,R
422,329.,Jim Rice+ (34),22,1987,R
423,329.,Cal Ripken Jr.+ (28),22,1989,R
424,329.,Frank Robinson+ (35),22,1971,R
425,329.,Jackie Robinson+ (30),22,1949,R
426,329.,Alex Rodriguez (30),22,2006,R
427,329.,Scott Rolen (27),22,2002,R
428,329.,Ted Simmons+ (24),22,1974,B
429,329.,Ken Singleton (36),22,1983,B
430,329.,Bill Skowron (34),22,1965,R
431,329.,Mickey Stanley (25),22,1968,R
432,329.,Vern Stephens (30),22,1951,R
433,329.,Dick Stuart (28),22,1961,R
434,329.,Kurt Suzuki (26),22,2010,R
435,329.,Birdie Tebbetts (35),22,1948,R
436,329.,Miguel Tejada (33),22,2007,R
437,329.,Frank Thomas (27),22,1956,R
438,329.,Joe Torre+ (24),22,1965,R
439,329.,Joe Torre+ (26),22,1967,R
440,329.,Joe Torre+ (34),22,1975,R
441,329.,Gus Triandos (27),22,1958,R
442,329.,Robin Ventura (23),22,1991,L
443,329.,Gary Ward (30),22,1984,R
444,329.,Ted Williams+ (30),22,1949,L
445,329.,David Wright (31),22,2014,R
446,329.,Rudy York (29),22,1943,R
447,329.,Rudy York (33),22,1947,R
448,329.,Dmitri Young (27),22,2001,B
449,329.,Robin Yount+ (28),22,1984,R
450,329.,Ryan Zimmerman (24),22,2009,R
451,452.,Hank Aaron+ (22),21,1956,R
452,452.,Hank Aaron+ (24),21,1958,R
453,452.,Hank Aaron+ (34),21,1968,R
454,452.,José Abreu (29),21,2016,R
455,452.,José Abreu (30),21,2017,R
456,452.,Jesus Alou (23),21,1965,R
457,452.,Moises Alou (33),21,2000,R
458,452.,Garret Anderson (28),21,2000,L
459,452.,Elvis Andrus (25),21,2014,R
460,452.,Nolan Arenado (26),21,2017,R
461,452.,Brad Ausmus (37),21,2006,R
462,452.,Carlos Baerga (29),21,1998,B
463,452.,Harold Baines+ (29),21,1988,L
464,452.,Jose Bautista (35),21,2016,R
465,452.,Buddy Bell (32),21,1984,R
466,452.,George Bell (28),21,1988,R
467,452.,Angel Berroa (28),21,2006,R
468,452.,Dante Bichette (36),21,2000,R
469,452.,Michael Brantley (32),21,2019,L
470,452.,Hubie Brooks (31),21,1988,R
471,452.,Steve Buechele (27),21,1989,R
472,452.,Billy Butler (28),21,2014,R
473,452.,Miguel Cabrera (31),21,2014,R
474,452.,Gary Carter+ (32),21,1986,R
475,452.,Rico Carty (39),21,1979,R
476,452.,Nicholas Castellanos (23),21,2015,R
477,452.,Starlin Castro (23),21,2013,R
478,452.,Danny Cater (28),21,1968,R
479,452.,Orlando Cepeda+ (23),21,1961,R
480,452.,Ed Charles (30),21,1963,R
481,452.,Eric Chavez (26),21,2004,L
482,452.,Royce Clayton (30),21,2000,R
483,452.,Roberto Clemente+ (25),21,1960,R
484,452.,Dave Concepcion (35),21,1983,R
485,452.,Chili Davis (29),21,1989,B
486,452.,Spud Davis (28),21,1933,R
487,452.,Bobby Doerr+ (32),21,1950,R
488,452.,Yunel Escobar (26),21,2009,R
489,452.,Yunel Escobar (29),21,2012,R
490,452.,Yunel Escobar (33),21,2016,R
491,452.,Nick Etten (31),21,1945,L
492,452.,Chico Fernandez (25),21,1957,R
493,452.,Prince Fielder (31),21,2015,L
494,452.,Jimmie Foxx+ (33),21,1941,R
495,452.,Julio Franco (24),21,1983,R
496,452.,Maikel Franco (24),21,2017,R
497,452.,Adrian Gonzalez (33),21,2015,L
498,452.,Mike Greenwell (25),21,1989,L
499,452.,Dick Groat (27),21,1958,R
500,452.,Dick Groat (28),21,1959,R
501,452.,Johnny Groth (23),21,1950,R
502,452.,Ron Hansen (27),21,1965,R
503,452.,J.J. Hardy (29),21,2012,R
504,452.,Ryon Healy (26),21,2018,R
505,452.,Adeiny Hechavarria (25),21,2014,R
506,452.,Billy Herman+ (23),21,1933,R
507,452.,Pinky Higgins (33),21,1942,R
508,452.,Aaron Hill (25),21,2007,R
509,452.,Shea Hillenbrand (29),21,2005,R
510,452.,Chuck Hinton (30),21,1964,R
511,452.,Matt Holliday (31),21,2011,R
512,452.,Tony Horton (24),21,1969,R
513,452.,Orlando Hudson (29),21,2007,B
514,452.,Butch Huskey (25),21,1997,R
515,452.,Darrin Jackson (28),21,1992,R
516,452.,Randy Jackson (25),21,1951,R
517,452.,Derek Jeter+ (33),21,2007,R
518,452.,Billy Johnson (28),21,1947,R
519,452.,Adam Jones (29),21,2015,R
520,452.,Adam Jones (32),21,2018,R
521,452.,Chipper Jones+ (35),21,2007,B
522,452.,Tommy Joseph (25),21,2017,R
523,452.,Al Kaline+ (19),21,1954,R
524,452.,Matt Kemp (29),21,2014,R
525,452.,Buddy Kerr (27),21,1950,R
526,452.,Harmon Killebrew+ (35),21,1971,R
527,452.,Jason Kipnis (29),21,2016,L
528,452.,Paul Konerko (31),21,2007,R
529,452.,Hal Lanier (22),21,1965,R
530,452.,Carney Lansford (32),21,1989,R
531,452.,Matt Lawton (32),21,2004,L
532,452.,Carlos Lee (33),21,2009,R
533,452.,Mark Lemke (27),21,1993,B
534,452.,Paul Lo Duca (31),21,2003,R
535,452.,James Loney (28),21,2012,L
536,452.,James Loney (30),21,2014,L
537,452.,John Mabry (25),21,1996,L
538,452.,Bill Madlock (25),21,1976,R
539,452.,Frank Malzone (28),21,1958,R
540,452.,Edgar Martinez+ (34),21,1997,R
541,452.,Don Mattingly (30),21,1991,L
542,452.,Joe Mauer (25),21,2008,L
543,452.,Bill Mazeroski+ (27),21,1964,R
544,452.,Mark McLemore (28),21,1993,B
545,452.,Glenn McQuillen (27),21,1942,R
546,452.,Joe Medwick+ (26),21,1938,R
547,452.,Sam Mele (28),21,1950,R
548,452.,Yadier Molina (25),21,2008,R
549,452.,Yadier Molina (28),21,2011,R
550,452.,Paul Molitor+ (39),21,1996,R
551,452.,Wally Moon (30),21,1960,L
552,452.,Kendrys Morales (30),21,2013,B
553,452.,Keith Moreland (35),21,1989,R
554,452.,Jo-Jo Morrissey (29),21,1933,R
555,452.,Troy O'Leary (29),21,1999,L
556,452.,Paul O'Neill (33),21,1996,L
557,452.,John Olerud (32),21,2001,L
558,452.,Tony Oliva (32),21,1971,L
559,452.,Al Oliver (36),21,1983,L
560,452.,Bob Oliver (31),21,1974,R
561,452.,Magglio Ordonez (28),21,2002,R
562,452.,David Ortiz (37),21,2013,L
563,452.,Marcell Ozuna (28),21,2019,R
564,452.,Dave Parker (38),21,1989,L
565,452.,Lance Parrish (27),21,1983,R
566,452.,Tony Pena (29),21,1986,R
567,452.,Marty Perez (26),21,1972,R
568,452.,Brandon Phillips (28),21,2009,R
569,452.,Brandon Phillips (36),21,2017,R
570,452.,Jason Phillips (26),21,2003,R
571,452.,Mike Piazza+ (27),21,1996,R
572,452.,A.J. Pierzynski (30),21,2007,L
573,452.,Stephen Piscotty (27),21,2018,R
574,452.,Kirby Puckett+ (29),21,1989,R
575,452.,Yasiel Puig (26),21,2017,R
576,452.,Albert Pujols (21),21,2001,R
577,452.,Albert Pujols (24),21,2004,R
578,452.,Albert Pujols (39),21,2019,R
579,452.,Alexei Ramírez (32),21,2014,R
580,452.,Aramis Ramirez (25),21,2003,R
581,452.,Manny Ramirez (35),21,2007,R
582,452.,Rafael Ramirez (27),21,1985,R
583,452.,Johnny Ray (29),21,1986,B
584,452.,Edgar Renteria (26),21,2003,R
585,452.,Jim Rice+ (24),21,1977,R
586,452.,Alex Rios (28),21,2009,R
587,452.,Alex Rios (29),21,2010,R
588,452.,Anthony Rizzo (27),21,2017,L
589,452.,Brooks Robinson+ (24),21,1961,R
590,452.,Brooks Robinson+ (30),21,1967,R
591,452.,Aaron Rowand (30),21,2008,R
592,452.,Manny Sanguillen (27),21,1971,R
593,452.,Carlos Santana (26),21,2012,B
594,452.,Benito Santiago (26),21,1991,R
595,452.,Ron Santo+ (29),21,1969,R
596,452.,Andrelton Simmons (29),21,2019,R
597,452.,Ken Singleton (34),21,1981,B
598,452.,Bill Skowron (30),21,1961,R
599,452.,Yangervis Solarte (30),21,2018,B
600,452.,Rusty Staub (27),21,1971,L
601,452.,Rusty Staub (30),21,1974,L
602,452.,John Stearns (27),21,1979,R
603,452.,Vern Stephens (29),21,1950,R
604,452.,B.J. Surhoff (26),21,1991,L
605,452.,Mike Sweeney (25),21,1999,R
606,452.,Miguel Tejada (28),21,2002,R
607,452.,Andre Thornton (32),21,1982,R
608,452.,Gus Triandos (25),21,1956,R
609,452.,John Valentin (30),21,1997,R
610,452.,Jose Vidro (32),21,2007,B
611,452.,Tim Wallach (31),21,1989,R
612,452.,Vernon Wells (24),21,2003,R
613,452.,Bernie Williams (34),21,2003,B
614,452.,Eddie Williams (30),21,1995,R
615,452.,Dave Winfield+ (39),21,1991,R
616,452.,Mickey Witek (27),21,1943,R
