,Rank,Player (age that year),Power-Speed #,Year,Bats
282,280.,Hanley Ramirez (26),25.36,2010,R
283,284.,Marquis Grissom (29),25.26,1996,R
284,284.,Jimmy Ryan (25),25.26,1888,R
285,286.,Brian Dozier (29),25.20,2016,R
286,286.,Mickey Mantle+ (26),25.20,1958,B
287,286.,Alex Rios (32),25.20,2013,R
288,286.,Melvin Upton Jr. (25),25.20,2010,R
289,290.,Dickie Thon (25),25.19,1983,R
290,291.,Dick Allen (30),25.11,1972,R
291,291.,Jose Canseco (25),25.11,1990,R
292,291.,Ed Delahanty+ (25),25.11,1893,R
293,291.,Lenny Dykstra (30),25.11,1993,L
294,291.,Carlos Gomez (26),25.11,2012,R
295,291.,Carlos Lee (30),25.11,2006,R
296,297.,Joe Morgan+ (28),25.08,1972,L
297,298.,Jeff Bagwell+ (28),25.04,1996,R
298,298.,Ray Lankford (30),25.04,1997,L
299,298.,Derrek Lee (27),25.04,2003,R
300,298.,Mickey Mantle+ (27),25.04,1959,B
301,298.,Jimmy Rollins (30),25.04,2009,B
302,298.,Justin Upton (23),25.04,2011,R
303,304.,Carlos Beltran (29),25.02,2006,B
304,304.,Kiki Cuyler+ (26),25.02,1925,R
305,304.,Larry Walker+ (26),25.02,1993,L
306,307.,Chris Sabo (28),25.00,1990,R
307,308.,Fred Pfeffer (27),24.99,1887,R
308,308.,Harry Stovey (34),24.99,1891,R
309,308.,Bobby Tolan (24),24.99,1970,L
310,311.,Alex Rodriguez (27),24.97,2003,R
311,312.,Mookie Betts (24),24.96,2017,R
312,312.,Andre Dawson+ (26),24.96,1981,R
313,312.,Kirk Gibson (30),24.96,1987,L
314,312.,Andruw Jones (22),24.96,1999,R
315,316.,Lou Brock+ (27),24.94,1966,L
316,317.,Joe Carter (31),24.91,1991,R
317,317.,Nelson Cruz (28),24.91,2009,R
318,317.,Starling Marte (29),24.91,2018,R
319,317.,Jean Segura (26),24.91,2016,R
320,321.,Jose Reyes (25),24.89,2008,B
321,322.,Ray Durham (26),24.87,1998,B
322,322.,Dale Murphy (28),24.87,1984,R
323,324.,Orlando Cepeda+ (21),24.84,1959,R
324,325.,Lou Gehrig+ (28),24.83,1931,L
325,325.,Willie Mays+ (30),24.83,1961,R
326,325.,Juan Samuel (23),24.83,1984,R
327,325.,Sammy Sosa (27),24.83,1996,R
328,329.,Ken Griffey Jr.+ (23),24.68,1993,L
329,329.,Davey Lopes (33),24.68,1978,R
330,329.,Jimmy Ryan (26),24.68,1889,R
331,332.,Leon Durham (24),24.64,1982,L
332,332.,Damion Easley (27),24.64,1997,R
333,332.,Grady Sizemore (23),24.64,2006,L
334,335.,Lloyd Moseby (24),24.63,1984,L
335,335.,Frank Robinson+ (26),24.63,1962,R
336,335.,Gary Sheffield (34),24.63,2003,R
337,335.,Trea Turner (26),24.63,2019,R
338,339.,Ryan Braun (25),24.62,2009,R
339,339.,Roberto Kelly (26),24.62,1991,R
340,339.,Vada Pinson (21),24.62,1960,L
341,339.,Troy Tulowitzki (24),24.62,2009,R
342,343.,Mike Tiernan (24),24.58,1891,L
343,344.,Jose Cruz (29),24.53,1977,L
344,345.,Ryan Braun (31),24.49,2015,R
345,345.,Johnny Damon (32),24.49,2006,L
346,345.,Glenallen Hill (30),24.49,1995,R
347,345.,Ray Lankford (28),24.49,1995,L
348,349.,Al Martin (28),24.43,1996,L
349,350.,Eric Davis (34),24.41,1996,R
350,350.,Curtis Granderson (26),24.41,2007,L
351,350.,Reggie Jackson+ (24),24.41,1970,L
352,350.,Ryan Klesko (29),24.41,2000,L
353,350.,Nate McLouth (26),24.41,2008,L
354,350.,Vada Pinson (23),24.41,1962,L
355,356.,Jeff Bagwell+ (30),24.38,1998,R
356,356.,Whit Merrifield (28),24.38,2017,R
357,358.,Charlie Blackmon (28),24.37,2015,L
358,358.,Roger Connor+ (29),24.37,1887,B
359,360.,Bobby Abreu (28),24.31,2002,L
360,360.,Andrew McCutchen (25),24.31,2012,R
361,360.,Kirby Puckett+ (26),24.31,1986,R
362,363.,Jesse Barfield (25),24.25,1985,R
363,363.,Carlos Beltran (22),24.25,1999,B
364,363.,Cliff Floyd (25),24.25,1998,L
365,363.,Hunter Pence (30),24.25,2013,R
366,363.,Vada Pinson (24),24.25,1963,L
367,368.,Lloyd Moseby (25),24.22,1985,L
368,369.,Rogers Hornsby+ (26),24.20,1922,R
369,370.,Juan Encarnacion (23),24.12,1999,R
370,370.,Ken Griffey Jr.+ (26),24.12,1996,L
371,370.,Alfonso Soriano (31),24.12,2007,R
372,373.,Rickey Henderson+ (28),24.03,1987,R
373,373.,Babe Ruth+ (28),24.03,1923,L
374,375.,Roberto Alomar+ (33),24.00,2001,B
375,375.,George Bell (25),24.00,1985,R
376,375.,Carl Crawford (27),24.00,2009,L
377,375.,Mike Davis (26),24.00,1985,L
378,375.,Ian Desmond (28),24.00,2014,R
379,375.,Paul Goldschmidt (29),24.00,2017,R
380,375.,Curtis Granderson (28),24.00,2009,L
381,375.,Shawn Green (27),24.00,2000,L
382,375.,Von Hayes (25),24.00,1984,L
383,375.,Larry Hisle (30),24.00,1977,R
384,375.,Wil Myers (26),24.00,2017,R
385,375.,Dave Parker (27),24.00,1978,L
386,375.,Frank Robinson+ (23),24.00,1959,R
387,375.,Danny Santana (28),24.00,2019,B
388,375.,Alan Trammell+ (29),24.00,1987,R
389,390.,Starling Marte (30),23.96,2019,R
390,390.,Tommy Pham (29),23.96,2017,R
391,390.,Alex Rios (31),23.96,2012,R
392,393.,Albert Pujols (29),23.87,2009,R
393,394.,Barry Bonds (24),23.84,1989,L
394,394.,Ryne Sandberg+ (24),23.84,1984,R
395,396.,Phil Bradley (26),23.83,1985,R
396,396.,Ryne Sandberg+ (31),23.83,1991,R
397,396.,Kevin Young (30),23.83,1999,R
398,399.,Tommy Harper (24),23.77,1965,R
399,399.,Babe Herman (27),23.77,1930,L
400,399.,Sam Jethroe (33),23.77,1950,B
401,399.,Sam Jethroe (34),23.77,1951,B
402,399.,Matt Kemp (23),23.77,2008,R
403,399.,Alex Rodriguez (32),23.77,2008,R
404,405.,Johnny Damon (26),23.74,2000,L
405,405.,Marquis Grissom (25),23.74,1992,R
406,405.,Gregg Jefferies (25),23.74,1993,B
407,408.,Hank Aaron+ (33),23.68,1967,R
408,408.,Gary Redus (26),23.68,1983,R
409,410.,Todd Frazier (28),23.67,2014,R
410,411.,Ken Griffey Jr.+ (27),23.66,1997,L
411,412.,Dante Bichette (30),23.63,1994,R
412,412.,Chad Curtis (26),23.63,1995,R
413,412.,Jason Heyward (22),23.63,2012,L
414,412.,Derek Jeter+ (27),23.63,2001,R
415,412.,Andrew McCutchen (26),23.63,2013,R
416,412.,Kevin McReynolds (28),23.63,1988,R
417,418.,Paul Molitor+ (30),23.61,1987,R
418,418.,Corey Patterson (26),23.61,2006,L
419,420.,Kenny Lofton (29),23.60,1996,L
420,421.,Ivan Calderon (29),23.56,1991,R
421,422.,Alfonso Soriano (37),23.54,2013,R
422,422.,Shane Victorino (29),23.54,2010,R
423,424.,Aaron Boone (30),23.49,2003,R
424,424.,Corey Hart (25),23.49,2007,R
425,424.,Howard Johnson (27),23.49,1988,B
426,424.,Jose Ramirez (26),23.49,2019,B
427,428.,Dale Murphy (31),23.47,1987,R
428,428.,Hardy Richardson (35),23.47,1890,R
429,430.,Mike Cameron (33),23.40,2006,R
430,430.,Jackie Jensen (27),23.40,1954,R
431,430.,Gary Sheffield (38),23.40,2007,R
432,430.,Ruben Sierra (27),23.40,1993,B
433,430.,Sammy Sosa (25),23.40,1994,R
434,435.,Jackie Jensen (32),23.33,1959,R
435,436.,Albert Belle (32),23.30,1999,R
436,436.,Kiki Cuyler+ (29),23.30,1928,R
437,436.,Carlton Fisk+ (37),23.30,1985,R
438,436.,Goose Goslin+ (29),23.30,1930,L
439,436.,Brian McRae (28),23.30,1996,B
440,436.,Devon White (29),23.30,1992,B
441,442.,Oddibe McDowell (23),23.29,1986,L
442,443.,Don Baylor (27),23.28,1976,R
443,443.,Amos Otis (24),23.28,1971,R
444,445.,Derek Jeter+ (24),23.27,1998,R
445,445.,Starling Marte (26),23.27,2015,R
446,447.,Derek Bell (24),23.23,1993,R
447,447.,Carlos Gonzalez (27),23.23,2013,L
448,447.,Jeffrey Leonard (27),23.23,1983,R
449,447.,Dustin Pedroia (27),23.23,2011,R
450,447.,Frank Robinson+ (27),23.23,1963,R
451,447.,Bobby Tolan (23),23.23,1969,L
452,453.,Barry Larkin+ (31),23.18,1995,R
453,454.,Enos Cabell (27),23.17,1977,R
454,454.,Juan Samuel (25),23.17,1986,R
455,454.,Gary Sheffield (27),23.17,1996,R
456,454.,Duke Snider+ (26),23.17,1953,L
457,458.,Rickey Henderson+ (39),23.10,1998,R
458,459.,Reggie Jackson+ (29),23.09,1975,L
459,460.,Derek Jeter+ (28),23.04,2002,R
460,460.,Magglio Ordonez (26),23.04,2000,R
461,460.,Jim Wynn (32),23.04,1974,R
462,463.,Lee Mazzilli (25),23.02,1980,B
463,463.,Albert Pujols (25),23.02,2005,R
464,465.,Derek Jeter+ (30),23.00,2004,R
465,465.,Andrew McCutchen (24),23.00,2011,R
466,467.,Bobby Abreu (25),22.98,1999,L
467,467.,Sal Bando (32),22.98,1976,R
468,467.,Ellis Burks (22),22.98,1987,R
469,467.,Jeromy Burnitz (28),22.98,1997,L
470,467.,Reggie Sanders (25),22.98,1993,R
471,467.,Melvin Upton Jr. (31),22.98,2016,R
472,467.,John Valentin (28),22.98,1995,R
473,474.,Joe Morgan+ (25),22.97,1969,L
474,475.,Hank Aaron+ (30),22.96,1964,R
475,475.,Joe Carter (30),22.96,1990,R
476,475.,Cliff Floyd (27),22.96,2000,L
477,475.,Brian Jordan (28),22.96,1995,R
478,475.,Raul Mondesi (29),22.96,2000,R
479,475.,Raul Mondesi (32),22.96,2003,R
480,475.,Alfonso Soriano (32),22.96,2008,R
481,475.,Melvin Upton Jr. (22),22.96,2007,R
482,475.,Roy White (26),22.96,1970,B
483,475.,David Wright (27),22.96,2010,R
484,485.,Hank Aaron+ (26),22.86,1960,R
485,485.,Rickey Henderson+ (33),22.86,1992,R
486,485.,Eduardo Nunez (29),22.86,2016,R
487,488.,Ian Desmond (26),22.83,2012,R
488,488.,Buck Freeman (27),22.83,1899,L
489,488.,Tommy Pham (31),22.83,2019,R
490,488.,Lonnie Smith (33),22.83,1989,R
491,488.,Alan Trammell+ (28),22.83,1986,R
492,493.,Cliff Floyd (28),22.78,2001,L
493,493.,Carlos Lee (27),22.78,2003,R
494,495.,Cesar Cedeno (26),22.77,1977,R
495,496.,Cody Bellinger (23),22.74,2019,L
496,497.,Jacoby Ellsbury (30),22.69,2014,L
497,497.,Ron LeFlore (29),22.69,1977,R
498,499.,Andre Dawson+ (25),22.67,1980,R
499,500.,Charlie Blackmon (27),22.64,2014,L
500,500.,Nomar Garciaparra (29),22.64,2003,R
501,500.,Matt Kemp (25),22.64,2010,R
