,Rank,Player (age that year),Def. Games as P,Year,Throws
58,48.,Scott Proctor (30),83,2007,R
59,48.,Ken Sanders (29),83,1971,R
60,48.,Mike Stanton (37),83,2004,L
61,48.,Kelly Wunsch (27),83,2000,L
62,63.,Juan Agosto (32),82,1990,L
63,63.,Bill Campbell (34),82,1983,R
64,63.,Jeff Fassero (38),82,2001,L
65,63.,Eddie Fisher (28),82,1965,R
66,63.,Brad Hand (26),82,2016,L
67,63.,Ray King (27),82,2001,L
68,63.,Steve Kline (26),82,1999,L
69,63.,Carlos Marmol (25),82,2008,R
70,63.,Nick Masset (28),82,2010,R
71,63.,Paul Quantrill (29),82,1998,R
72,63.,Joe Smith (24),82,2008,R
73,63.,Mike Stanton (39),82,2006,L
74,63.,Brad Ziegler (38),82,2018,R
75,76.,Luis Ayala (26),81,2004,R
76,76.,Luis Ayala (30),81,2008,R
77,76.,Rod Beck (29),81,1998,R
78,76.,Heath Bell (29),81,2007,R
79,76.,Joe Boever (31),81,1992,R
80,76.,Brad Clontz (25),81,1996,R
81,76.,Todd Coffey (25),81,2006,R
82,76.,Scott Downs (31),81,2007,L
83,76.,Zach Duke (33),81,2016,L
84,76.,Geoff Geary (29),81,2006,R
85,76.,Aaron Heilman (28),81,2007,R
86,76.,Michael Jackson (28),81,1993,R
87,76.,Dale Murray (26),81,1976,R
88,76.,Chad Qualls (27),81,2006,R
89,76.,Jeff Robinson (26),81,1987,R
90,76.,Kenny Rogers (27),81,1992,L
91,76.,J.C. Romero (26),81,2002,L
92,76.,J.C. Romero (32),81,2008,L
93,76.,Kevin Siegrist (25),81,2015,L
94,76.,Mike Stanton (29),81,1996,L
95,76.,Greg Swindell (33),81,1998,L
96,76.,Mike Timlin (39),81,2005,R
97,76.,Ugueth Urbina (31),81,2005,R
98,76.,Jamie Walker (35),81,2007,L
99,76.,Duane Ward (27),81,1991,R
100,76.,John Wyatt (29),81,1964,R
101,102.,Matt Belisle (32),80,2012,R
102,102.,Pedro Borbon (26),80,1973,R
103,102.,Shawn Camp (36),80,2012,R
104,102.,Randy Choate (36),80,2012,L
105,102.,Steve Cishek (32),80,2018,R
106,102.,Mike Gonzalez (31),80,2009,L
107,102.,Tom Gordon (36),80,2004,R
108,102.,Mudcat Grant (34),80,1970,R
109,102.,Luke Gregerson (26),80,2010,R
110,102.,Greg Harris (37),80,1993,R
111,102.,Willie Hernandez (29),80,1984,L
112,102.,Doug Jones (35),80,1992,R
113,102.,Ray King (29),80,2003,L
114,102.,Adam Kolarek (30),80,2019,L
115,102.,Brad Lidge (27),80,2004,R
116,102.,Boone Logan (27),80,2012,L
117,102.,Sean Marshall (27),80,2010,L
118,102.,Tom Martin (33),80,2003,L
119,102.,Cla Meredith (24),80,2007,R
120,102.,Peter Moylan (28),80,2007,R
121,102.,Joel Peralta (37),80,2013,R
122,102.,Yusmeiro Petit (34),80,2019,R
123,102.,Paul Quantrill (32),80,2001,R
124,102.,Addison Reed (27),80,2016,R
125,102.,Felix Rodriguez (28),80,2001,R
126,102.,Scott Schoeneweis (31),80,2005,L
127,102.,Bryan Shaw (26),80,2014,R
128,102.,David Weathers (31),80,2001,R
129,102.,Turk Wendell (32),80,1999,R
130,102.,Mitch Williams (21),80,1986,L
131,102.,Tim Worrell (34),80,2002,R
132,133.,Antonio Alfonseca (32),79,2004,R
133,133.,Bill Bray (28),79,2011,L
134,133.,Randall Delgado (26),79,2016,R
135,133.,Tom Gordon (37),79,2005,R
136,133.,Sean Green (30),79,2009,R
137,133.,Eddie Guardado (27),79,1998,L
138,133.,Matt Guerrier (30),79,2009,R
139,133.,Bob Howry (31),79,2005,R
140,133.,Todd Jones (34),79,2002,R
141,133.,Craig Kimbrel (23),79,2011,R
142,133.,Brandon Lyon (30),79,2010,R
143,133.,Ryan Madson (28),79,2009,R
144,133.,Gary Majewski (25),79,2005,R
145,133.,Carlos Marmol (26),79,2009,R
146,133.,Jose Mesa (40),79,2006,R
147,133.,Trever Miller (30),79,2003,L
148,133.,Peter Moylan (38),79,2017,R
149,133.,Robb Nen (31),79,2001,R
150,133.,Hector Neris (27),79,2016,R
151,133.,Bob Patterson (37),79,1996,L
152,133.,Chad Qualls (28),79,2007,R
153,133.,Dick Radatz (27),79,1964,R
154,133.,Duaner Sanchez (25),79,2005,R
155,133.,Scott Sauerbeck (31),79,2003,L
156,133.,Bryan Shaw (29),79,2017,R
157,133.,Mike Stanton (35),79,2002,L
158,133.,Scott Sullivan (28),79,1999,R
159,133.,Scott Sullivan (29),79,2000,R
160,133.,Scott Sullivan (30),79,2001,R
161,133.,Anthony Telford (33),79,1999,R
162,133.,Jonny Venters (25),79,2010,L
163,133.,Jose Veras (30),79,2011,R
164,133.,Ron Villone (35),79,2005,L
165,133.,Duane Ward (28),79,1992,R
166,167.,Ted Abernathy (35),78,1968,R
167,167.,Mitchell Boggs (28),78,2012,R
168,167.,Chad Bradford (32),78,2007,R
169,167.,Tim Burke (26),78,1985,R
170,167.,Bill Campbell (27),78,1976,R
171,167.,Tyler Clippard (25),78,2010,R
172,167.,Todd Coffey (28),78,2009,R
173,167.,Manny Corpas (24),78,2007,R
174,167.,Mark Dewey (31),78,1996,R
175,167.,Jeurys Familia (26),78,2016,R
176,167.,Pedro Feliciano (30),78,2007,L
177,167.,Rollie Fingers+ (30),78,1977,R
178,167.,Brian Fuentes (29),78,2005,L
179,167.,Buddy Groom (31),78,1997,L
180,167.,Aaron Heilman (29),78,2008,R
181,167.,Bob Howry (33),78,2007,R
182,167.,Tom Hume (27),78,1980,R
183,167.,Todd Jones (36),78,2004,R
184,167.,Steve Karsay (30),78,2002,R
185,167.,Byung-Hyun Kim (22),78,2001,R
186,167.,Steve Kline (25),78,1998,L
187,167.,Steve Kline (30),78,2003,L
188,167.,Brad Lidge (26),78,2003,R
189,167.,Brad Lidge (29),78,2006,R
190,167.,Braden Looper (27),78,2002,R
191,167.,Ryan Madson (24),78,2005,R
192,167.,Sean Marshall (28),78,2011,L
193,167.,Lance McCullers (23),78,1987,R
194,167.,Chuck McElroy (30),78,1998,L
195,167.,Mark Melancon (30),78,2015,R
196,167.,Kent Mercker (37),78,2005,L
197,167.,Jose Mijares (27),78,2012,L
198,167.,Greg Minton (30),78,1982,R
199,167.,Guillermo Mota (30),78,2004,R
200,167.,Jason Motte (29),78,2011,R
201,167.,Mike Myers (31),78,2000,L
202,167.,Joe Nathan (28),78,2003,R
203,167.,Robb Nen (28),78,1998,R
204,167.,Eric O'Flaherty (24),78,2009,L
205,167.,Eric O'Flaherty (26),78,2011,L
206,167.,Will Ohman (28),78,2006,L
207,167.,Dan Plesac (36),78,1998,L
208,167.,Ted Power (29),78,1984,R
209,167.,Francisco Rodriguez (30),78,2012,R
210,167.,Scott Sauerbeck (30),78,2002,L
211,167.,Jeff Shaw (29),78,1996,R
212,167.,Jeff Shaw (30),78,1997,R
213,167.,Scot Shields (29),78,2005,R
214,167.,Will Smith (24),78,2014,L
215,167.,Ricky Stone (27),78,2002,R
216,167.,Wander Suero (27),78,2019,R
217,167.,Kent Tekulve (33),78,1980,R
218,167.,Salomon Torres (33),78,2005,R
219,167.,Ed Vande Berg (23),78,1982,L
220,167.,Billy Wagner (31),78,2003,L
221,167.,Jamie Walker (31),78,2003,L
222,167.,Tony Watson (29),78,2014,L
223,167.,Hal Woodeshick (32),78,1965,L
224,167.,Brad Ziegler (33),78,2013,R
225,226.,Cody Allen (24),77,2013,R
226,226.,Ronald Belisario (30),77,2013,R
227,226.,Armando Benitez (26),77,1999,R
228,226.,Craig Breslow (28),77,2009,L
229,226.,Rick Camp (27),77,1980,R
230,226.,Andrew Chafin (28),77,2018,L
231,226.,Andrew Chafin (29),77,2019,L
232,226.,Francisco Cordero (31),77,2006,R
233,226.,Mark Davis (24),77,1985,L
234,226.,Octavio Dotel (30),77,2004,R
235,226.,Kyle Farnsworth (27),77,2003,R
236,226.,Eric Gagne (26),77,2002,R
237,226.,Eric Gagne (27),77,2003,R
238,226.,Luke Gregerson (28),77,2012,R
239,226.,LaTroy Hawkins (31),77,2004,R
240,226.,Xavier Hernandez (26),77,1992,R
241,226.,Charlie Hough (28),77,1976,R
242,226.,Dan Jennings (30),77,2017,L
243,226.,Barry Jones (28),77,1991,R
244,226.,Ray King (31),77,2005,L
245,226.,Gary Lavelle (35),77,1984,L
246,226.,Craig Lefferts (29),77,1987,L
247,226.,Bob Locker (29),77,1967,R
248,226.,Javier Lopez (32),77,2010,L
249,226.,Javier Lopez (37),77,2015,L
250,226.,Carlos Marmol (27),77,2010,R
251,226.,Mike Matthews (29),77,2003,L
252,226.,Butch Metzger (24),77,1976,R
253,226.,Jeff Nelson (30),77,1997,R
254,226.,Vladimir Núñez (27),77,2002,R
255,226.,Mike Perez (27),77,1992,R
256,226.,Ryan Pressly (29),77,2018,R
257,226.,Chad Qualls (26),77,2005,R
258,226.,Chad Qualls (29),77,2008,R
259,226.,Chad Qualls (32),77,2011,R
260,226.,Paul Quantrill (28),77,1997,R
261,226.,Addison Reed (28),77,2017,R
262,226.,Juan Rincon (25),77,2004,R
263,226.,Mel Rojas (30),77,1997,R
264,226.,James Russell (26),77,2012,L
265,226.,Jeff Shaw (34),77,2001,R
266,226.,Rafael Soriano (29),77,2009,R
267,226.,Scott Strickland (25),77,2001,R
268,226.,Julian Tavarez (31),77,2004,R
269,226.,Anthony Telford (32),77,1998,R
270,226.,Bobby Thigpen (26),77,1990,R
271,226.,Dick Tidrow (32),77,1979,R
272,226.,Mike Trombley (31),77,1998,R
273,226.,Derrick Turnbow (29),77,2007,R
274,226.,Mike Venafro (26),77,2000,L
275,226.,Luis Vizcaino (32),77,2007,R
276,226.,Tony Watson (30),77,2015,L
277,226.,David Weathers (33),77,2003,R
278,226.,Turk Wendell (33),77,2000,R
279,226.,Mark Wohlers (26),77,1996,R
280,226.,Travis Wood (29),77,2016,L
281,226.,Wilbur Wood (28),77,1970,L
282,226.,Tim Worrell (36),77,2004,R
283,226.,Wesley Wright (27),77,2012,L
284,226.,Brad Ziegler (32),77,2012,R
285,286.,Cody Allen (25),76,2014,R
286,286.,Jose Alvarez (29),76,2018,L
287,286.,Rod Beck (24),76,1993,R
288,286.,Matt Belisle (30),76,2010,R
289,286.,Armando Benitez (27),76,2000,R
290,286.,Blaine Boyer (26),76,2008,R
291,286.,Archie Bradley (25),76,2018,R
292,286.,Tim Byrdak (35),76,2009,L
293,286.,Manny Corpas (25),76,2008,R
294,286.,Chuck Crim (27),76,1989,R
295,286.,Jake Diekman (32),76,2019,L
296,286.,Octavio Dotel (29),76,2003,R
297,286.,Chad Durbin (34),76,2012,R
298,286.,Kelvim Escobar (26),76,2002,R
299,286.,Jeurys Familia (24),76,2014,R
300,286.,Jeurys Familia (25),76,2015,R
301,286.,Kyle Farnsworth (25),76,2001,R
302,286.,Rollie Fingers+ (27),76,1974,R
303,286.,Pud Galvin+ (26),76,1883,R
304,286.,Jason Grimsley (35),76,2003,R
305,286.,Buddy Groom (33),76,1999,L
306,286.,Matt Guerrier (29),76,2008,R
307,286.,Mark Guthrie (34),76,2000,L
308,286.,Larry Hardy (26),76,1974,R
309,286.,Ron Herbel (32),76,1970,R
310,286.,Kelvin Herrera (22),76,2012,R
311,286.,Jared Hughes (29),76,2015,R
312,286.,Jeff Innis (29),76,1992,R
313,286.,Ray King (28),76,2002,L
314,286.,Corey Knebel (25),76,2017,R
315,286.,Curt Leskanic (27),76,1995,R
316,286.,Matt Lindstrom (33),76,2013,R
317,286.,Ryan Madson (27),76,2008,R
318,286.,Seth Maness (26),76,2015,R
319,286.,Tippy Martinez (32),76,1982,L
320,286.,Jose Mesa (32),76,1998,R
321,286.,Trever Miller (34),76,2007,L
322,286.,Sid Monge (28),76,1979,L
323,286.,Guillermo Mota (29),76,2003,R
324,286.,Rob Murphy (28),76,1988,L
325,286.,Juan Nicasio (30),76,2017,R
326,286.,Seunghwan Oh (33),76,2016,R
327,286.,Bob Patterson (38),76,1997,L
328,286.,Joel Peralta (36),76,2012,R
329,286.,Old Hoss Radbourn+ (28),76,1883,R
330,286.,Chris Reitsma (27),76,2005,R
331,286.,Chris Resop (28),76,2011,R
332,286.,Saul Rivera (30),76,2008,R
333,286.,Fernando Rodney (35),76,2012,R
334,286.,Felix Rodriguez (27),76,2000,R
335,286.,Francisco Rodriguez (26),76,2008,R
336,286.,Paco Rodriguez (22),76,2013,L
337,286.,B.J. Ryan (27),76,2003,L
338,286.,Tanner Scheppers (26),76,2013,R
339,286.,Rod Scurry (26),76,1982,L
340,286.,Heathcliff Slocumb (31),76,1997,R
341,286.,Joe Smith (30),76,2014,R
342,286.,Will Smith (25),76,2015,L
343,286.,Dan Spillner (25),76,1977,R
344,286.,Jerry Spradlin (30),76,1997,R
345,286.,Russ Springer (38),76,2007,R
346,286.,Craig Stammen (35),76,2019,R
347,286.,Mike Stanton (34),76,2001,L
348,286.,Pedro Strop (30),76,2015,R
349,286.,Kent Tekulve (36),76,1983,R
350,286.,Mike Timlin (38),76,2004,R
351,286.,Dave Tomlin (28),76,1977,L
352,286.,Ed Vande Berg (26),76,1985,L
353,286.,Luis Vizcaino (27),76,2002,R
354,286.,Bob Wells (32),76,1999,R
355,286.,Bob Wells (33),76,2000,R
356,286.,David West (28),76,1993,L
357,286.,Will White (24),76,1879,R
358,286.,Mitch Williams (24),76,1989,L
359,286.,Wilbur Wood (27),76,1969,L
360,286.,Tim Worrell (35),76,2003,R
361,362.,Mike Adams (32),75,2011,R
362,362.,Juan Agosto (30),75,1988,L
363,362.,Paul Assenmacher (30),75,1991,L
364,362.,Paul Assenmacher (36),75,1997,L
365,362.,Luis Avilan (23),75,2013,L
366,362.,John Axford (29),75,2012,R
367,362.,John Axford (30),75,2013,R
368,362.,Grant Balfour (34),75,2012,R
369,362.,Kyle Barraclough (26),75,2016,R
370,362.,Joe Blanton (35),75,2016,R
371,362.,Jerry Blevins (33),75,2017,L
372,362.,Matt Bowman (26),75,2017,R
373,362.,Chad Bradford (27),75,2002,R
374,362.,Craig Breslow (29),75,2010,L
375,362.,Rex Brothers (24),75,2012,L
376,362.,Shawn Camp (30),75,2006,R
377,362.,Tyler Clippard (29),75,2014,R
378,362.,Francisco Cordero (35),75,2010,R
379,362.,Jesse Crain (23),75,2005,R
380,362.,Mike DeJean (30),75,2001,R
381,362.,Dane De La Rosa (30),75,2013,R
382,362.,Mike Dunn (28),75,2013,L
383,362.,Mike Dunn (29),75,2014,L
384,362.,Sam Dyson (27),75,2015,R
385,362.,Rollie Fingers+ (28),75,1975,R
386,362.,Mike Gonzalez (35),75,2013,L
387,362.,John Grabow (30),75,2009,L
388,362.,Danny Graves (25),75,1999,R
389,362.,Buddy Groom (32),75,1998,L
390,362.,Guy Hecker (28),75,1884,R
391,362.,Liam Hendriks (30),75,2019,R
392,362.,Doug Henry (33),75,1997,R
393,362.,Matt Herges (31),75,2001,R
394,362.,Willie Hernandez (27),75,1982,L
395,362.,Yoshihisa Hirano (34),75,2018,R
396,362.,Bill Hutchison (32),75,1892,R
397,362.,Kenley Jansen (25),75,2013,R
398,362.,Kevin Jepsen (30),75,2015,R
399,362.,Doug Jones (40),75,1997,R
400,362.,Kerry Ligtenberg (27),75,1998,R
401,362.,Wilton Lopez (29),75,2013,R
402,362.,Mark Lowe (26),75,2009,R
403,362.,Carlos Marmol (28),75,2011,R
404,362.,Damaso Marte (31),75,2006,L
405,362.,Nick Masset (29),75,2011,R
406,362.,Roger McDowell (25),75,1986,R
407,362.,Mark Melancon (31),75,2016,R
408,362.,Butch Metzger (25),75,1977,R
409,362.,Robb Nen (26),75,1996,R
410,362.,Juan Carlos Oviedo (27),75,2009,R
411,362.,Adam Ottavino (28),75,2014,R
412,362.,Adam Ottavino (32),75,2018,R
413,362.,Ron Perranoski (33),75,1969,L
414,362.,Dan Quisenberry (27),75,1980,R
415,362.,Old Hoss Radbourn+ (29),75,1884,R
416,362.,Scott Radinsky (29),75,1997,L
417,362.,Jon Rauch (30),75,2009,R
418,362.,Jeff Reardon (26),75,1982,R
419,362.,Dennys Reyes (31),75,2008,L
420,362.,Dennys Reyes (32),75,2009,L
421,362.,Juan Rincon (26),75,2005,R
422,362.,Juan Rincon (27),75,2006,R
423,362.,Felipe Vazquez (24),75,2016,L
424,362.,Jeff Robinson (27),75,1988,R
425,362.,Fernando Salas (31),75,2016,R
426,362.,Jeff Samardzija (26),75,2011,R
427,362.,Scott Sauerbeck (28),75,2000,L
428,362.,Bryan Shaw (28),75,2016,R
429,362.,Heathcliff Slocumb (30),75,1996,R
430,362.,John Smoltz+ (35),75,2002,R
431,362.,Mike Trombley (32),75,1999,R
432,362.,Mike Trombley (33),75,2000,R
433,362.,Jose Valverde (33),75,2011,R
434,362.,Billy Wagner (33),75,2005,L
435,362.,Dan Wheeler (28),75,2006,R
436,362.,Todd Worrell (27),75,1987,R
437,362.,Jamey Wright (33),75,2008,R
438,439.,Terry Adams (24),74,1997,R
439,439.,Jeremy Affeldt (29),74,2008,L
440,439.,Paul Assenmacher (29),74,1990,L
441,439.,John Axford (28),74,2011,R
442,439.,Matt Belisle (31),74,2011,R
443,439.,Dellin Betances (27),74,2015,R
444,439.,Rex Brothers (26),74,2014,L
445,439.,Matt Capps (26),74,2010,R
446,439.,Tyler Clippard (27),74,2012,R
447,439.,Phil Coke (27),74,2010,L
448,439.,Ryan Dempster (29),74,2006,R
449,439.,Rob Dibble (25),74,1989,R
450,439.,Jerry Dipoto (29),74,1997,R
451,439.,Zach Duke (31),74,2014,L
452,439.,Sam Dyson (30),74,2018,R
453,439.,John Franco (25),74,1986,L
454,439.,Ryan Franklin (35),74,2008,R
455,439.,Scott Garrelts (23),74,1985,R
456,439.,Matt Guerrier (31),74,2010,R
457,439.,Aaron Heilman (27),74,2006,R
458,439.,Felix Heredia (25),74,2000,L
459,439.,David Hernandez (26),74,2011,R
460,439.,Roberto Hernandez (32),74,1997,R
461,439.,Willie Hernandez (28),74,1983,L
462,439.,Willie Hernandez (30),74,1985,L
463,439.,Kevin Jepsen (29),74,2014,R
464,439.,Jose Jimenez (28),74,2002,R
465,439.,Jim Johnson (30),74,2013,R
466,439.,Steve Karsay (29),74,2001,R
467,439.,Ron Kline (33),74,1965,R
468,439.,Jim Konstanty (33),74,1950,R
469,439.,Bob Lacey (24),74,1978,L
470,439.,Graeme Lloyd (32),74,1999,L
471,439.,Derek Lowe (26),74,1999,R
472,439.,Derek Lowe (27),74,2000,R
473,439.,Nick Masset (27),74,2009,R
474,439.,Jim McCormick (23),74,1880,R
475,439.,Dan McGinn (25),74,1969,L
476,439.,Greg McMichael (26),74,1993,R
477,439.,Jose Mesa (36),74,2002,R
478,439.,Bob Miller (25),74,1964,R
479,439.,Greg Minton (32),74,1984,R
480,439.,Dale Mohorcic (31),74,1987,R
481,439.,Rob Murphy (29),74,1989,L
482,439.,Hector Neris (28),74,2017,R
483,439.,Yusmeiro Petit (33),74,2018,R
484,439.,Jay Powell (25),74,1997,R
485,439.,Jay Powell (29),74,2001,R
486,439.,Jon Rauch (29),74,2008,R
487,439.,Mike Remlinger (35),74,2001,L
488,439.,Lee Richmond (23),74,1880,L
489,439.,Dave Righetti (26),74,1985,L
490,439.,Dave Righetti (27),74,1986,L
491,439.,John Rocker (24),74,1999,L
492,439.,Mel Rojas (29),74,1996,R
493,439.,Enrique Romo (32),74,1980,R
494,439.,Trevor Rosenthal (23),74,2013,R
495,439.,James Russell (27),74,2013,L
496,439.,Bryan Shaw (27),74,2015,R
497,439.,Scot Shields (30),74,2006,R
498,439.,Russ Springer (40),74,2009,R
499,439.,Mike Stanton (24),74,1991,L
