,Rank,Player (age that year),Fielding % as 2B,Year,Throws
262,263.,Jose Altuve (26),.9878,2016,R
263,263.,Nellie Fox+ (35),.9878,1963,R
264,263.,Mark Grudzielanek (37),.9878,2007,R
265,263.,Bill Mazeroski+ (28),.9878,1965,R
266,263.,Pokey Reese (29),.9878,2002,R
267,268.,Craig Biggio+ (28),.9877,1994,R
268,268.,Craig Biggio+ (30),.9877,1996,R
269,268.,Dick Green (32),.9877,1973,R
270,268.,Aaron Hill (32),.9877,2014,R
271,268.,Glenn Hubbard (26),.9877,1984,R
272,268.,Tadahito Iguchi (31),.9877,2006,R
273,268.,Chuck Knoblauch (24),.9877,1993,R
274,268.,Duane Kuiper (29),.9877,1979,R
275,268.,Jose Lind (30),.9877,1994,R
276,268.,Pete Suder (32),.9877,1948,R
277,268.,Lou Whitaker (25),.9877,1982,R
278,279.,Jay Bell (34),.9876,2000,R
279,279.,Bobby Doerr+ (32),.9876,1950,R
280,279.,Brandon Phillips (28),.9876,2009,R
281,279.,Ryne Sandberg+ (33),.9876,1993,R
282,279.,Michael Young (25),.9876,2002,R
283,284.,Bill Doran (30),.9875,1988,R
284,284.,Jerry Lumpe (30),.9875,1963,R
285,284.,Dick McAuliffe (31),.9875,1971,R
286,284.,Cookie Rojas (29),.9875,1968,R
287,288.,Jerry Adair (24),.9874,1961,R
288,288.,Tony Bernazard (24),.9874,1981,R
289,288.,Miguel Cairo (30),.9874,2004,R
290,288.,Brian Dozier (32),.9874,2019,R
291,288.,Orlando Hudson (32),.9874,2010,R
292,288.,Brandon Phillips (32),.9874,2013,R
293,294.,Frank Bolling (27),.9873,1959,R
294,294.,Jonathan Schoop (22),.9873,2014,R
295,294.,Frank White (36),.9873,1987,R
296,294.,Michael Young (26),.9873,2003,R
297,298.,Dave Cash (32),.9872,1980,R
298,298.,Mike Lansing (30),.9872,1998,R
299,298.,Billy Ripken (25),.9872,1990,R
300,298.,Freddy Sanchez (29),.9872,2007,R
301,298.,Steve Sax (29),.9872,1989,R
302,298.,Fernando Vina (32),.9872,2001,R
303,304.,Robinson Cano (28),.9871,2011,R
304,304.,Robinson Cano (31),.9871,2014,R
305,304.,Marcus Giles (29),.9871,2007,R
306,304.,Tom Herr (26),.9871,1982,R
307,304.,Felix Millan (28),.9871,1972,R
308,304.,Jody Reed (33),.9871,1996,R
309,304.,Rey Sanchez (27),.9871,1995,R
310,304.,Red Schoendienst+ (35),.9871,1958,R
311,312.,Marty Barrett (27),.9870,1985,R
312,312.,Julio Cruz (23),.9870,1978,R
313,312.,Mark McLemore (35),.9870,2000,R
314,312.,Jace Peterson (25),.9870,2015,R
315,312.,Manny Trillo (30),.9870,1981,R
316,317.,Alex Cora (28),.9869,2004,R
317,317.,Julio Cruz (27),.9869,1982,R
318,317.,Rich Dauer (29),.9869,1982,R
319,317.,Jim Gantner (36),.9869,1989,R
320,317.,Mark Lewis (26),.9869,1996,R
321,317.,Manny Trillo (29),.9869,1980,R
322,317.,Frank White (35),.9869,1986,R
323,324.,Josh Barfield (23),.9868,2006,R
324,324.,Max Bishop (26),.9868,1926,R
325,324.,Mike Lansing (29),.9868,1997,R
326,324.,Willie Randolph (34),.9868,1989,R
327,324.,Steve Sax (30),.9868,1990,R
328,324.,Red Schoendienst+ (26),.9868,1949,R
329,330.,Jose Altuve (23),.9867,2013,R
330,330.,Doug Flynn (30),.9867,1981,R
331,330.,Billy Gardner (29),.9867,1957,R
332,330.,Aaron Hill (24),.9867,2006,R
333,330.,Ryne Sandberg+ (28),.9867,1988,R
334,335.,Marty Barrett (26),.9866,1984,R
335,335.,Jason Kipnis (28),.9866,2015,R
336,335.,Duane Kuiper (26),.9866,1976,R
337,335.,Mark Loretta (32),.9866,2004,R
338,335.,Yolmer Sanchez (27),.9866,2019,R
339,335.,Pete Suder (35),.9866,1951,R
340,335.,Quilvio Veras (27),.9866,1998,R
341,335.,Kolten Wong (28),.9866,2019,R
342,343.,Edgardo Alfonzo (27),.9865,2001,R
343,343.,Glenn Beckert (30),.9865,1971,R
344,343.,Nellie Fox+ (28),.9865,1956,R
345,343.,Jeff Kent (33),.9865,2001,R
346,343.,Jose Lind (24),.9865,1988,R
347,343.,Cookie Rojas (35),.9865,1974,R
348,343.,Manny Trillo (32),.9865,1983,R
349,350.,Jose Altuve (24),.9864,2014,R
350,350.,Ray Durham (29),.9864,2001,R
351,350.,Jim Gilliam (28),.9864,1957,R
352,350.,Doug Griffin (24),.9864,1971,R
353,350.,Fernando Vina (29),.9864,1998,R
354,355.,Bobby Avila (29),.9863,1953,R
355,355.,Craig Biggio+ (29),.9863,1995,R
356,355.,Luis Castillo (27),.9863,2003,R
357,355.,Delino DeShields (25),.9863,1994,R
358,355.,Lou Whitaker (22),.9863,1979,R
359,360.,Dave Cash (29),.9862,1977,R
360,360.,Bobby Grich (33),.9862,1982,R
361,360.,Danny O'Connell (29),.9862,1958,R
362,360.,Pete Suder (31),.9862,1947,R
363,360.,Tony Taylor (27),.9862,1963,R
364,365.,Bobby Knoop (28),.9861,1967,R
365,365.,Jerry Lumpe (29),.9861,1962,R
366,365.,Joe Morgan+ (31),.9861,1975,R
367,365.,Ryne Sandberg+ (25),.9861,1985,R
368,365.,Ryan Theriot (30),.9861,2010,R
369,370.,Mark Grudzielanek (33),.9860,2003,R
370,370.,Damian Jackson (27),.9860,2001,R
371,370.,Dick McAuliffe (28),.9860,1968,R
372,370.,Harold Reynolds (32),.9860,1993,R
373,370.,Pete Runnels (32),.9860,1960,R
374,370.,Ted Sizemore (32),.9860,1977,R
375,370.,Jose Vidro (25),.9860,2000,R
376,377.,Jerry Adair (28),.9859,1965,R
377,377.,Carlos Baerga (29),.9859,1998,R
378,377.,Miguel Cairo (25),.9859,1999,R
379,377.,Nellie Fox+ (29),.9859,1957,R
380,381.,Bret Boone (32),.9858,2001,R
381,381.,Dave Cash (30),.9858,1978,R
382,381.,Bobby Doerr+ (28),.9858,1946,R
383,381.,Doug Flynn (31),.9858,1982,R
384,381.,Glenn Hubbard (29),.9858,1987,R
385,381.,Howie Kendrick (26),.9858,2010,R
386,381.,Jeff Kent (32),.9858,2000,R
387,381.,Jack Perconte (30),.9858,1985,R
388,381.,Cookie Rojas (33),.9858,1972,R
389,381.,Ryne Sandberg+ (23),.9858,1983,R
390,381.,Jose Vidro (27),.9858,2002,R
391,392.,Billy Moran (28),.9857,1962,R
392,392.,Red Schoendienst+ (34),.9857,1957,R
393,394.,Doug Flynn (27),.9856,1978,R
394,394.,Jim Gantner (35),.9856,1988,R
395,394.,Neil Walker (30),.9856,2016,R
396,397.,Edgardo Alfonzo (26),.9855,2000,R
397,397.,Juan Bonilla (27),.9855,1983,R
398,397.,Horace Clarke (33),.9855,1972,R
399,397.,Bill Doran (26),.9855,1984,R
400,397.,Charlie Gehringer+ (34),.9855,1937,R
401,397.,Dick Green (28),.9855,1969,R
402,397.,Dick Green (30),.9855,1971,R
403,397.,Joe Morgan+ (27),.9855,1971,R
404,397.,Jackie Robinson+ (31),.9855,1950,R
405,397.,Quilvio Veras (24),.9855,1995,R
406,407.,Mike Lansing (28),.9854,1996,R
407,407.,Danny O'Connell (27),.9854,1956,R
408,407.,Red Schoendienst+ (32),.9854,1955,R
409,407.,Eddie Stanky (31),.9854,1947,R
410,411.,Jerry Browne (24),.9853,1990,R
411,411.,Tommy Helms (33),.9853,1974,R
412,411.,Fred Manrique (26),.9853,1988,R
413,411.,Ken Oberkfell (23),.9853,1979,R
414,411.,Ryne Sandberg+ (27),.9853,1987,R
415,416.,Roberto Alomar+ (35),.9852,2003,R
416,416.,Frank Bolling (32),.9852,1964,R
417,416.,Glenn Hubbard (25),.9852,1983,R
418,416.,Bill Mazeroski+ (25),.9852,1962,R
419,416.,Marty Perez (29),.9852,1975,R
420,416.,Chuck Schilling (24),.9852,1962,R
421,416.,Marco Scutaro (36),.9852,2012,R
422,416.,Jean Segura (26),.9852,2016,R
423,416.,Eric Sogard (27),.9852,2013,R
424,425.,Tony Bernazard (25),.9851,1982,R
425,425.,Logan Forsythe (28),.9851,2015,R
426,425.,Nellie Fox+ (32),.9851,1960,R
427,425.,Lonny Frey (32),.9851,1943,R
428,425.,Willie Randolph (30),.9851,1985,R
429,425.,Red Schoendienst+ (27),.9851,1950,R
430,425.,Dan Uggla (27),.9851,2007,R
431,425.,Chase Utley (28),.9851,2007,R
432,425.,Neil Walker (26),.9851,2012,R
433,425.,Lou Whitaker (28),.9851,1985,R
434,435.,Roberto Alomar+ (28),.9850,1996,R
435,435.,Craig Biggio+ (33),.9850,1999,R
436,435.,Frank Bolling (26),.9850,1958,R
437,435.,Damion Easley (28),.9850,1998,R
438,435.,Bobby Grich (27),.9850,1976,R
439,435.,Mark McLemore (31),.9850,1996,R
440,435.,Billy Ripken (24),.9850,1989,R
441,435.,Robby Thompson (29),.9850,1991,R
442,435.,Lou Whitaker (32),.9850,1989,R
443,435.,Frank White (33),.9850,1984,R
444,445.,Jim Gantner (33),.9849,1986,R
445,445.,Tom Herr (29),.9849,1985,R
446,445.,Chuck Knoblauch (26),.9849,1995,R
447,445.,Duane Kuiper (27),.9849,1977,R
448,445.,Jerry Lumpe (32),.9849,1965,R
449,445.,Brian Roberts (28),.9849,2006,R
450,445.,Pete Runnels (30),.9849,1958,R
451,452.,Nellie Fox+ (30),.9848,1958,R
452,452.,Jim Gilliam (34),.9848,1963,R
453,452.,Chase Utley (35),.9848,2014,R
454,455.,Sandy Alomar (31),.9847,1975,R
455,455.,Matt Carpenter (27),.9847,2013,R
456,455.,Nellie Fox+ (24),.9847,1952,R
457,455.,Charlie Gehringer+ (32),.9847,1935,R
458,455.,Orlando Hudson (29),.9847,2007,R
459,455.,Chuck Knoblauch (28),.9847,1997,R
460,455.,Vance Law (28),.9847,1985,R
461,455.,Joe Panik (26),.9847,2017,R
462,455.,Chuck Schilling (25),.9847,1963,R
463,455.,Jose Vizcaino (28),.9847,1996,R
464,455.,Lou Whitaker (24),.9847,1981,R
465,455.,Frank White (38),.9847,1989,R
466,455.,Eric Young Sr. (29),.9847,1996,R
467,468.,Jim Gantner (31),.9846,1984,R
468,468.,Billy Martin (25),.9846,1953,R
469,468.,Mickey Morandini (28),.9846,1994,R
470,468.,Willie Randolph (24),.9846,1979,R
471,468.,Manny Trillo (28),.9846,1979,R
472,468.,Lou Whitaker (23),.9846,1980,R
473,474.,Ozzie Albies (21),.9845,2018,R
474,474.,Roberto Alomar+ (30),.9845,1998,R
475,474.,Homer Bush (26),.9845,1999,R
476,474.,Billy Gardner (30),.9845,1958,R
477,474.,Ian Kinsler (27),.9845,2009,R
478,474.,Davey Lopes (28),.9845,1973,R
479,474.,Gil McDougald (27),.9845,1955,R
480,474.,Daniel Murphy (32),.9845,2017,R
481,474.,Chase Utley (30),.9845,2009,R
482,474.,Lou Whitaker (29),.9845,1986,R
483,484.,Craig Biggio+ (26),.9844,1992,R
484,484.,Don Blasingame (25),.9844,1957,R
485,484.,Jim Gantner (30),.9844,1983,R
486,484.,Orlando Hudson (28),.9844,2006,R
487,484.,Billy Martin (24),.9844,1952,R
488,484.,Bobby Richardson (27),.9844,1963,R
489,484.,Red Schoendienst+ (23),.9844,1946,R
490,484.,Lou Whitaker (35),.9844,1992,R
491,492.,Robinson Cano (23),.9843,2006,R
492,492.,Robinson Cano (24),.9843,2007,R
493,492.,Adam Kennedy (30),.9843,2006,R
494,492.,Aaron Miles (27),.9843,2004,R
495,492.,Dave Nelson (29),.9843,1973,R
496,492.,Jorge Orta (27),.9843,1978,R
497,492.,Brandon Phillips (36),.9843,2017,R
498,492.,Ryne Sandberg+ (37),.9843,1997,R
499,492.,Lou Whitaker (31),.9843,1988,R
