,Rank,Player (age that year),SB %,Year,Bats
55,55.,Gregor Blanco (33),93.750,2017,L
56,55.,Xander Bogaerts (24),93.750,2017,R
57,55.,Michael Brantley (28),93.750,2015,L
58,55.,Shin-Soo Choo (36),93.750,2019,L
59,55.,Tommy Edman (24),93.750,2019,B
60,55.,Jeffrey Hammonds (26),93.750,1997,R
61,55.,Jeff King (31),93.750,1996,R
62,55.,Jose Lind (25),93.750,1989,R
63,55.,Paul O'Neill (35),93.750,1998,L
64,55.,Gerardo Parra (24),93.750,2011,L
65,55.,Jose Reyes (31),93.750,2014,B
66,55.,Bobby Richardson (27),93.750,1963,R
67,55.,Luis Rivas (24),93.750,2004,R
68,55.,Alfonso Soriano (29),93.750,2005,R
69,55.,Chris Stynes (25),93.750,1998,R
70,55.,Chico Walker (34),93.750,1992,B
71,55.,Al Weis (25),93.750,1963,B
72,55.,Christian Yelich (27),93.750,2019,L
73,74.,Carlos Beltran (27),93.333,2004,B
74,74.,Matt Holliday (28),93.333,2008,R
75,76.,Bob Dernier (29),93.103,1986,R
76,76.,Miguel Dilone (29),93.103,1984,B
77,78.,Lorenzo Cain (31),92.857,2017,R
78,78.,Jacoby Ellsbury (29),92.857,2013,L
79,78.,Kirk Gibson (33),92.857,1990,L
80,78.,Ian Kinsler (26),92.857,2008,R
81,78.,Barry Larkin+ (30),92.857,1994,R
82,83.,Dave Roberts (32),92.683,2004,L
83,84.,Rafael Furcal (25),92.593,2003,B
84,84.,Chris Getz (25),92.593,2009,L
85,84.,Brandon Phillips (25),92.593,2006,R
86,84.,Rickie Weeks (24),92.593,2007,R
87,84.,Randy Winn (34),92.593,2008,B
88,89.,Don Baylor (23),92.308,1972,R
89,89.,Orlando Cabrera (28),92.308,2003,R
90,89.,Tony Campana (25),92.308,2011,L
91,89.,Toby Harrah (32),92.308,1981,R
92,89.,Oddibe McDowell (24),92.308,1987,L
93,89.,Mike Trout (26),92.308,2018,R
94,95.,Davey Lopes (40),92.157,1985,R
95,96.,Eric Davis (26),92.105,1988,R
96,97.,Carlos Beltran (30),92.000,2007,B
97,97.,Mike Cameron (24),92.000,1997,R
98,97.,Cesar Cedeno (27),92.000,1978,R
99,97.,Henry Cotto (31),92.000,1992,R
100,97.,Delino DeShields (32),92.000,2001,L
101,97.,Ian Kinsler (25),92.000,2007,R
102,103.,Bobby Bonds (23),91.837,1969,R
103,103.,Davey Lopes (33),91.837,1978,R
104,105.,Dale Berra (24),91.667,1981,R
105,105.,Everth Cabrera (25),91.667,2012,B
106,105.,Marquis Grissom (23),91.667,1990,R
107,105.,Elliot Johnson (29),91.667,2013,B
108,105.,Davey Lopes (34),91.667,1979,R
109,105.,Dave Winfield+ (29),91.667,1981,R
110,111.,Ichiro Suzuki (34),91.489,2008,L
111,111.,Jim Wynn (23),91.489,1965,R
112,113.,Larry Bowa (31),91.429,1977,B
113,113.,Coco Crisp (30),91.429,2010,B
114,113.,Derek Jeter+ (28),91.429,2002,R
115,116.,Rich Amaral (33),91.304,1995,R
116,116.,Orlando Cabrera (30),91.304,2005,R
117,116.,Shin-Soo Choo (26),91.304,2009,L
118,116.,Chris Owings (24),91.304,2016,R
119,116.,Ryne Sandberg+ (27),91.304,1987,R
120,116.,Alan Trammell+ (29),91.304,1987,R
121,122.,Jerry Mumphrey (27),91.228,1980,B
122,123.,Tom Herr (29),91.176,1985,B
123,124.,Carlos Beltran (26),91.111,2003,B
124,125.,Barry Larkin+ (31),91.071,1995,R
125,126.,Roberto Alomar+ (27),90.909,1995,B
126,126.,Emilio Bonifacio (27),90.909,2012,B
127,126.,Tony Campana (26),90.909,2012,L
128,126.,Lew Ford (27),90.909,2004,R
129,126.,Craig Gentry (30),90.909,2014,R
130,126.,Trent Grisham (23),90.909,2020,L
131,126.,Davey Lopes (36),90.909,1981,R
132,126.,Tim Raines+ (27),90.909,1987,B
133,126.,Bip Roberts (31),90.909,1995,B
134,126.,Chris Singleton (29),90.909,2002,L
135,136.,Mike Trout (20),90.741,2012,R
136,137.,Roberto Alomar+ (32),90.698,2000,B
137,137.,Craig Biggio+ (28),90.698,1994,R
138,137.,Coco Crisp (32),90.698,2012,B
139,140.,Willy Taveras (26),90.667,2008,R
140,141.,Derek Bell (27),90.625,1996,R
141,141.,Pokey Reese (27),90.625,2000,R
142,143.,Doug Glanville (31),90.476,2002,R
143,143.,Dick Howser (26),90.476,1962,R
144,143.,Carlos Lee (30),90.476,2006,R
145,143.,Jose Reyes (21),90.476,2004,B
146,143.,Jose Valentin (30),90.476,2000,B
147,148.,Willie Wilson (28),90.385,1984,B
148,149.,Bake McBride (29),90.323,1978,L
149,150.,Shane Victorino (26),90.244,2007,R
150,150.,Devon White (29),90.244,1992,B
151,152.,Orlando Cabrera (31),90.000,2006,R
152,152.,Henry Cotto (27),90.000,1988,R
153,152.,Johnny Damon (33),90.000,2007,L
154,152.,Brian Dozier (29),90.000,2016,R
155,152.,David Hulse (26),90.000,1994,L
156,152.,Derek Jeter+ (27),90.000,2001,R
157,152.,Willie Mays+ (31),90.000,1962,R
158,152.,Joe Morgan+ (39),90.000,1983,L
159,152.,Jim Rivera (35),90.000,1957,L
160,152.,Jimmy Rollins (27),90.000,2006,B
161,152.,Larry Walker+ (29),90.000,1996,L
162,163.,Mookie Betts (24),89.655,2017,R
163,163.,Jarrod Dyson (30),89.655,2015,L
164,163.,Barry Larkin+ (34),89.655,1998,R
165,163.,Will Venable (28),89.655,2011,L
166,167.,Tony Womack (27),89.552,1997,L
167,168.,Jim Busby (27),89.474,1954,R
168,168.,Luis Castillo (32),89.474,2008,B
169,168.,Carlton Fisk+ (34),89.474,1982,R
170,168.,Lou Frazier (28),89.474,1993,B
171,168.,Toby Harrah (31),89.474,1980,R
172,168.,Maicer Izturis (31),89.474,2012,B
173,168.,Alex Johnson (27),89.474,1970,R
174,168.,Drew Stubbs (28),89.474,2013,R
175,168.,Devon White (30),89.474,1993,B
176,177.,Mitchell Page (25),89.362,1977,L
177,178.,Carlos Beltran (31),89.286,2008,B
178,178.,Eric Byrnes (30),89.286,2006,R
179,178.,Eric Davis (25),89.286,1987,R
180,178.,Franklin Gutierrez (27),89.286,2010,R
181,178.,Tommy Harper (30),89.286,1971,R
182,178.,Stan Javier (33),89.286,1997,B
183,178.,Chipper Jones+ (27),89.286,1999,B
184,178.,Rick Manning (26),89.286,1981,L
185,186.,Dave Roberts (34),89.091,2006,L
186,187.,Bobby Abreu (30),88.889,2004,L
187,187.,Ronald Acuna Jr. (22),88.889,2020,R
188,187.,Moises Alou (25),88.889,1992,R
189,187.,Dusty Baker (24),88.889,1973,R
190,187.,Alan Bannister (29),88.889,1981,R
191,187.,Roger Bernadina (26),88.889,2010,L
192,187.,Craig Biggio+ (36),88.889,2002,R
193,187.,Andre Dawson+ (35),88.889,1990,R
194,187.,Mike Felder (24),88.889,1986,B
195,187.,Cliff Floyd (27),88.889,2000,L
196,187.,Brett Gardner (34),88.889,2018,L
197,187.,Craig Gentry (29),88.889,2013,R
198,187.,Andres Gimenez (21),88.889,2020,L
199,187.,Carlos Gomez (25),88.889,2011,R
200,187.,Tom Goodwin (33),88.889,2002,L
201,187.,Robbie Grossman (30),88.889,2020,B
202,187.,Tommy Harper (23),88.889,1964,R
203,187.,Rickey Henderson+ (26),88.889,1985,R
204,187.,Enzo Hernandez (23),88.889,1972,R
205,187.,Pat Kelly (35),88.889,1980,L
206,187.,Kevin Kiermaier (30),88.889,2020,L
207,187.,Lee Lacy (33),88.889,1981,R
208,187.,Kazuo Matsui (31),88.889,2007,B
209,187.,Eric Owens (25),88.889,1996,R
210,187.,Albert Pujols (25),88.889,2005,R
211,187.,Edgar Renteria (19),88.889,1996,R
212,187.,Jimmy Sexton (26),88.889,1978,R
213,187.,Austin Slater (27),88.889,2020,R
214,187.,Tony Tarasco (24),88.889,1995,L
215,187.,Mike Trout (22),88.889,2014,R
216,187.,Kyle Tucker (23),88.889,2020,L
217,187.,Maury Wills (29),88.889,1962,B
218,187.,Randy Winn (35),88.889,2009,B
219,187.,Jake Wood (25),88.889,1962,R
220,187.,Christian Yelich (25),88.889,2017,L
221,187.,Ben Zobrist (29),88.889,2010,B
222,223.,Willie Wilson (24),88.764,1980,B
223,224.,Jacoby Ellsbury (30),88.636,2014,L
224,225.,Tim Raines+ (25),88.608,1985,B
225,225.,Tim Raines+ (26),88.608,1986,B
226,227.,Bert Campaneris (27),88.571,1969,R
227,227.,Kirk Gibson (31),88.571,1988,L
228,227.,Gary Redus (31),88.571,1988,R
229,230.,Eric Young Sr. (33),88.525,2000,R
230,231.,Jason Bartlett (27),88.462,2007,R
231,231.,Aaron Boone (30),88.462,2003,R
232,231.,Royce Clayton (24),88.462,1994,R
233,231.,Mariano Duncan (29),88.462,1992,R
234,231.,Darin Erstad (28),88.462,2002,L
235,231.,Jason Heyward (25),88.462,2015,L
236,231.,DJ LeMahieu (26),88.462,2015,R
237,231.,Willie Mays+ (40),88.462,1971,R
238,231.,Nate McLouth (26),88.462,2008,L
239,231.,Daniel Murphy (28),88.462,2013,L
240,231.,Brandon Phillips (34),88.462,2015,R
241,242.,Vince Coleman (24),88.430,1986,B
242,243.,Grady Sizemore (25),88.372,2008,L
243,244.,Dick Allen (23),88.235,1965,R
244,244.,Brady Anderson (26),88.235,1990,L
245,244.,Marty Barrett (29),88.235,1987,R
246,244.,Barry Bonds (34),88.235,1999,L
247,244.,Kal Daniels (22),88.235,1986,L
248,244.,Rajai Davis (32),88.235,2013,R
249,244.,Ray Durham (24),88.235,1996,B
250,244.,Lenny Dykstra (22),88.235,1985,L
251,244.,Jarrod Dyson (34),88.235,2019,L
252,244.,Chris Getz (26),88.235,2010,L
253,244.,Kirk Gibson (28),88.235,1985,L
254,244.,Damian Jackson (31),88.235,2005,R
255,244.,Ian Kinsler (29),88.235,2011,R
256,244.,Gary Matthews (30),88.235,1981,R
257,244.,Eddie Miller (22),88.235,1979,B
258,244.,Dale Murphy (27),88.235,1983,R
259,244.,Brandon Phillips (31),88.235,2012,R
260,244.,Tim Raines+ (24),88.235,1984,B
261,244.,Tim Raines+ (32),88.235,1992,B
262,244.,Willie Randolph (31),88.235,1986,R
263,244.,R.J. Reynolds (29),88.235,1988,B
264,244.,John Shelby (25),88.235,1983,B
265,244.,Greg Vaughn (33),88.235,1999,R
266,244.,Max Venable (26),88.235,1983,L
267,244.,Rickie Weeks (22),88.235,2005,R
268,269.,Willie Wilson (27),88.060,1983,B
269,270.,Bobby Bonds (26),88.000,1972,R
270,270.,Bill Doran (31),88.000,1989,B
271,270.,Jacoby Ellsbury (33),88.000,2017,L
272,270.,Jason Kendall (25),88.000,1999,R
273,270.,Jason Kipnis (27),88.000,2014,L
274,270.,Kenny Lofton (38),88.000,2005,L
275,270.,Paul O'Neill (38),88.000,2001,L
276,270.,Rafael Palmeiro (28),88.000,1993,L
277,270.,Hunter Pence (30),88.000,2013,R
278,270.,Frank Robinson+ (25),88.000,1961,R
279,280.,Eric Davis (24),87.912,1986,R
280,281.,David Eckstein (26),87.879,2001,R
281,281.,Billy Hamilton (25),87.879,2016,B
282,281.,Tony Womack (28),87.879,1998,L
283,284.,Stan Javier (31),87.805,1995,B
284,285.,Rajai Davis (35),87.755,2016,R
285,286.,Rickey Henderson+ (29),87.736,1988,R
286,287.,Eric Byrnes (31),87.719,2007,R
287,287.,Larry Lintz (24),87.719,1974,B
288,287.,Brian Roberts (29),87.719,2007,B
289,290.,Billy Hamilton (24),87.692,2015,B
290,291.,Hank Aaron+ (32),87.500,1966,R
291,291.,Adrian Beltre (28),87.500,2007,R
292,291.,Andrew Benintendi (23),87.500,2018,L
293,291.,Craig Biggio+ (23),87.500,1989,R
294,291.,Don Blasingame (28),87.500,1960,L
295,291.,Barry Bonnell (28),87.500,1982,R
296,291.,Gene Clines (27),87.500,1974,R
297,291.,Henry Cotto (29),87.500,1990,R
298,291.,Eric Davis (28),87.500,1990,R
299,291.,Eric Davis (29),87.500,1991,R
300,291.,Willie Davis (36),87.500,1976,L
301,291.,Mark Ellis (31),87.500,2008,R
302,291.,Alcides Escobar (25),87.500,2012,R
303,291.,Julio Franco (30),87.500,1989,R
304,291.,Carlos Gonzalez (27),87.500,2013,L
305,291.,Niko Goodrum (28),87.500,2020,B
306,291.,Kelly Gruber (28),87.500,1990,R
307,291.,Tadahito Iguchi (32),87.500,2007,R
308,291.,Stan Javier (32),87.500,1996,B
309,291.,Sam Jethroe (34),87.500,1951,B
310,291.,Kelly Johnson (30),87.500,2012,L
311,291.,Adam Kennedy (34),87.500,2010,L
312,291.,Kevin Kiermaier (26),87.500,2016,L
313,291.,Manny Machado (25),87.500,2018,R
314,291.,Mickey Mantle+ (27),87.500,1959,B
315,291.,Eli Marrero (28),87.500,2002,R
316,291.,Darin Mastroianni (26),87.500,2012,R
317,291.,Lee Maye (28),87.500,1963,L
318,291.,Oddibe McDowell (31),87.500,1994,L
319,291.,David Murphy (28),87.500,2010,L
320,291.,Shohei Ohtani (25),87.500,2020,L
321,291.,Placido Polanco (27),87.500,2003,R
322,291.,Jurickson Profar (27),87.500,2020,B
323,291.,Jim Rivera (36),87.500,1958,L
324,291.,Alex Rodriguez (28),87.500,2004,R
325,291.,Alex Rodriguez (33),87.500,2009,R
326,291.,Nick Solak (25),87.500,2020,R
327,291.,Shannon Stewart (28),87.500,2002,R
328,291.,Ryan Theriot (27),87.500,2007,R
329,291.,Milt Thompson (25),87.500,1984,L
330,291.,Trea Turner (26),87.500,2019,R
331,291.,Chase Utley (29),87.500,2008,L
332,291.,Shane Victorino (32),87.500,2013,R
333,291.,Jonathan Villar (27),87.500,2018,B
334,291.,Leon Wagner (30),87.500,1964,L
335,291.,Mitch Webster (30),87.500,1989,B
336,291.,Eric Young Jr. (27),87.500,2012,B
337,291.,Don Zimmer (27),87.500,1958,R
338,339.,Willie Wilson (23),87.368,1979,B
339,340.,Dave Concepcion (26),87.234,1974,R
340,340.,Willie McGee (29),87.234,1988,B
341,340.,Jimmy Rollins (26),87.234,2005,B
342,340.,Jimmy Rollins (28),87.234,2007,B
343,344.,Mike Cameron (28),87.179,2001,R
344,344.,Derek Jeter+ (32),87.179,2006,R
345,344.,David Wright (24),87.179,2007,R
346,347.,Mike Davis (27),87.097,1986,L
347,347.,Andruw Jones (21),87.097,1998,R
348,347.,Mike Lansing (27),87.097,1995,R
349,347.,Willie Mays+ (28),87.097,1959,R
350,347.,Raul Mondesi (24),87.097,1995,R
351,347.,Eric Young Jr. (26),87.097,2011,B
352,353.,Joe Morgan+ (31),87.013,1975,L
353,354.,Sandy Alomar (25),86.957,1969,B
354,354.,Luis Aparicio+ (29),86.957,1963,R
355,354.,Bob Bailor (30),86.957,1982,R
356,354.,Willie Davis (32),86.957,1972,L
357,354.,Ken Henderson (24),86.957,1970,B
358,354.,Brian Hunter (29),86.957,2000,R
359,354.,Lance Johnson (31),86.957,1995,L
360,354.,Al Martin (30),86.957,1998,L
361,354.,Al Martin (31),86.957,1999,L
362,354.,Joe Morgan+ (32),86.957,1976,L
363,354.,Drew Stubbs (29),86.957,2014,R
364,354.,Jayson Werth (30),86.957,2009,R
365,366.,Rickey Henderson+ (34),86.885,1993,R
366,367.,Miguel Dilone (27),86.842,1982,B
367,367.,Lenny Dykstra (27),86.842,1990,L
368,369.,Mookie Betts (23),86.667,2016,R
369,369.,Vince Coleman (27),86.667,1989,B
370,369.,Andre Dawson+ (26),86.667,1981,R
371,369.,Rickey Henderson+ (31),86.667,1990,R
372,369.,Matt Lawton (27),86.667,1999,L
373,369.,Amos Otis (24),86.667,1971,R
374,369.,Tim Raines+ (35),86.667,1995,B
375,369.,Denard Span (26),86.667,2010,L
376,369.,Shane Victorino (31),86.667,2012,R
377,378.,Tim Raines+ (21),86.585,1981,B
378,379.,Carl Crawford (24),86.567,2006,L
379,380.,Julio Cruz (25),86.538,1980,B
380,380.,Tim Raines+ (23),86.538,1983,B
381,382.,Rudy Law (26),86.517,1983,L
382,382.,Davey Lopes (30),86.517,1975,R
383,384.,Jose Cruz (27),86.486,2001,B
384,384.,Paul Goldschmidt (28),86.486,2016,R
385,384.,Kenny Lofton (39),86.486,2006,L
386,387.,Luis Aparicio+ (26),86.441,1960,R
387,388.,Marlon Anderson (29),86.364,2003,L
388,388.,Cesar Cedeno (33),86.364,1984,R
389,388.,J.D. Drew (23),86.364,1999,L
390,388.,Orlando Hudson (33),86.364,2011,B
391,388.,Ender Inciarte (23),86.364,2014,L
392,388.,Chuck Knoblauch (33),86.364,2002,R
393,388.,Kazuo Matsui (33),86.364,2009,B
394,388.,Dick Schofield (24),86.364,1987,R
395,388.,Ozzie Smith+ (33),86.364,1988,B
396,388.,Alfonso Soriano (32),86.364,2008,R
397,388.,Shane Victorino (30),86.364,2011,R
398,388.,Jayson Werth (32),86.364,2011,R
399,388.,Robin Yount+ (33),86.364,1989,R
400,401.,Davey Lopes (31),86.301,1976,R
401,402.,Craig Biggio+ (32),86.207,1998,R
402,402.,Roger Cedeno (27),86.207,2002,B
403,402.,Vince Coleman (32),86.207,1994,B
404,402.,Garry Maddox (25),86.207,1975,R
405,402.,Tommy Pham (31),86.207,2019,R
406,402.,Kevin Pillar (26),86.207,2015,R
407,402.,Pokey Reese (28),86.207,2001,R
408,409.,Jose Altuve (24),86.154,2014,R
409,409.,Gary Pettis (27),86.154,1985,B
410,411.,Hank Aaron+ (29),86.111,1963,R
411,411.,Ian Kinsler (27),86.111,2009,R
412,411.,Chuck Knoblauch (28),86.111,1997,R
413,411.,Dave Roberts (35),86.111,2007,L
414,415.,Roberto Alomar+ (31),86.047,1999,B
415,415.,Carlos Gomez (26),86.047,2012,R
416,417.,Adalberto Mondesi (23),86.000,2019,B
417,417.,Mickey Rivers (27),86.000,1976,L
418,419.,Ben Revere (26),85.965,2014,L
419,420.,Hank Aaron+ (31),85.714,1965,R
420,420.,Luis Aparicio+ (35),85.714,1969,R
421,420.,Bob Bailor (31),85.714,1983,R
422,420.,Cody Bellinger (24),85.714,2020,L
423,420.,Carlos Beltran (29),85.714,2006,B
424,420.,Ryan Braun (31),85.714,2015,R
425,420.,Jose Cardenal (25),85.714,1969,R
426,420.,Johnny Damon (25),85.714,1999,L
427,420.,Jeff DaVanon (30),85.714,2004,B
428,420.,Lenny Dykstra (28),85.714,1991,L
429,420.,Lenny Dykstra (29),85.714,1992,L
430,420.,Jarrod Dyson (27),85.714,2012,L
431,420.,Cliff Floyd (28),85.714,2001,L
432,420.,Jim Gantner (37),85.714,1990,L
433,420.,Paul Goldschmidt (24),85.714,2012,R
434,420.,Carlos Gomez (24),85.714,2010,R
435,420.,Marquis Grissom (25),85.714,1992,R
436,420.,Marquis Grissom (27),85.714,1994,R
437,420.,Garrett Hampson (25),85.714,2020,R
438,420.,Ken Henderson (25),85.714,1971,B
439,420.,Teoscar Hernandez (27),85.714,2020,R
440,420.,Stan Javier (28),85.714,1992,B
441,420.,Derek Jeter+ (35),85.714,2009,R
442,420.,Barry Larkin+ (26),85.714,1990,R
443,420.,Mickey Mantle+ (26),85.714,1958,B
444,420.,Willie Mays+ (24),85.714,1955,R
445,420.,Andrew McCutchen (27),85.714,2014,R
446,420.,Paul Molitor+ (33),85.714,1990,R
447,420.,Joe Morgan+ (38),85.714,1982,L
448,420.,Amos Otis (32),85.714,1979,R
449,420.,Corey Patterson (22),85.714,2002,L
450,420.,Brett Phillips (26),85.714,2020,L
451,420.,Jose Ramirez (26),85.714,2019,B
452,420.,Willie Randolph (25),85.714,1980,R
453,420.,Pee Wee Reese+ (33),85.714,1952,R
454,420.,Alex Rios (32),85.714,2013,R
455,420.,Phil Rizzuto+ (33),85.714,1951,R
456,420.,Bip Roberts (33),85.714,1997,B
457,420.,Alex Rodriguez (25),85.714,2001,R
458,420.,Alex Rodriguez (31),85.714,2007,R
459,420.,Alex Rodriguez (32),85.714,2008,R
460,420.,Jimmy Rollins (33),85.714,2012,B
461,420.,Terry Shumpert (27),85.714,1994,R
462,420.,John Stearns (29),85.714,1981,R
463,420.,Devon White (38),85.714,2001,B
464,420.,Kolten Wong (28),85.714,2019,L
465,466.,Julio Cruz (23),85.507,1978,B
466,467.,Billy Hatcher (26),85.484,1987,R
467,468.,Jacoby Ellsbury (25),85.366,2009,L
468,468.,Tommy Harper (24),85.366,1965,R
469,468.,Chuck Knoblauch (25),85.366,1994,R
470,471.,Joe Morgan+ (23),85.294,1967,L
471,471.,Cliff Pennington (26),85.294,2010,B
472,473.,Keon Broxton (26),85.185,2016,R
473,473.,Carl Crawford (23),85.185,2005,L
474,473.,Bud Harrelson (26),85.185,1970,B
475,473.,Derek Jeter+ (30),85.185,2004,R
476,473.,Ryan Klesko (30),85.185,2001,L
477,473.,Dave Martinez (24),85.185,1989,L
478,473.,Jimmy Rollins (22),85.185,2001,B
479,473.,Trea Turner (24),85.185,2017,R
480,473.,Mookie Wilson (34),85.185,1990,B
481,473.,Dave Winfield+ (23),85.185,1975,R
482,483.,Barry Bonds (31),85.106,1996,L
483,483.,Carlos Gomez (27),85.106,2013,R
484,483.,Barry Larkin+ (24),85.106,1988,R
485,483.,Ichiro Suzuki (37),85.106,2011,L
486,483.,U L Washington (29),85.106,1983,B
487,488.,Rickey Henderson+ (24),85.039,1983,R
488,489.,Albert Belle (32),85.000,1999,R
489,489.,Roger Bernadina (27),85.000,2011,L
490,489.,Jon Berti (29),85.000,2019,R
491,489.,Jarrod Dyson (28),85.000,2013,L
492,489.,Steve Finley (24),85.000,1989,L
493,489.,George Foster (27),85.000,1976,R
494,489.,Kirk Gibson (29),85.000,1986,L
495,489.,Toby Harrah (33),85.000,1982,R
496,489.,Chuck Hinton (31),85.000,1965,R
497,489.,Larry Hisle (28),85.000,1975,R
498,489.,Omar Infante (30),85.000,2012,R
499,489.,Reggie Jackson+ (31),85.000,1977,L
500,489.,Spook Jacobs (28),85.000,1954,R
501,489.,Travis Lee (24),85.000,1999,L
502,489.,Jose Ramirez (25),85.000,2018,B
503,489.,Gary Redus (34),85.000,1991,R
504,489.,Anthony Rendon (24),85.000,2014,R
505,489.,Alex Rodriguez (27),85.000,2003,R
506,489.,Fred Valentine (32),85.000,1967,B
507,489.,Andy Van Slyke (24),85.000,1985,L
508,489.,Shane Victorino (29),85.000,2010,R
509,489.,John Wathan (30),85.000,1980,R
510,489.,David Wright (30),85.000,2013,R
