,Rank,Player (age that year),Fielding % as OF,Year,Throws
94,1.,Dave Roberts (34),1.0000,2006,L
95,1.,Victor Robles (23),1.0000,2020,R
96,1.,Gary Roenicke (25),1.0000,1980,R
97,1.,Ken Singleton (34),1.0000,1981,R
98,1.,Juan Soto (21),1.0000,2020,L
99,1.,Denard Span (29),1.0000,2013,L
100,1.,George Springer (30),1.0000,2020,R
101,1.,Mickey Stanley (25),1.0000,1968,R
102,1.,Mickey Stanley (27),1.0000,1970,R
103,1.,B.J. Surhoff (34),1.0000,1999,R
104,1.,Ichiro Suzuki (41),1.0000,2015,R
105,1.,Mike Tauchman (29),1.0000,2020,L
106,1.,Milt Thompson (35),1.0000,1994,R
107,1.,Mike Trout (23),1.0000,2015,R
108,1.,Mike Trout (26),1.0000,2018,R
109,1.,Will Venable (31),1.0000,2014,L
110,1.,Shane Victorino (25),1.0000,2006,R
111,1.,Shane Victorino (30),1.0000,2011,R
112,1.,Vernon Wells (26),1.0000,2005,R
113,1.,Vernon Wells (31),1.0000,2010,R
114,1.,Roy White (27),1.0000,1971,R
115,1.,Rondell White (30),1.0000,2002,R
116,1.,Bernie Williams (31),1.0000,2000,R
117,1.,Randy Winn (35),1.0000,2009,R
118,1.,Carl Yastrzemski+ (37),1.0000,1977,R
119,1.,Christian Yelich (28),1.0000,2020,R
120,1.,Ben Zobrist (29),1.0000,2010,R
121,122.,Brett Butler (28),.9978,1985,L
122,122.,Darin Erstad (28),.9978,2002,L
123,122.,Devon White (28),.9978,1991,R
124,125.,Ichiro Suzuki (33),.9977,2007,R
125,125.,Gerald Young (24),.9977,1989,R
126,127.,Coco Crisp (27),.9976,2007,R
127,127.,Jim Edmonds (25),.9976,1995,L
128,127.,Darin Erstad (27),.9976,2001,L
129,127.,Randy Winn (31),.9976,2005,R
130,131.,Jacoby Ellsbury (30),.9974,2014,L
131,131.,Curtis Granderson (25),.9974,2006,R
132,131.,Nate McLouth (26),.9974,2008,R
133,134.,Johnny Damon (29),.9973,2003,L
134,134.,Ken Griffey Jr.+ (22),.9973,1992,L
135,134.,Dave Henderson (32),.9973,1991,R
136,134.,Jason Heyward (24),.9973,2014,L
137,134.,Ray Lankford (29),.9973,1996,L
138,134.,Andrew McCutchen (25),.9973,2012,R
139,134.,Christian Yelich (25),.9973,2017,R
140,141.,Mookie Betts (23),.9972,2016,R
141,141.,Johnny Damon (28),.9972,2002,L
142,141.,Gabe Kapler (25),.9972,2001,R
143,141.,Bobby Mitchell (27),.9972,1982,L
144,141.,Hunter Pence (25),.9972,2008,R
145,141.,Pete Rose (33),.9972,1974,R
146,141.,Vernon Wells (30),.9972,2009,R
147,141.,Ernie Young (26),.9972,1996,R
148,141.,Robin Yount+ (30),.9972,1986,R
149,150.,Garret Anderson (31),.9971,2003,L
150,150.,Kevin Bass (26),.9971,1985,R
151,150.,Michael Brantley (25),.9971,2012,L
152,150.,Cesar Cedeno (26),.9971,1977,R
153,150.,Hoot Evers (29),.9971,1950,R
154,150.,Alex Gordon (29),.9971,2013,R
155,150.,Shawn Green (26),.9971,1999,L
156,150.,Marquis Grissom (29),.9971,1996,R
157,150.,Austin Jackson (25),.9971,2012,R
158,150.,Jon Jay (28),.9971,2013,L
159,150.,Ichiro Suzuki (27),.9971,2001,R
160,150.,Shane Victorino (28),.9971,2009,R
161,150.,Willie Wilson (31),.9971,1987,R
162,163.,Marvin Benard (29),.9970,2000,L
163,163.,Craig Biggio+ (37),.9970,2003,R
164,163.,Max Kepler (25),.9970,2018,L
165,163.,Corey Patterson (24),.9970,2004,R
166,163.,Tony Scott (28),.9970,1980,R
167,163.,Vernon Wells (25),.9970,2004,R
168,169.,Jackie Bradley Jr. (24),.9969,2014,R
169,169.,Coco Crisp (31),.9969,2011,R
170,169.,Joe DiMaggio+ (32),.9969,1947,R
171,169.,Billy Hatcher (29),.9969,1990,R
172,169.,Johnny Hopp (27),.9969,1944,L
173,169.,Charlie Maxwell (30),.9969,1957,L
174,169.,Nate McLouth (27),.9969,2009,R
175,169.,Kevin Pillar (28),.9969,2017,R
176,169.,Pete Rose (29),.9969,1970,R
177,169.,Andres Torres (32),.9969,2010,R
178,179.,Brady Anderson (35),.9968,1999,L
179,179.,Ken Berry (32),.9968,1973,R
180,179.,Steve Brye (25),.9968,1974,R
181,179.,David DeJesus (28),.9968,2008,L
182,179.,Torii Hunter (33),.9968,2009,R
183,179.,Omar Moreno (28),.9968,1981,L
184,179.,Amos Otis (35),.9968,1982,R
185,179.,Juan Pierre (32),.9968,2010,L
186,179.,Jim Piersall (32),.9968,1962,R
187,179.,Cody Ross (27),.9968,2008,L
188,179.,Cory Snyder (26),.9968,1989,R
189,190.,Brady Anderson (36),.9967,2000,L
190,190.,Jay Buhner (32),.9967,1997,R
191,190.,Eric Byrnes (30),.9967,2006,R
192,190.,Milt Byrnes (26),.9967,1943,L
193,190.,George Foster (31),.9967,1980,R
194,190.,Jeff Francoeur (25),.9967,2009,R
195,190.,Brett Gardner (26),.9967,2010,L
196,190.,Carlos Gomez (23),.9967,2009,R
197,190.,Darryl Hamilton (33),.9967,1998,R
198,190.,Nick Markakis (31),.9967,2015,L
199,190.,Paul O'Neill (29),.9967,1992,L
200,190.,Ichiro Suzuki (38),.9967,2012,R
201,190.,Robin Yount+ (37),.9967,1993,R
202,203.,Charlie Blackmon (31),.9966,2018,L
203,203.,Mike Cameron (35),.9966,2008,R
204,203.,Harry Craft (25),.9966,1940,R
205,203.,Steve Finley (41),.9966,2006,L
206,203.,Torii Hunter (23),.9966,1999,R
207,203.,JaCoby Jones (26),.9966,2018,R
208,203.,Nick Markakis (33),.9966,2017,L
209,203.,Joe Orsulak (29),.9966,1991,L
210,203.,Denard Span (32),.9966,2016,L
211,203.,Roy White (24),.9966,1968,R
212,203.,Bernie Williams (34),.9966,2003,R
213,214.,Gus Bell (30),.9965,1959,R
214,214.,Michael Brantley (27),.9965,2014,L
215,214.,Johnny Cooney (40),.9965,1941,L
216,214.,Jim Edmonds (26),.9965,1996,L
217,214.,Brett Gardner (35),.9965,2019,L
218,214.,Lee Lacy (36),.9965,1984,R
219,214.,Nick Swisher (30),.9965,2011,L
220,214.,Ted Uhlaender (29),.9965,1969,R
221,214.,Andy Van Slyke (30),.9965,1991,R
222,223.,Mookie Betts (25),.9964,2018,R
223,223.,Michael Bourn (32),.9964,2015,R
224,223.,Ken Boyer (26),.9964,1957,R
225,223.,Lenny Dykstra (25),.9964,1988,L
226,223.,Alex Gordon (35),.9964,2019,R
227,223.,Rick Monday (26),.9964,1972,L
228,223.,Marcell Ozuna (24),.9964,2015,R
229,223.,Derrel Thomas (28),.9964,1979,R
230,231.,Ryan Braun (27),.9963,2011,R
231,231.,Jermaine Dye (34),.9963,2008,R
232,231.,Jim Eisenreich (31),.9963,1990,L
233,231.,Carlos Gonzalez (24),.9963,2010,L
234,231.,Sid Gordon (34),.9963,1952,R
235,231.,Dion James (24),.9963,1987,L
236,231.,Geoff Jenkins (29),.9963,2004,R
237,231.,Brian Jordan (28),.9963,1995,R
238,231.,Tom Tresh (25),.9963,1964,R
239,240.,Phil Bradley (27),.9962,1986,R
240,240.,Corey Dickerson (29),.9962,2018,R
241,240.,Luis Gonzalez (38),.9962,2006,R
242,240.,Tommy Harper (25),.9962,1966,R
243,240.,Charlie Maxwell (33),.9962,1960,L
244,240.,Magglio Ordonez (33),.9962,2007,R
245,240.,Dan Pasqua (26),.9962,1988,L
246,240.,Jay Payton (29),.9962,2002,R
247,240.,Hunter Pence (34),.9962,2017,R
248,240.,Yasiel Puig (26),.9962,2017,R
249,240.,Tim Raines+ (29),.9962,1989,R
250,240.,Michael Saunders (26),.9962,2013,R
251,240.,Alfonso Soriano (36),.9962,2012,R
252,240.,George Springer (28),.9962,2018,R
253,240.,Ted Uhlaender (27),.9962,1967,R
254,255.,Rick Ankiel (31),.9961,2011,L
255,255.,Carlos Lee (26),.9961,2002,R
256,255.,Roger Maris (29),.9961,1964,R
257,255.,Gary Matthews (28),.9961,2003,R
258,255.,Nate McLouth (31),.9961,2013,R
259,255.,Matt Mieske (28),.9961,1996,R
260,255.,Brandon Nimmo (25),.9961,2018,R
261,255.,Joe Rudi (24),.9961,1971,R
262,255.,Gene Woodling (29),.9961,1952,R
263,264.,Brady Anderson (30),.9960,1994,L
264,264.,Tony Gonzalez (27),.9960,1964,R
265,264.,Monte Irvin+ (32),.9960,1951,R
266,264.,Trot Nixon (31),.9960,2005,L
267,264.,Al Pilarcik (26),.9960,1957,L
268,264.,Harold Ramirez (24),.9960,2019,R
269,264.,George Springer (27),.9960,2017,R
270,264.,Ryan Sweeney (23),.9960,2008,L
271,264.,Andy Van Slyke (24),.9960,1985,R
272,264.,Gene Woodling (30),.9960,1953,R
273,274.,Gus Bell (29),.9959,1958,R
274,274.,Carlos Beltran (34),.9959,2011,R
275,274.,Dexter Fowler (24),.9959,2010,R
276,274.,Randal Grichuk (24),.9959,2016,R
277,274.,Bake McBride (29),.9959,1978,R
278,274.,Dick Porter (31),.9959,1933,R
279,280.,Kole Calhoun (26),.9958,2014,L
280,280.,J.D. Drew (34),.9958,2010,R
281,280.,Randal Grichuk (26),.9958,2018,R
282,280.,Darryl Hamilton (26),.9958,1991,R
283,280.,Danny Litwhiler (26),.9958,1943,R
284,280.,Mickey Rivers (32),.9958,1981,L
285,280.,Babe Ruth+ (24),.9958,1919,L
286,280.,Reggie Sanders (33),.9958,2001,R
287,280.,Enos Slaughter+ (37),.9958,1953,R
288,280.,Michael A. Taylor (27),.9958,2018,R
289,290.,David DeJesus (33),.9957,2013,L
290,290.,Andre Ethier (28),.9957,2010,L
291,290.,Carlos Gonzalez (25),.9957,2011,L
292,290.,Laynce Nix (23),.9957,2004,L
293,290.,AJ Pollock (30),.9957,2018,R
294,290.,Alex Rios (25),.9957,2006,R
295,290.,Cory Sullivan (26),.9957,2006,L
296,297.,Gregor Blanco (30),.9956,2014,L
297,297.,Darren Bragg (28),.9956,1998,R
298,297.,Michael Brantley (31),.9956,2018,L
299,297.,Jim Delsing (28),.9956,1954,R
300,297.,Jim Eisenreich (34),.9956,1993,L
301,297.,Dexter Fowler (31),.9956,2017,R
302,297.,Darrin Jackson (28),.9956,1992,R
303,297.,Darrin Jackson (30),.9956,1994,R
304,297.,Reed Johnson (29),.9956,2006,R
305,297.,Sam Mele (31),.9956,1953,R
306,297.,Tommy Pham (29),.9956,2017,R
307,297.,Kevin Pillar (26),.9956,2015,R
308,297.,Vada Pinson (30),.9956,1969,L
309,297.,Seth Smith (31),.9956,2014,L
310,297.,Robin Yount+ (32),.9956,1988,R
311,312.,Travis Jankowski (25),.9955,2016,R
312,312.,Andruw Jones (23),.9955,2000,R
313,312.,Ray Lankford (25),.9955,1992,L
314,312.,Ryan Ludwick (30),.9955,2009,L
315,312.,Garry Maddox (29),.9955,1979,R
316,312.,Kevin Mench (26),.9955,2004,R
317,312.,AJ Pollock (29),.9955,2017,R
318,312.,Henry Rodriguez (30),.9955,1998,L
319,312.,Sam West (23),.9955,1928,L
320,321.,Richard Hidalgo (27),.9954,2002,R
321,321.,Lance Johnson (27),.9954,1991,L
322,321.,Andruw Jones (21),.9954,1998,R
323,321.,Chet Lemon (29),.9954,1984,R
324,321.,David Murphy (28),.9954,2010,L
325,321.,Trot Nixon (32),.9954,2006,L
326,321.,Ted Williams+ (38),.9954,1957,R
327,328.,Khris Davis (29),.9953,2017,R
328,328.,Larry Doby+ (30),.9953,1954,R
329,328.,Matt Holliday (33),.9953,2013,R
330,328.,Raul Ibanez (39),.9953,2011,R
331,328.,Paul O'Neill (31),.9953,1994,L
332,328.,Gene Woodling (32),.9953,1955,R
333,334.,Mike Devereaux (31),.9952,1994,R
334,334.,Wally Judnich (30),.9952,1946,L
335,334.,John Mayberry (29),.9952,2013,R
336,334.,Roger Repoz (29),.9952,1970,L
337,334.,Cody Ross (31),.9952,2012,L
338,334.,Enos Slaughter+ (35),.9952,1951,R
339,334.,Jayson Werth (37),.9952,2016,R
340,334.,Gene Woodling (37),.9952,1960,R
341,342.,Peter Bourjos (29),.9951,2016,R
342,342.,Brady Clark (32),.9951,2005,R
343,342.,Jeremy Hermida (25),.9951,2009,R
344,342.,Jim Holt (26),.9951,1970,R
345,342.,Gary Roenicke (29),.9951,1984,R
346,342.,Aaron Rowand (29),.9951,2007,R
347,342.,Grady Sizemore (24),.9951,2007,L
348,349.,Steve Finley (34),.9950,1999,L
349,349.,Gregg Jefferies (30),.9950,1998,R
350,349.,Andruw Jones (30),.9950,2007,R
351,349.,Jason Kubel (30),.9950,2012,R
352,349.,Ryan Langerhans (26),.9950,2006,L
353,349.,David Murphy (30),.9950,2012,L
354,349.,Michael Tucker (27),.9950,1998,R
355,356.,Jim Busby (31),.9949,1958,R
356,356.,Kosuke Fukudome (33),.9949,2010,R
357,356.,Luis Gonzalez (39),.9949,2007,R
358,356.,Torii Hunter (31),.9949,2007,R
359,356.,Austin Kearns (27),.9949,2007,R
360,356.,Matt Kemp (24),.9949,2009,R
361,356.,Ryan Langerhans (25),.9949,2005,L
362,356.,Jake Marisnick (28),.9949,2019,R
363,356.,Nick Markakis (35),.9949,2019,L
364,356.,Xavier Nady (28),.9949,2007,R
365,356.,Amos Otis (31),.9949,1978,R
366,356.,Ichiro Suzuki (31),.9949,2005,R
367,368.,Nori Aoki (34),.9948,2016,R
368,368.,Michael Bourn (29),.9948,2012,R
369,368.,Andruw Jones (29),.9948,2006,R
370,368.,Carlos Lee (32),.9948,2008,R
371,368.,Rick Manning (23),.9948,1978,R
372,368.,Mickey Mantle+ (23),.9948,1955,R
373,368.,Andy Pafko (24),.9948,1945,R
374,368.,Corey Patterson (31),.9948,2011,R
375,368.,Cody Ross (30),.9948,2011,L
376,368.,Grady Sizemore (25),.9948,2008,L
377,368.,Ichiro Suzuki (40),.9948,2014,R
378,368.,Willie Wilson (29),.9948,1985,R
379,380.,Endy Chavez (30),.9947,2008,L
380,380.,Doug Glanville (27),.9947,1998,R
381,380.,Aaron Hicks (26),.9947,2016,R
382,380.,Andruw Jones (28),.9947,2005,R
383,380.,Mickey Mantle+ (27),.9947,1959,R
384,380.,Jerry Mumphrey (25),.9947,1978,R
385,380.,Bill Voss (25),.9947,1969,L
386,380.,Robin Yount+ (36),.9947,1992,R
387,388.,Carlos Beltran (29),.9946,2006,R
388,388.,Lenny Green (29),.9946,1962,L
389,388.,Juan Pierre (24),.9946,2002,L
390,388.,Juan Pierre (26),.9946,2004,L
391,388.,Kyle Schwarber (25),.9946,2018,R
392,388.,Shane Victorino (29),.9946,2010,R
393,394.,Brett Butler (35),.9945,1992,L
394,394.,Carl Crawford (23),.9945,2005,L
395,394.,Jacoby Ellsbury (25),.9945,2009,L
396,394.,Dwight Evans (21),.9945,1973,R
397,394.,Billy Hamilton (27),.9945,2018,R
398,394.,Adam Jones (27),.9945,2013,R
399,394.,Jim Landis (28),.9945,1962,R
400,394.,Mike Trout (21),.9945,2013,R
401,402.,Carl Crawford (22),.9944,2004,L
402,402.,Jose Cruz (29),.9944,2003,R
403,402.,Vince DiMaggio (32),.9944,1945,R
404,402.,Billy Hamilton (23),.9944,2014,R
405,402.,Adam Jones (30),.9944,2016,R
406,402.,Sam Mele (30),.9944,1952,R
407,402.,Otis Nixon (38),.9944,1997,R
408,409.,Lorenzo Cain (28),.9943,2014,R
409,409.,Johnny Cooney (35),.9943,1936,L
410,409.,Alex Gordon (30),.9943,2014,R
411,409.,Brandon Guyer (29),.9943,2015,R
412,409.,Charlie Keller (26),.9943,1943,R
413,409.,Joe Lefebvre (25),.9943,1981,R
414,409.,Dale Mitchell (27),.9943,1949,L
415,409.,Otis Nixon (37),.9943,1996,R
416,409.,Ichiro Suzuki (29),.9943,2003,R
417,409.,Will Venable (32),.9943,2015,L
418,409.,Shane Victorino (31),.9943,2012,R
419,409.,Bernie Williams (32),.9943,2001,R
420,421.,Shawn Green (29),.9942,2002,L
421,421.,Marquis Grissom (37),.9942,2004,R
422,421.,Jacque Jones (25),.9942,2000,L
423,421.,Matthew Joyce (28),.9942,2013,R
424,421.,Fred Lynn (25),.9942,1977,L
425,421.,Rowland Office (21),.9942,1974,L
426,421.,Pete Rose (31),.9942,1972,R
427,421.,Chris Young (31),.9942,2015,R
428,429.,Bobby Bonds (25),.9941,1971,R
429,429.,Al Cowens (29),.9941,1981,R
430,429.,Dwight Evans (24),.9941,1976,R
431,429.,Alex Gordon (28),.9941,2012,R
432,429.,Al Kaline+ (23),.9941,1958,R
433,429.,Joc Pederson (26),.9941,2018,L
434,429.,Seth Smith (32),.9941,2015,L
435,429.,Shane Victorino (27),.9941,2008,R
436,437.,Mookie Betts (26),.9940,2019,R
437,437.,Ellis Burks (25),.9940,1990,R
438,437.,Hoot Evers (28),.9940,1949,R
439,437.,George Foster (27),.9940,1976,R
440,437.,George Hendrick (30),.9940,1980,R
441,437.,Odubel Herrera (25),.9940,2017,R
442,437.,George Vukovich (28),.9940,1984,R
443,437.,Roy White (28),.9940,1972,R
444,445.,Harold Baines+ (26),.9939,1985,L
445,445.,Jay Buhner (27),.9939,1992,R
446,445.,Johnny Callison (24),.9939,1963,R
447,445.,Jim Edmonds (35),.9939,2005,L
448,445.,Darren Lewis (27),.9939,1995,R
449,445.,Magglio Ordonez (29),.9939,2003,R
450,445.,Kirby Puckett+ (33),.9939,1993,R
451,445.,Tim Raines+ (32),.9939,1992,R
452,445.,Frank Robinson+ (26),.9939,1962,R
453,445.,Seth Smith (33),.9939,2016,L
454,455.,Garret Anderson (29),.9938,2001,L
455,455.,Larry Doby+ (31),.9938,1955,R
456,455.,Dwight Evans (32),.9938,1984,R
457,455.,Steve Finley (37),.9938,2002,L
458,455.,Curtis Granderson (29),.9938,2010,R
459,455.,Marquis Grissom (28),.9938,1995,R
460,455.,George Hendrick (28),.9938,1978,R
461,455.,Jacque Jones (29),.9938,2004,L
462,455.,Brian Jordan (29),.9938,1996,R
463,455.,Fred Lynn (33),.9938,1985,L
464,455.,Nick Markakis (22),.9938,2006,L
465,455.,Nick Markakis (34),.9938,2018,L
466,455.,Derrick May (25),.9938,1994,R
467,455.,Jorge Orta (30),.9938,1981,R
468,455.,Mickey Rivers (25),.9938,1974,L
469,455.,Pete Rose (30),.9938,1971,R
470,455.,George Springer (26),.9938,2016,R
471,455.,Mickey Stanley (29),.9938,1972,R
472,455.,Greg Vaughn (25),.9938,1991,R
473,455.,Roy White (26),.9938,1970,R
474,455.,Randy Winn (33),.9938,2007,R
475,476.,Jim Busby (25),.9937,1952,R
476,476.,Carl Crawford (28),.9937,2010,L
477,476.,Pete Fox (29),.9937,1938,R
478,476.,Curtis Granderson (33),.9937,2014,R
479,476.,Len Koenecke (30),.9937,1934,R
480,476.,Darren Lewis (31),.9937,1999,R
481,476.,Fred Lynn (28),.9937,1980,L
482,476.,Nick Markakis (23),.9937,2007,L
483,476.,Stan Musial+ (40),.9937,1961,L
484,476.,Paul O'Neill (28),.9937,1991,L
485,476.,Manny Ramirez (22),.9937,1994,R
486,476.,Robin Yount+ (35),.9937,1991,R
487,488.,Garret Anderson (30),.9936,2002,L
488,488.,Ryan Braun (25),.9936,2009,R
489,488.,Lorenzo Cain (33),.9936,2019,R
490,488.,Kosuke Fukudome (32),.9936,2009,R
491,488.,Greg Gross (21),.9936,1974,L
492,488.,Raul Ibanez (34),.9936,2006,R
493,488.,Ryan Klesko (27),.9936,1998,L
494,488.,Mike Kreevich (33),.9936,1941,R
495,488.,Dave Winfield+ (32),.9936,1984,R
496,497.,Brian Anderson (24),.9935,2006,R
497,497.,Cesar Cedeno (23),.9935,1974,R
498,497.,Steve Finley (36),.9935,2001,L
499,497.,Austin Jackson (26),.9935,2013,R
