,Rank,Player (age that year),Putouts,Year,Throws
146,147.,George Burns (30),1485,1923,R
147,147.,Jake Daubert (27),1485,1911,L
148,147.,Tom Jones (30),1485,1904,R
149,147.,Butch Schmidt (27),1485,1914,L
150,151.,Hank Greenberg+ (27),1484,1938,R
151,151.,John Mayberry (27),1484,1976,L
152,151.,Tommy Tucker (28),1484,1892,R
153,154.,Roger Connor+ (34),1483,1892,L
154,154.,Lou Gehrig+ (35),1483,1938,L
155,156.,Del Bissonette (28),1482,1928,L
156,157.,Dan McGann (32),1481,1904,R
157,158.,Lu Blue (28),1480,1925,L
158,158.,Mark Teixeira (26),1480,2006,R
159,160.,Lu Blue (24),1478,1921,L
160,160.,Harry Davis (33),1478,1907,R
161,160.,Charlie Grimm (23),1478,1922,L
162,160.,Claude Rossman (26),1478,1907,L
163,160.,George Stovall (31),1478,1909,R
164,165.,Hank Greenberg+ (26),1477,1937,R
165,165.,George Sisler+ (27),1477,1920,L
166,167.,Tom Jones (32),1476,1906,R
167,167.,Bill Phillips (31),1476,1888,R
168,169.,Joe Hauser (24),1475,1923,L
169,170.,Walter Holke (26),1474,1919,L
170,170.,Fred Tenney (27),1474,1899,L
171,172.,Shad Barry (26),1473,1905,R
172,172.,Albert Pujols (29),1473,2009,R
173,174.,Lu Blue (31),1472,1928,L
174,174.,Kitty Bransfield (33),1472,1908,R
175,174.,Vic Saier (22),1472,1913,R
176,177.,Joe Adcock (33),1471,1961,R
177,177.,Walter Holke (28),1471,1921,L
178,177.,Joe Kuhel (37),1471,1943,L
179,177.,Candy LaChance (33),1471,1903,R
180,181.,Adrian Gonzalez (25),1470,2007,L
181,182.,Charlie Comiskey+ (32),1469,1892,R
182,182.,Frank McCormick (34),1469,1945,R
183,184.,Mickey Rocco (28),1467,1944,L
184,184.,George Sisler+ (33),1467,1926,L
185,184.,Phil Todt (27),1467,1929,L
186,184.,Perry Werden (30),1467,1892,R
187,188.,Jim Bottomley+ (25),1466,1925,L
188,189.,Jake Virtue (26),1465,1891,L
189,190.,Andres Galarraga (27),1464,1988,R
190,190.,Frank McCormick (30),1464,1941,R
191,190.,Rudy York (31),1464,1945,R
192,193.,Rod Carew+ (31),1463,1977,R
193,193.,Hal Chase (32),1463,1915,L
194,193.,Fred Merkle (24),1463,1913,R
195,193.,Fred Merkle (25),1463,1914,R
196,197.,Ernie Banks+ (31),1462,1962,R
197,197.,Jake Jones (26),1462,1947,R
198,197.,Tim Jordan (29),1462,1908,R
199,200.,Dick Hoblitzell (21),1461,1910,R
200,200.,Wally Pipp (30),1461,1923,L
201,202.,Del Bissonette (31),1460,1931,L
202,202.,Fred McGriff (25),1460,1989,L
203,204.,Warren Cromartie (26),1459,1980,L
204,205.,Andres Galarraga (36),1458,1997,R
205,205.,Lou Gehrig+ (26),1458,1929,L
206,205.,Charlie Grimm (29),1458,1928,L
207,205.,Albert Pujols (24),1458,2004,R
208,205.,Albert Pujols (30),1458,2010,R
209,210.,John Mayberry (24),1457,1973,L
210,210.,Pete O'Brien (27),1457,1985,L
211,212.,Will Clark (26),1456,1990,L
212,212.,Mark Grace (29),1456,1993,L
213,212.,Eddie Murray+ (23),1456,1979,R
214,212.,Fred Tenney (34),1456,1906,L
215,216.,Jim Bottomley+ (28),1454,1928,L
216,216.,Kitty Bransfield (29),1454,1904,R
217,216.,Hank Greenberg+ (23),1454,1934,R
218,219.,Charlie Grimm (24),1453,1923,L
219,219.,Keith Hernandez (23),1453,1977,L
220,219.,Doc Johnston (27),1453,1915,L
221,219.,Tony Lupien (27),1453,1944,L
222,219.,Fred Merkle (28),1453,1917,R
223,219.,Rudy York (30),1453,1944,R
224,225.,Lu Blue (34),1452,1931,L
225,225.,Donn Clendenon (30),1452,1966,R
226,225.,Cecil Cooper (33),1452,1983,L
227,225.,Joe Kuhel (30),1452,1936,L
228,225.,Gus Suhr (31),1452,1937,R
229,230.,Gus Suhr (27),1451,1933,R
230,230.,Fred Tenney (32),1451,1904,L
231,232.,Donn Clendenon (27),1450,1963,R
232,233.,Todd Helton (33),1448,2007,L
233,233.,Ron Jackson (26),1448,1979,R
234,235.,Harry Davis (31),1447,1905,R
235,235.,Wally Pipp (31),1447,1924,L
236,237.,Steve Bilko (24),1446,1953,R
237,237.,Dolph Camilli (29),1446,1936,L
238,237.,George Scott (33),1446,1977,R
239,240.,Will Clark (25),1445,1989,L
240,240.,Pedro Guerrero (33),1445,1989,R
241,240.,Dave Orr (26),1445,1886,R
242,240.,Gus Suhr (24),1445,1930,R
243,244.,Elbie Fletcher (25),1444,1941,L
244,244.,Dick Hoblitzell (20),1444,1909,R
245,244.,Joe Kuhel (35),1444,1941,L
246,247.,Dale Alexander (26),1443,1929,R
247,248.,Jake Beckley+ (37),1442,1905,L
248,248.,Dolph Camilli (28),1442,1935,L
249,248.,Steve Garvey (36),1442,1985,R
250,248.,Dick Hoblitzell (22),1442,1911,R
251,252.,Jake Daubert (31),1441,1915,L
252,252.,Frank McCormick (27),1441,1938,R
253,254.,Chris Chambliss (27),1440,1976,R
254,254.,Babe Dahlgren (32),1440,1944,R
255,256.,Alvin Davis (24),1438,1985,R
256,256.,Willie Upshaw (25),1438,1982,L
257,256.,Mickey Vernon (31),1438,1949,L
258,259.,Chris Chambliss (24),1437,1973,R
259,259.,Jake Daubert (35),1437,1919,L
260,259.,Hank Greenberg+ (24),1437,1935,R
261,259.,Charlie Grimm (28),1437,1927,L
262,263.,Chick Gandil (25),1436,1913,R
263,263.,Keith Hernandez (24),1436,1978,L
264,263.,Tony Lupien (31),1436,1948,L
265,263.,George McQuinn (30),1436,1940,L
266,267.,Whitey Lockman (25),1435,1952,R
267,267.,Stuffy McInnis (33),1435,1924,R
268,267.,Rafael Palmeiro (33),1435,1998,L
269,270.,Wes Parker (25),1434,1965,L
270,271.,Babe Dahlgren (23),1433,1935,R
271,272.,Harry Davis (35),1432,1909,R
272,272.,Ed Konetchy (27),1432,1913,R
273,272.,Gene Paulette (29),1432,1920,R
274,272.,Gus Suhr (30),1432,1936,R
275,276.,Mike Lehane (25),1430,1890,
276,276.,Ed Morgan (28),1430,1932,R
277,278.,Charlie Grimm (33),1429,1932,L
278,278.,Dick Hoblitzell (25),1429,1914,R
279,278.,Pete Rose (38),1429,1979,R
280,278.,Claude Rossman (27),1429,1908,L
281,282.,Cecil Cooper (32),1428,1982,L
282,282.,Pete Rose (41),1428,1982,R
283,282.,Frank Thomas+ (24),1428,1992,R
284,285.,Del Bissonette (30),1427,1930,L
285,285.,Doc Johnston (32),1427,1920,L
286,285.,Pete Rose (39),1427,1980,R
287,285.,Dick Siebert (33),1427,1945,L
288,289.,Walter Holke (30),1425,1923,L
289,289.,Joe Kuhel (29),1425,1935,L
290,291.,Elbie Fletcher (22),1424,1938,L
291,292.,John Anderson (29),1423,1903,R
292,292.,Tony Clark (25),1423,1997,R
293,292.,Roger Connor+ (35),1423,1893,L
294,292.,Stuffy McInnis (23),1423,1914,R
295,292.,Earl Sheely (31),1423,1924,R
296,297.,Charlie Comiskey+ (31),1422,1891,R
297,297.,Perry Werden (29),1422,1891,R
298,297.,Bill White (32),1422,1966,L
299,300.,Zeke Bonura (26),1421,1935,R
300,300.,Leon Durham (27),1421,1985,L
301,300.,John Ganzel (27),1421,1901,R
302,300.,Fred Luderus (26),1421,1912,R
303,304.,Ernie Banks+ (38),1419,1969,R
304,305.,Jake Daubert (26),1418,1910,L
305,305.,Jack Doyle (33),1418,1903,R
306,305.,Todd Helton (29),1418,2003,L
307,305.,Keith Hernandez (29),1418,1983,L
308,309.,Todd Benzinger (26),1417,1989,R
309,309.,Tim Jordan (28),1417,1907,R
310,309.,Joe Judge (27),1417,1921,L
311,309.,George Stovall (37),1417,1915,R
312,313.,Dick Burrus (27),1416,1925,L
313,313.,Carlos Delgado (28),1416,2000,R
314,313.,Jack Fournier (31),1416,1921,R
315,313.,Charlie Grimm (27),1416,1926,L
316,313.,Dan McGann (26),1416,1898,R
317,313.,Fred McGriff (32),1416,1996,L
318,319.,Rudy York (28),1413,1942,R
319,319.,Kevin Young (30),1413,1999,R
320,321.,Bill Abstein (26),1412,1909,R
321,321.,George Burns (29),1412,1922,R
322,321.,Joe Judge (34),1412,1928,L
323,324.,Bill Terry+ (32),1411,1931,L
324,325.,Harry Davis (34),1410,1908,R
325,325.,Nick Etten (29),1410,1943,L
326,327.,Cap Anson+ (37),1409,1889,R
327,327.,Cap Anson+ (39),1409,1891,R
328,327.,Fred Luderus (29),1409,1915,R
329,330.,Ryan Howard (28),1408,2008,L
330,330.,Tom Jones (35),1408,1909,R
331,330.,Phil Todt (23),1408,1925,L
332,333.,Dan Meyer (24),1407,1977,R
333,334.,Nate Colbert (24),1406,1970,R
334,334.,Dots Miller (26),1406,1913,R
335,336.,Chick Gandil (29),1405,1917,R
336,336.,Frank Isbell (26),1405,1902,R
337,336.,Tom Jones (36),1405,1910,R
338,336.,Norm Siebern (28),1405,1962,R
339,340.,Jeff Bagwell+ (29),1404,1997,R
340,340.,Daric Barton (24),1404,2010,R
341,340.,Stuffy McInnis (25),1404,1916,R
342,340.,George Stovall (32),1404,1910,R
343,344.,Frank McCormick (31),1403,1942,R
344,344.,Matt Olson (24),1403,2018,R
345,344.,Hal Trosky (24),1403,1937,R
346,347.,Jimmie Foxx+ (25),1402,1933,R
347,347.,Tito Francona (28),1402,1962,L
348,347.,Steve Garvey (30),1402,1979,R
349,347.,Harry Heilmann+ (24),1402,1919,R
350,347.,Greg Walker (27),1402,1987,R
351,352.,Nick Etten (31),1401,1945,L
352,352.,Buddy Hassett (24),1401,1936,L
353,352.,John Morrill (33),1401,1888,R
354,352.,Phil Todt (25),1401,1927,L
355,356.,Dan Stearns (27),1400,1889,R
356,357.,Jack Burns (24),1399,1932,L
357,358.,Kitty Bransfield (30),1398,1905,R
358,358.,Rod Carew+ (30),1398,1976,R
359,358.,George Sisler+ (36),1398,1929,L
360,361.,Ed Konetchy (26),1396,1912,R
361,361.,Wally Pipp (22),1396,1915,L
362,363.,Joe Kuhel (34),1395,1940,L
363,363.,Lee May (26),1395,1969,R
364,363.,Bill Phillips (29),1395,1886,R
365,363.,Jason Thompson (27),1395,1982,L
366,363.,Bob Watson (30),1395,1976,R
367,363.,Babe Young (25),1395,1941,L
368,369.,Mark Teixeira (28),1394,2008,R
369,370.,Mike Hargrove (27),1393,1977,L
370,370.,Johnny Mize+ (29),1393,1942,R
371,370.,Eddie Murray+ (27),1393,1983,R
372,370.,John Reilly (31),1393,1890,R
373,370.,George Scott (32),1393,1976,R
374,370.,Rudy York (27),1393,1941,R
375,376.,Joe Judge (28),1392,1922,L
376,376.,Willie McCovey+ (31),1392,1969,L
377,378.,Bill Buckner (33),1391,1983,L
378,378.,Mike Hargrove (30),1391,1980,L
379,378.,Dan McGann (34),1391,1906,R
380,381.,Fred Merkle (21),1390,1910,R
381,381.,Rudy York (26),1390,1940,R
382,383.,Joe Adcock (25),1389,1953,R
383,383.,Jake Beckley+ (32),1389,1900,L
384,383.,George Burns (25),1389,1918,R
385,383.,Frank Isbell (25),1389,1901,R
386,383.,Bill White (29),1389,1963,L
387,388.,Jack Fournier (34),1388,1924,R
388,388.,Jimmie Foxx+ (26),1388,1934,R
389,388.,Ted Kluszewski (30),1388,1955,L
390,388.,Fred Merkle (29),1388,1918,R
391,388.,Rafael Palmeiro (28),1388,1993,L
392,388.,George Scott (29),1388,1973,R
393,388.,Gus Suhr (26),1388,1932,R
394,395.,Prince Fielder (25),1387,2009,R
395,395.,Eddie Waitkus (30),1387,1950,L
396,397.,Cecil Cooper (27),1386,1977,L
397,397.,Alvin Davis (26),1386,1987,R
398,397.,Earl Sheely (33),1386,1926,R
399,397.,George Sisler+ (24),1386,1917,L
400,401.,John Ganzel (29),1385,1903,R
401,401.,Fred Luderus (33),1385,1919,R
402,401.,Dots Miller (25),1385,1912,R
403,404.,Bill Buckner (35),1384,1985,L
404,404.,George McQuinn (32),1384,1942,L
405,406.,Ernie Banks+ (36),1383,1967,R
406,406.,Rafael Palmeiro (31),1383,1996,L
407,406.,Rip Russell (24),1383,1939,R
408,409.,Nick Etten (30),1382,1944,L
409,409.,George Stovall (29),1382,1907,R
410,411.,Gil Hodges (30),1381,1954,R
411,411.,Ted Kluszewski (26),1381,1951,L
412,411.,Johnny Mize+ (34),1381,1947,R
413,414.,Art Mahan (27),1380,1940,L
414,415.,Ernie Banks+ (37),1379,1968,R
415,415.,Dolph Camilli (34),1379,1941,L
416,415.,Elbie Fletcher (26),1379,1942,L
417,415.,Bill Terry+ (36),1379,1935,L
418,419.,Paul Goldschmidt (27),1378,2015,R
419,419.,Paul Goldschmidt (28),1378,2016,R
420,419.,Ray Grimes (28),1378,1922,R
421,419.,Bob Horner (28),1378,1986,R
422,419.,Don Mattingly (25),1378,1986,L
423,424.,Kitty Bransfield (34),1377,1909,R
424,424.,Lou Gehrig+ (33),1377,1936,L
425,424.,George McQuinn (29),1377,1939,L
426,424.,Mark Teixeira (25),1377,2005,R
427,428.,Frank Chance+ (29),1376,1906,R
428,428.,Dave Foutz (32),1376,1889,R
429,428.,Stuffy McInnis (31),1376,1922,R
430,428.,Johnny Mize+ (27),1376,1940,R
431,428.,Mickey Vernon (35),1376,1953,L
432,433.,Ed Kranepool (20),1375,1965,L
433,433.,Fred Merkle (22),1375,1911,R
434,435.,Kitty Bransfield (26),1374,1901,R
435,435.,Earl Sheely (38),1374,1931,R
436,435.,George Sisler+ (34),1374,1927,L
437,438.,Hal Chase (27),1373,1910,L
438,438.,Babe Dahlgren (33),1373,1945,R
439,438.,Jake Daubert (28),1373,1912,L
440,438.,Jack Fournier (30),1373,1920,R
441,438.,Dick Hoblitzell (24),1373,1913,R
442,438.,Ryan Howard (26),1373,2006,L
443,438.,Fred Luderus (25),1373,1911,R
444,438.,Bill White (27),1373,1961,L
445,446.,Nate Colbert (25),1372,1971,R
446,446.,Patsy Tebeau (31),1372,1896,R
447,446.,Jim Thome+ (32),1372,2003,R
448,449.,Eddie Murray+ (31),1371,1987,R
449,450.,Lou Gehrig+ (34),1370,1937,L
450,450.,Fred McGriff (27),1370,1991,L
451,450.,Ray Sanders (27),1370,1944,R
452,453.,Prince Fielder (24),1369,2008,R
453,453.,Wally Joyner (26),1369,1988,L
454,453.,Eddie Murray+ (24),1369,1980,R
455,456.,Chris Chambliss (28),1368,1977,R
456,456.,Hal Trosky (23),1368,1936,R
457,458.,Todd Helton (32),1367,2006,L
458,459.,Jake Beckley+ (33),1366,1901,L
459,459.,Chris Chambliss (29),1366,1978,R
460,459.,Eddie Robinson (32),1366,1953,R
461,462.,Jack Burns (26),1365,1934,L
462,462.,Gil Hodges (27),1365,1951,R
463,462.,Earl Torgeson (26),1365,1950,L
464,462.,Tommy Tucker (24),1365,1888,R
465,462.,Mickey Vernon (36),1365,1954,L
466,467.,James Loney (24),1364,2008,L
467,468.,John Anderson (28),1363,1902,R
468,468.,Rod Carew+ (32),1363,1978,R
469,468.,Phil Cavarretta (27),1363,1944,L
470,468.,Richie Sexson (28),1363,2003,R
471,472.,George Burns (34),1362,1927,R
472,472.,Orlando Cepeda+ (30),1362,1968,R
473,472.,Roger Connor+ (33),1362,1891,L
474,472.,Jimmie Foxx+ (22),1362,1930,R
475,472.,Mike Lehane (26),1362,1891,
476,472.,Lee May (27),1362,1970,R
477,472.,George Scott (22),1362,1966,R
478,479.,Cap Anson+ (38),1361,1890,R
479,479.,Bruce Bochte (28),1361,1979,L
480,481.,Jake Beckley+ (25),1360,1893,L
481,481.,Stan Musial+ (26),1360,1947,L
482,481.,Joe Torre+ (28),1360,1969,R
483,481.,Mickey Vernon (24),1360,1942,L
484,485.,Johnny Mize+ (35),1359,1948,R
485,485.,Pete O'Brien (31),1359,1989,L
486,487.,Jake Daubert (36),1358,1920,L
487,488.,Charlie Grimm (32),1357,1931,L
488,488.,Todd Helton (28),1357,2002,L
489,488.,High Pockets Kelly+ (28),1357,1924,R
490,488.,Lyle Overbay (29),1357,2006,L
491,492.,Dolph Camilli (31),1356,1938,L
492,492.,Orlando Cepeda+ (24),1356,1962,R
493,492.,Elbie Fletcher (30),1356,1946,L
494,492.,Todd Helton (30),1356,2004,L
495,492.,Richie Sexson (26),1356,2001,R
496,497.,George Burns (23),1355,1916,R
497,497.,Glenn Davis (27),1355,1988,R
498,497.,Carlos Delgado (31),1355,2003,R
499,497.,Lou Gehrig+ (28),1355,1931,L
